geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US01001,"Autauga County, Alabama",2012,54590,,0.789,0.181,0.003,0.008,0,0.004,0.015,0.001,0.014,,,,,,,,,,,,
0500000US01003,"Baldwin County, Alabama",2012,183226,,0.864,0.093,0.006,0.007,0,0.014,0.016,0.001,0.015,,,,,,,,,,,,
0500000US01005,"Barbour County, Alabama",2012,27469,,0.49,0.46,0.001,0.008,0,0.021,0.021,0.001,0.019,,,,,,,,,,,,
0500000US01007,"Bibb County, Alabama",2012,22769,,0.767,0.218,0.004,0.001,0,0,0.011,0,0.011,,,,,,,,,,,,
0500000US01009,"Blount County, Alabama",2012,57466,,0.949,0.013,0.004,0.002,0,0.018,0.015,0,0.015,,,,,,,,,,,,
0500000US01011,"Bullock County, Alabama",2012,10779,,0.281,0.706,0.002,0,0.003,0,0.008,0,0.008,,,,,,,,,,,,
0500000US01013,"Butler County, Alabama",2012,20730,,0.549,0.432,0.002,0.009,0,0.001,0.007,0.002,0.005,,,,,,,,,,,,
0500000US01015,"Calhoun County, Alabama",2012,117834,,0.75,0.207,0.003,0.007,0.001,0.014,0.018,0.001,0.016,,,,,,,,,,,,
0500000US01017,"Chambers County, Alabama",2012,34228,,0.589,0.392,0,0.005,0,0.001,0.011,0.001,0.011,,,,,,,,,,,,
0500000US01019,"Cherokee County, Alabama",2012,25917,,0.929,0.048,0.006,0.003,0,0.003,0.01,0.001,0.01,,,,,,,,,,,,
0500000US01021,"Chilton County, Alabama",2012,43611,,0.868,0.099,0.004,0.002,0,0.019,0.008,0.001,0.007,,,,,,,,,,,,
0500000US01023,"Choctaw County, Alabama",2012,13838,,0.554,0.429,0,0.002,0,0.002,0.013,0.004,0.009,,,,,,,,,,,,
0500000US01025,"Clarke County, Alabama",2012,25768,,0.544,0.439,0.005,0.004,0,0.002,0.007,0,0.007,,,,,,,,,,,,
0500000US01027,"Clay County, Alabama",2012,13828,,0.819,0.156,0.002,0,0,0.009,0.014,0.001,0.013,,,,,,,,,,,,
0500000US01029,"Cleburne County, Alabama",2012,14905,,0.947,0.038,0.002,0,0,0.001,0.011,0.001,0.01,,,,,,,,,,,,
0500000US01031,"Coffee County, Alabama",2012,49966,,0.774,0.173,0.009,0.013,0,0.006,0.025,0.002,0.023,,,,,,,,,,,,
0500000US01033,"Colbert County, Alabama",2012,54451,,0.807,0.16,0.006,0.004,0,0.008,0.016,0.002,0.013,,,,,,,,,,,,
0500000US01035,"Conecuh County, Alabama",2012,13188,,0.515,0.465,0.005,0.001,0,0,0.014,0,0.014,,,,,,,,,,,,
0500000US01037,"Coosa County, Alabama",2012,11305,,0.676,0.315,0.001,0,0,0.001,0.007,0,0.007,,,,,,,,,,,,
0500000US01039,"Covington County, Alabama",2012,37803,,0.848,0.126,0.005,0.003,0.001,0.004,0.013,0.003,0.01,,,,,,,,,,,,
0500000US01041,"Crenshaw County, Alabama",2012,13971,,0.726,0.222,0.005,0.015,0,0.006,0.026,0,0.026,,,,,,,,,,,,
0500000US01043,"Cullman County, Alabama",2012,80403,,0.96,0.011,0.004,0.005,0,0.006,0.014,0.001,0.013,,,,,,,,,,,,
0500000US01045,"Dale County, Alabama",2012,50129,,0.75,0.196,0.003,0.013,0.001,0.008,0.029,0.001,0.028,,,,,,,,,,,,
0500000US01047,"Dallas County, Alabama",2012,43572,,0.292,0.69,0.002,0.003,0,0.004,0.008,0,0.008,,,,,,,,,,,,
0500000US01049,"DeKalb County, Alabama",2012,70949,,0.913,0.017,0.014,0.003,0,0.03,0.022,0.001,0.021,,,,,,,,,,,,
0500000US01051,"Elmore County, Alabama",2012,79330,,0.758,0.202,0.004,0.006,0,0.014,0.016,0.001,0.015,,,,,,,,,,,,
0500000US01053,"Escambia County, Alabama",2012,38122,,0.63,0.322,0.037,0.004,0,0,0.006,0.001,0.005,,,,,,,,,,,,
0500000US01055,"Etowah County, Alabama",2012,104317,,0.819,0.151,0.003,0.007,0,0.004,0.015,0.001,0.014,,,,,,,,,,,,
0500000US01057,"Fayette County, Alabama",2012,17219,,0.867,0.113,0.002,0.003,0,0,0.015,0.003,0.012,,,,,,,,,,,,
0500000US01059,"Franklin County, Alabama",2012,31664,,0.884,0.046,0.005,0.002,0,0.052,0.01,0.003,0.008,,,,,,,,,,,,
0500000US01061,"Geneva County, Alabama",2012,26769,,0.868,0.098,0.003,0.001,0,0.015,0.014,0.001,0.013,,,,,,,,,,,,
0500000US01063,"Greene County, Alabama",2012,9067,,0.177,0.818,0.003,0.001,0,0,0,0,0,,,,,,,,,,,,
0500000US01065,"Hale County, Alabama",2012,15750,,0.399,0.592,0.002,0.003,0.001,0,0.002,0,0.002,,,,,,,,,,,,
0500000US01067,"Henry County, Alabama",2012,17275,,0.688,0.279,0,0.02,0,0.008,0.005,0.001,0.004,,,,,,,,,,,,
0500000US01069,"Houston County, Alabama",2012,101459,,0.701,0.257,0.003,0.009,0,0.013,0.018,0.001,0.017,,,,,,,,,,,,
0500000US01071,"Jackson County, Alabama",2012,53279,,0.92,0.033,0.019,0.004,0,0.004,0.019,0.001,0.018,,,,,,,,,,,,
0500000US01073,"Jefferson County, Alabama",2012,658464,,0.535,0.422,0.002,0.015,0,0.018,0.008,0.001,0.008,,,,,,,,,,,,
0500000US01075,"Lamar County, Alabama",2012,14513,,0.872,0.119,0,0,0,0.001,0.008,0,0.008,,,,,,,,,,,,
0500000US01077,"Lauderdale County, Alabama",2012,92528,,0.872,0.101,0.005,0.008,0,0.004,0.01,0.001,0.01,,,,,,,,,,,,
0500000US01079,"Lawrence County, Alabama",2012,34148,,0.776,0.111,0.055,0.001,0,0.007,0.049,0.002,0.047,,,,,,,,,,,,
0500000US01081,"Lee County, Alabama",2012,140938,,0.719,0.229,0.004,0.027,0,0.007,0.014,0.001,0.014,,,,,,,,,,,,
0500000US01083,"Limestone County, Alabama",2012,83313,,0.82,0.128,0.005,0.011,0,0.021,0.015,0.001,0.014,,,,,,,,,,,,
0500000US01085,"Lowndes County, Alabama",2012,11304,,0.254,0.74,0.002,0,0,0.002,0.002,0,0.002,,,,,,,,,,,,
0500000US01087,"Macon County, Alabama",2012,21214,,0.159,0.831,0.002,0,0,0.001,0.007,0,0.007,,,,,,,,,,,,
0500000US01089,"Madison County, Alabama",2012,334661,,0.694,0.24,0.007,0.024,0.001,0.008,0.026,0.002,0.024,,,,,,,,,,,,
0500000US01091,"Marengo County, Alabama",2012,20909,,0.463,0.523,0.001,0.002,0,0.006,0.006,0,0.006,,,,,,,,,,,,
0500000US01093,"Marion County, Alabama",2012,30641,,0.943,0.039,0.002,0.004,0,0.001,0.011,0,0.011,,,,,,,,,,,,
0500000US01095,"Marshall County, Alabama",2012,93070,,0.937,0.016,0.007,0.005,0.001,0.019,0.014,0.001,0.013,,,,,,,,,,,,
0500000US01097,"Mobile County, Alabama",2012,412297,,0.608,0.348,0.008,0.019,0,0.005,0.012,0.001,0.012,,,,,,,,,,,,
0500000US01099,"Monroe County, Alabama",2012,22993,,0.554,0.415,0.013,0.004,0,0.004,0.011,0,0.011,,,,,,,,,,,,
0500000US01101,"Montgomery County, Alabama",2012,229376,,0.408,0.547,0.004,0.02,0,0.008,0.013,0.002,0.011,,,,,,,,,,,,
0500000US01103,"Morgan County, Alabama",2012,119330,,0.825,0.119,0.01,0.006,0.001,0.02,0.019,0.001,0.018,,,,,,,,,,,,
0500000US01105,"Perry County, Alabama",2012,10525,,0.303,0.686,0,0.003,0,0.001,0.007,0,0.007,,,,,,,,,,,,
0500000US01107,"Pickens County, Alabama",2012,19646,,0.573,0.416,0.001,0,0,0.001,0.01,0.001,0.009,,,,,,,,,,,,
0500000US01109,"Pike County, Alabama",2012,32750,,0.588,0.364,0.008,0.019,0,0.001,0.02,0.006,0.014,,,,,,,,,,,,
0500000US01111,"Randolph County, Alabama",2012,22843,,0.773,0.208,0.004,0.001,0,0.002,0.012,0.001,0.011,,,,,,,,,,,,
0500000US01113,"Russell County, Alabama",2012,53938,,0.544,0.422,0.001,0.004,0.001,0.007,0.021,0.002,0.019,,,,,,,,,,,,
0500000US01115,"St. Clair County, Alabama",2012,83530,,0.889,0.089,0.005,0.006,0,0.003,0.008,0,0.008,,,,,,,,,,,,
0500000US01117,"Shelby County, Alabama",2012,195237,,0.832,0.108,0.003,0.021,0,0.026,0.01,0.001,0.009,,,,,,,,,,,,
0500000US01119,"Sumter County, Alabama",2012,13669,,0.243,0.741,0.001,0.007,0,0.004,0.003,0,0.003,,,,,,,,,,,,
0500000US01121,"Talladega County, Alabama",2012,82194,,0.656,0.326,0.003,0.001,0,0.003,0.011,0.002,0.009,,,,,,,,,,,,
0500000US01123,"Tallapoosa County, Alabama",2012,41534,,0.708,0.273,0.001,0,0,0.006,0.011,0.002,0.009,,,,,,,,,,,,
0500000US01125,"Tuscaloosa County, Alabama",2012,194254,,0.673,0.3,0.002,0.013,0,0.004,0.008,0.001,0.007,,,,,,,,,,,,
0500000US01127,"Walker County, Alabama",2012,67016,,0.915,0.055,0.002,0.002,0,0.006,0.02,0.001,0.019,,,,,,,,,,,,
0500000US01129,"Washington County, Alabama",2012,17407,,0.654,0.245,0.078,0.006,0.002,0.003,0.011,0.005,0.006,,,,,,,,,,,,
0500000US01131,"Wilcox County, Alabama",2012,11706,,0.268,0.731,0,0,0,0,0.001,0,0.001,,,,,,,,,,,,
0500000US01133,"Winston County, Alabama",2012,24432,,0.965,0.008,0.005,0.002,0,0.003,0.018,0.002,0.016,,,,,,,,,,,,
0500000US02013,"Aleutians East Borough, Alaska",2012,3114,,0.232,0.134,0.183,0.404,0.006,0.011,0.031,0,0.031,,,,,,,,,,,,
0500000US02016,"Aleutians West Census Area, Alaska",2012,5507,,0.338,0.059,0.152,0.283,0.021,0.08,0.067,0.007,0.06,,,,,,,,,,,,
0500000US02020,"Anchorage Municipality, Alaska",2012,291470,,0.668,0.058,0.066,0.08,0.02,0.015,0.093,0.006,0.087,,,,,,,,,,,,
0500000US02050,"Bethel Census Area, Alaska",2012,17184,,0.117,0.003,0.817,0.011,0.004,0,0.05,0,0.049,,,,,,,,,,,,
0500000US02060,"Bristol Bay Borough, Alaska",2012,929,,0.546,0.002,0.31,0.003,0.005,0.002,0.131,0,0.131,,,,,,,,,,,,
0500000US02068,"Denali Borough, Alaska",2012,1917,,0.875,0.01,0.039,0.031,0,0.002,0.043,0,0.043,,,,,,,,,,,,
0500000US02070,"Dillingham Census Area, Alaska",2012,4887,,0.182,0.004,0.692,0.008,0.004,0.012,0.099,0,0.099,,,,,,,,,,,,
0500000US02090,"Fairbanks North Star Borough, Alaska",2012,97523,,0.779,0.046,0.066,0.025,0.004,0.01,0.069,0.002,0.067,,,,,,,,,,,,
0500000US02100,"Haines Borough, Alaska",2012,2500,,0.821,0.003,0.073,0.01,0,0,0.092,0.004,0.088,,,,,,,,,,,,
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2012,2153,,0.484,0.002,0.356,0.012,0.004,0.009,0.133,0,0.133,,,,,,,,,,,,
0500000US02110,"Juneau City and Borough, Alaska",2012,31636,,0.698,0.007,0.113,0.055,0.008,0.01,0.109,0.006,0.103,,,,,,,,,,,,
0500000US02122,"Kenai Peninsula Borough, Alaska",2012,55474,,0.848,0.006,0.08,0.014,0.001,0.005,0.046,0.002,0.044,,,,,,,,,,,,
0500000US02130,"Ketchikan Gateway Borough, Alaska",2012,13525,,0.677,0.004,0.135,0.06,0.001,0.011,0.112,0.004,0.108,,,,,,,,,,,,
0500000US02150,"Kodiak Island Borough, Alaska",2012,13710,,0.569,0.008,0.155,0.199,0.008,0.02,0.041,0.007,0.034,,,,,,,,,,,,
0500000US02164,"Lake and Peninsula Borough, Alaska",2012,1551,,0.278,0.005,0.636,0.018,0.003,0.001,0.06,0.001,0.059,,,,,,,,,,,,
0500000US02170,"Matanuska-Susitna Borough, Alaska",2012,89319,,0.852,0.01,0.048,0.013,0.002,0.005,0.07,0.003,0.067,,,,,,,,,,,,
0500000US02180,"Nome Census Area, Alaska",2012,9580,,0.167,0.013,0.719,0.009,0.003,0.002,0.088,0.001,0.087,,,,,,,,,,,,
0500000US02185,"North Slope Borough, Alaska",2012,9317,,0.323,0.005,0.529,0.044,0.013,0.011,0.074,0.003,0.071,,,,,,,,,,,,
0500000US02188,"Northwest Arctic Borough, Alaska",2012,7601,,0.114,0.004,0.809,0.007,0.001,0,0.065,0,0.065,,,,,,,,,,,,
0500000US02195,"Petersburg Census Area, Alaska",2012,3822,,0.721,0.013,0.123,0.022,0,0.023,0.098,0.002,0.097,,,,,,,,,,,,
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",2012,5603,,0.498,0.002,0.412,0.008,0.004,0.005,0.071,0.001,0.07,,,,,,,,,,,,
0500000US02220,"Sitka City and Borough, Alaska",2012,8909,,0.659,0.008,0.173,0.053,0,0.014,0.094,0.009,0.085,,,,,,,,,,,,
0500000US02230,"Skagway Municipality, Alaska",2012,1050,,0.761,0.003,0.016,0.169,0,0,0.051,0,0.051,,,,,,,,,,,,
0500000US02240,"Southeast Fairbanks Census Area, Alaska",2012,7039,,0.809,0.015,0.104,0.009,0.004,0.007,0.052,0,0.052,,,,,,,,,,,,
0500000US02261,"Valdez-Cordova Census Area, Alaska",2012,9614,,0.737,0.003,0.151,0.036,0.003,0.013,0.056,0.001,0.055,,,,,,,,,,,,
0500000US02270,"Wade Hampton Census Area, Alaska",2012,7556,,0.031,0.001,0.906,0.001,0.003,0,0.058,0,0.058,,,,,,,,,,,,
0500000US02275,"Wrangell City and Borough, Alaska",2012,2368,,0.736,0.005,0.141,0.015,0.004,0.001,0.096,0,0.096,,,,,,,,,,,,
0500000US02282,"Yakutat City and Borough, Alaska",2012,644,,0.385,0.012,0.439,0.006,0.008,0.008,0.141,0,0.141,,,,,,,,,,,,
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",2012,5637,,0.219,0.001,0.69,0.004,0.004,0.003,0.079,0.004,0.075,,,,,,,,,,,,
0500000US04001,"Apache County, Arizona",2012,71618,,0.24,0.003,0.728,0.004,0.001,0.01,0.015,0.001,0.014,,,,,,,,,,,,
0500000US04003,"Cochise County, Arizona",2012,131118,,0.803,0.039,0.011,0.017,0.003,0.074,0.053,0.015,0.038,,,,,,,,,,,,
0500000US04005,"Coconino County, Arizona",2012,134011,,0.626,0.013,0.272,0.015,0.001,0.043,0.03,0.008,0.022,,,,,,,,,,,,
0500000US04007,"Gila County, Arizona",2012,53436,,0.791,0.004,0.147,0.003,0,0.032,0.023,0.006,0.017,,,,,,,,,,,,
0500000US04009,"Graham County, Arizona",2012,37115,,0.754,0.021,0.136,0.005,0.003,0.057,0.025,0.006,0.019,,,,,,,,,,,,
0500000US04011,"Greenlee County, Arizona",2012,8592,,0.862,0.01,0.021,0.006,0,0.073,0.028,0.019,0.009,,,,,,,,,,,,
0500000US04012,"La Paz County, Arizona",2012,20460,,0.716,0.009,0.128,0.007,0.001,0.129,0.011,0.003,0.008,,,,,,,,,,,,
0500000US04013,"Maricopa County, Arizona",2012,3841819,,0.811,0.05,0.019,0.035,0.002,0.057,0.027,0.006,0.021,,,,,,,,,,,,
0500000US04015,"Mohave County, Arizona",2012,201216,,0.891,0.01,0.015,0.01,0.001,0.031,0.041,0.006,0.035,,,,,,,,,,,,
0500000US04017,"Navajo County, Arizona",2012,107415,,0.487,0.009,0.424,0.005,0.001,0.04,0.035,0.006,0.029,,,,,,,,,,,,
0500000US04019,"Pima County, Arizona",2012,981048,,0.793,0.037,0.032,0.027,0.001,0.081,0.029,0.007,0.022,,,,,,,,,,,,
0500000US04021,"Pinal County, Arizona",2012,368374,,0.773,0.045,0.054,0.017,0.005,0.078,0.029,0.009,0.02,,,,,,,,,,,,
0500000US04023,"Santa Cruz County, Arizona",2012,47057,,0.732,0.006,0.003,0.006,0.001,0.231,0.022,0.014,0.008,,,,,,,,,,,,
0500000US04025,"Yavapai County, Arizona",2012,211280,,0.917,0.006,0.02,0.008,0,0.025,0.025,0.008,0.017,,,,,,,,,,,,
0500000US04027,"Yuma County, Arizona",2012,196420,,0.763,0.021,0.014,0.011,0.002,0.166,0.023,0.007,0.016,,,,,,,,,,,,
0500000US05001,"Arkansas County, Arkansas",2012,19029,,0.725,0.245,0.001,0.006,0.001,0.011,0.011,0.001,0.011,,,,,,,,,,,,
0500000US05003,"Ashley County, Arkansas",2012,21811,,0.694,0.257,0.002,0.001,0,0.031,0.014,0.003,0.012,,,,,,,,,,,,
0500000US05005,"Baxter County, Arkansas",2012,41387,,0.971,0.003,0.006,0.005,0,0.003,0.012,0.002,0.01,,,,,,,,,,,,
0500000US05007,"Benton County, Arkansas",2012,222028,,0.863,0.012,0.015,0.029,0.003,0.051,0.028,0.004,0.024,,,,,,,,,,,,
0500000US05009,"Boone County, Arkansas",2012,37032,,0.966,0.003,0.006,0.005,0,0.002,0.017,0.003,0.015,,,,,,,,,,,,
0500000US05011,"Bradley County, Arkansas",2012,11510,,0.609,0.277,0.01,0,0,0.096,0.008,0,0.008,,,,,,,,,,,,
0500000US05013,"Calhoun County, Arkansas",2012,5373,,0.739,0.243,0,0,0,0,0.017,0,0.017,,,,,,,,,,,,
0500000US05015,"Carroll County, Arkansas",2012,27321,,0.917,0.002,0.008,0.004,0,0.045,0.024,0.001,0.022,,,,,,,,,,,,
0500000US05017,"Chicot County, Arkansas",2012,11759,,0.415,0.545,0.001,0.002,0,0.03,0.008,0,0.008,,,,,,,,,,,,
0500000US05019,"Clark County, Arkansas",2012,23050,,0.737,0.238,0.004,0.006,0,0.003,0.012,0.001,0.011,,,,,,,,,,,,
0500000US05021,"Clay County, Arkansas",2012,15981,,0.978,0.002,0.003,0,0,0.004,0.012,0.001,0.012,,,,,,,,,,,,
0500000US05023,"Cleburne County, Arkansas",2012,25849,,0.975,0.004,0.003,0.001,0.001,0.001,0.016,0.001,0.015,,,,,,,,,,,,
0500000US05025,"Cleveland County, Arkansas",2012,8685,,0.86,0.12,0,0,0,0.005,0.015,0.002,0.013,,,,,,,,,,,,
0500000US05027,"Columbia County, Arkansas",2012,24644,,0.603,0.368,0.002,0.008,0,0.002,0.017,0.012,0.005,,,,,,,,,,,,
0500000US05029,"Conway County, Arkansas",2012,21203,,0.854,0.117,0.007,0.002,0,0.005,0.015,0,0.014,,,,,,,,,,,,
0500000US05031,"Craighead County, Arkansas",2012,96709,,0.835,0.132,0.003,0.013,0,0.003,0.014,0.002,0.012,,,,,,,,,,,,
0500000US05033,"Crawford County, Arkansas",2012,61670,,0.912,0.014,0.013,0.015,0,0.013,0.033,0,0.033,,,,,,,,,,,,
0500000US05035,"Crittenden County, Arkansas",2012,50618,,0.46,0.51,0.001,0.002,0.001,0.011,0.014,0.003,0.011,,,,,,,,,,,,
0500000US05037,"Cross County, Arkansas",2012,17891,,0.746,0.23,0.003,0.006,0,0.001,0.014,0,0.014,,,,,,,,,,,,
0500000US05039,"Dallas County, Arkansas",2012,8122,,0.555,0.43,0.001,0.005,0,0.009,0,0,0,,,,,,,,,,,,
0500000US05041,"Desha County, Arkansas",2012,12922,,0.48,0.48,0.003,0,0,0.028,0.009,0.006,0.004,,,,,,,,,,,,
0500000US05043,"Drew County, Arkansas",2012,18615,,0.695,0.283,0.001,0.006,0,0.005,0.01,0,0.01,,,,,,,,,,,,
0500000US05045,"Faulkner County, Arkansas",2012,113730,,0.853,0.104,0.004,0.014,0,0.006,0.018,0.002,0.016,,,,,,,,,,,,
0500000US05047,"Franklin County, Arkansas",2012,18110,,0.953,0.009,0.007,0.003,0,0.002,0.027,0.002,0.025,,,,,,,,,,,,
0500000US05049,"Fulton County, Arkansas",2012,12301,,0.971,0.003,0.003,0.009,0,0,0.014,0,0.014,,,,,,,,,,,,
0500000US05051,"Garland County, Arkansas",2012,96249,,0.853,0.084,0.006,0.009,0,0.032,0.016,0.001,0.015,,,,,,,,,,,,
0500000US05053,"Grant County, Arkansas",2012,17852,,0.956,0.02,0.002,0.005,0,0.006,0.011,0,0.01,,,,,,,,,,,,
0500000US05055,"Greene County, Arkansas",2012,42224,,0.97,0.007,0.004,0.001,0,0.005,0.014,0.001,0.013,,,,,,,,,,,,
0500000US05057,"Hempstead County, Arkansas",2012,22548,,0.649,0.302,0.002,0,0,0.029,0.019,0.004,0.014,,,,,,,,,,,,
0500000US05059,"Hot Spring County, Arkansas",2012,33011,,0.866,0.109,0.004,0.001,0,0.002,0.018,0,0.018,,,,,,,,,,,,
0500000US05061,"Howard County, Arkansas",2012,13790,,0.697,0.213,0.011,0.003,0,0.072,0.004,0,0.004,,,,,,,,,,,,
0500000US05063,"Independence County, Arkansas",2012,36572,,0.948,0.027,0.006,0.001,0,0.005,0.012,0,0.011,,,,,,,,,,,,
0500000US05065,"Izard County, Arkansas",2012,13614,,0.959,0.012,0.002,0.002,0.004,0.001,0.021,0.002,0.019,,,,,,,,,,,,
0500000US05067,"Jackson County, Arkansas",2012,17885,,0.803,0.165,0.004,0.002,0,0.006,0.02,0,0.019,,,,,,,,,,,,
0500000US05069,"Jefferson County, Arkansas",2012,76836,,0.421,0.551,0.001,0.008,0.001,0.006,0.012,0.002,0.01,,,,,,,,,,,,
0500000US05071,"Johnson County, Arkansas",2012,25554,,0.944,0.016,0.007,0.003,0.003,0.007,0.02,0.003,0.017,,,,,,,,,,,,
0500000US05073,"Lafayette County, Arkansas",2012,7618,,0.615,0.374,0.001,0,0.001,0,0.009,0.001,0.009,,,,,,,,,,,,
0500000US05075,"Lawrence County, Arkansas",2012,17314,,0.976,0.007,0.002,0,0,0.001,0.015,0,0.015,,,,,,,,,,,,
0500000US05077,"Lee County, Arkansas",2012,10430,,0.423,0.565,0.003,0,0,0.009,0.001,0,0.001,,,,,,,,,,,,
0500000US05079,"Lincoln County, Arkansas",2012,14167,,0.664,0.295,0.002,0,0,0.02,0.018,0,0.018,,,,,,,,,,,,
0500000US05081,"Little River County, Arkansas",2012,13068,,0.744,0.219,0.005,0,0,0.008,0.023,0.001,0.023,,,,,,,,,,,,
0500000US05083,"Logan County, Arkansas",2012,22352,,0.938,0.014,0.01,0.018,0,0.005,0.014,0.001,0.013,,,,,,,,,,,,
0500000US05085,"Lonoke County, Arkansas",2012,68274,,0.898,0.062,0.007,0.007,0,0.01,0.017,0.004,0.013,,,,,,,,,,,,
0500000US05087,"Madison County, Arkansas",2012,15674,,0.955,0.002,0.005,0.005,0,0.01,0.023,0.001,0.022,,,,,,,,,,,,
0500000US05089,"Marion County, Arkansas",2012,16712,,0.968,0.002,0.004,0.003,0,0.005,0.017,0.001,0.017,,,,,,,,,,,,
0500000US05091,"Miller County, Arkansas",2012,43449,,0.727,0.244,0.004,0.006,0,0.004,0.016,0.001,0.016,,,,,,,,,,,,
0500000US05093,"Mississippi County, Arkansas",2012,46388,,0.635,0.342,0.002,0.004,0,0.003,0.015,0,0.015,,,,,,,,,,,,
0500000US05095,"Monroe County, Arkansas",2012,8145,,0.566,0.42,0.004,0,0,0.006,0.003,0,0.003,,,,,,,,,,,,
0500000US05097,"Montgomery County, Arkansas",2012,9453,,0.952,0.005,0.014,0,0,0.011,0.018,0,0.018,,,,,,,,,,,,
0500000US05099,"Nevada County, Arkansas",2012,9003,,0.67,0.317,0.004,0,0,0,0.009,0,0.009,,,,,,,,,,,,
0500000US05101,"Newton County, Arkansas",2012,8286,,0.949,0.005,0.008,0,0,0.003,0.035,0.003,0.033,,,,,,,,,,,,
0500000US05103,"Ouachita County, Arkansas",2012,25894,,0.573,0.403,0.002,0.001,0,0.001,0.02,0,0.02,,,,,,,,,,,,
0500000US05105,"Perry County, Arkansas",2012,10413,,0.95,0.023,0.006,0,0,0.005,0.017,0,0.017,,,,,,,,,,,,
0500000US05107,"Phillips County, Arkansas",2012,21646,,0.359,0.628,0.001,0.001,0,0.002,0.01,0,0.009,,,,,,,,,,,,
0500000US05109,"Pike County, Arkansas",2012,11261,,0.899,0.035,0.009,0.001,0,0.046,0.01,0.001,0.009,,,,,,,,,,,,
0500000US05111,"Poinsett County, Arkansas",2012,24506,,0.909,0.073,0.002,0.001,0,0.003,0.013,0.001,0.012,,,,,,,,,,,,
0500000US05113,"Polk County, Arkansas",2012,20535,,0.931,0.001,0.018,0.001,0,0.023,0.026,0.001,0.025,,,,,,,,,,,,
0500000US05115,"Pope County, Arkansas",2012,61853,,0.904,0.034,0.008,0.007,0,0.025,0.021,0.002,0.02,,,,,,,,,,,,
0500000US05117,"Prairie County, Arkansas",2012,8659,,0.861,0.129,0,0.001,0,0.002,0.007,0,0.007,,,,,,,,,,,,
0500000US05119,"Pulaski County, Arkansas",2012,383185,,0.594,0.35,0.003,0.021,0,0.015,0.018,0.001,0.017,,,,,,,,,,,,
0500000US05121,"Randolph County, Arkansas",2012,17992,,0.971,0.003,0.002,0.004,0,0.003,0.017,0,0.017,,,,,,,,,,,,
0500000US05123,"St. Francis County, Arkansas",2012,28089,,0.45,0.519,0.002,0.002,0,0.012,0.014,0.001,0.014,,,,,,,,,,,,
0500000US05125,"Saline County, Arkansas",2012,107498,,0.915,0.047,0.006,0.009,0,0.01,0.013,0.001,0.012,,,,,,,,,,,,
0500000US05127,"Scott County, Arkansas",2012,11170,,0.899,0.002,0.014,0.04,0,0.019,0.026,0,0.026,,,,,,,,,,,,
0500000US05129,"Searcy County, Arkansas",2012,8146,,0.965,0.003,0.008,0.002,0,0,0.021,0,0.021,,,,,,,,,,,,
0500000US05131,"Sebastian County, Arkansas",2012,125795,,0.831,0.058,0.009,0.041,0.001,0.013,0.047,0.004,0.043,,,,,,,,,,,,
0500000US05133,"Sevier County, Arkansas",2012,16978,,0.687,0.044,0.019,0.005,0,0.227,0.018,0.001,0.018,,,,,,,,,,,,
0500000US05135,"Sharp County, Arkansas",2012,17278,,0.963,0.003,0.007,0.003,0.002,0.001,0.022,0.003,0.018,,,,,,,,,,,,
0500000US05137,"Stone County, Arkansas",2012,12480,,0.971,0.001,0.001,0.009,0,0.002,0.016,0,0.016,,,,,,,,,,,,
0500000US05139,"Union County, Arkansas",2012,41594,,0.645,0.329,0.003,0.005,0,0.003,0.014,0.002,0.012,,,,,,,,,,,,
0500000US05141,"Van Buren County, Arkansas",2012,17223,,0.961,0.01,0.009,0.001,0,0.007,0.012,0,0.012,,,,,,,,,,,,
0500000US05143,"Washington County, Arkansas",2012,204057,,0.803,0.034,0.011,0.023,0.021,0.084,0.024,0.003,0.021,,,,,,,,,,,,
0500000US05145,"White County, Arkansas",2012,77007,,0.917,0.042,0.002,0.003,0,0.013,0.022,0.001,0.02,,,,,,,,,,,,
0500000US05147,"Woodruff County, Arkansas",2012,7262,,0.693,0.287,0.002,0,0.001,0.002,0.015,0.001,0.014,,,,,,,,,,,,
0500000US05149,"Yell County, Arkansas",2012,22033,,0.842,0.012,0.002,0.014,0,0.115,0.015,0,0.015,,,,,,,,,,,,
0500000US06001,"Alameda County, California",2012,1515136,,0.459,0.123,0.006,0.264,0.008,0.084,0.056,0.012,0.044,,,,,,,,,,,,
0500000US06003,"Alpine County, California",2012,1197,,0.712,0,0.197,0.027,0.018,0.033,0.013,0.008,0.005,,,,,,,,,,,,
