geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US28145,"Union County, Mississippi",2016,27989,,0.822,0.146,0.002,0.008,0.001,0.006,0.017,0.002,0.015,,,,,,0,,,,,,
0500000US28147,"Walthall County, Mississippi",2016,14812,,0.531,0.458,0,0.003,0,0.002,0.006,0,0.006,,,,,,0,,,,,,
0500000US28149,"Warren County, Mississippi",2016,47834,,0.491,0.483,0.001,0.008,0,0.006,0.011,0,0.01,,,,,,0,,,,,,
0500000US28151,"Washington County, Mississippi",2016,48824,,0.264,0.717,0.001,0.006,0,0.006,0.007,0.002,0.005,,,,,,0,,,,,,
0500000US28153,"Wayne County, Mississippi",2016,20517,,0.59,0.394,0.003,0.004,0,0.003,0.007,0,0.007,,,,,,0,,,,,,
0500000US28155,"Webster County, Mississippi",2016,9922,,0.791,0.192,0.002,0.002,0,0.002,0.011,0.001,0.01,,,,,,0,,,,,,
0500000US28157,"Wilkinson County, Mississippi",2016,9233,,0.28,0.715,0,0,0,0.004,0.001,0,0.001,,,,,,0,,,,,,
0500000US28159,"Winston County, Mississippi",2016,18519,,0.512,0.479,0.005,0,0,0.004,0.001,0,0.001,,,,,,0,,,,,,
0500000US28161,"Yalobusha County, Mississippi",2016,12380,,0.587,0.399,0.004,0.002,0,0.004,0.003,0,0.003,,,,,,0,,,,,,
0500000US28163,"Yazoo County, Mississippi",2016,27719,,0.379,0.591,0.003,0.005,0,0.011,0.012,0.002,0.01,,,,,,0,,,,,,
0500000US29001,"Adair County, Missouri",2016,25547,,0.926,0.022,0.002,0.02,0.004,0.003,0.022,0.006,0.017,,,,,,0,,,,,,
0500000US29003,"Andrew County, Missouri",2016,17347,,0.962,0.015,0.004,0.004,0.002,0.001,0.011,0.001,0.01,,,,,,0,,,,,,
0500000US29005,"Atchison County, Missouri",2016,5380,,0.978,0.005,0.003,0.004,0,0,0.01,0.001,0.009,,,,,,0,,,,,,
0500000US29007,"Audrain County, Missouri",2016,25868,,0.891,0.059,0.002,0.003,0,0.01,0.035,0.006,0.029,,,,,,0,,,,,,
0500000US29009,"Barry County, Missouri",2016,35716,,0.93,0.002,0.005,0.015,0,0.026,0.023,0,0.022,,,,,,0,,,,,,
0500000US29011,"Barton County, Missouri",2016,12075,,0.94,0.002,0.018,0.006,0,0.011,0.023,0.004,0.019,,,,,,0,,,,,,
0500000US29013,"Bates County, Missouri",2016,16513,,0.956,0.01,0.006,0.002,0.001,0.008,0.018,0.001,0.017,,,,,,0,,,,,,
0500000US29015,"Benton County, Missouri",2016,18825,,0.969,0.004,0.003,0.002,0,0.002,0.019,0.001,0.018,,,,,,0,,,,,,
0500000US29017,"Bollinger County, Missouri",2016,12282,,0.978,0.003,0.008,0.003,0,0,0.009,0,0.009,,,,,,0,,,,,,
0500000US29019,"Boone County, Missouri",2016,172773,,0.818,0.082,0.002,0.042,0.001,0.009,0.045,0.002,0.043,,,,,,0,,,,,,
0500000US29021,"Buchanan County, Missouri",2016,89415,,0.888,0.051,0.003,0.01,0.001,0.009,0.038,0.003,0.034,,,,,,0,,,,,,
0500000US29023,"Butler County, Missouri",2016,42887,,0.906,0.053,0.005,0.007,0,0.004,0.025,0,0.024,,,,,,0,,,,,,
0500000US29025,"Caldwell County, Missouri",2016,9057,,0.962,0.008,0.004,0.002,0,0.005,0.019,0.001,0.018,,,,,,0,,,,,,
0500000US29027,"Callaway County, Missouri",2016,44693,,0.917,0.038,0.003,0.009,0,0.004,0.029,0.001,0.028,,,,,,0,,,,,,
0500000US29029,"Camden County, Missouri",2016,44152,,0.965,0.007,0.005,0.006,0,0.006,0.01,0,0.01,,,,,,0,,,,,,
0500000US29031,"Cape Girardeau County, Missouri",2016,78089,,0.881,0.077,0.003,0.014,0,0.004,0.021,0.001,0.02,,,,,,0,,,,,,
0500000US29033,"Carroll County, Missouri",2016,9009,,0.961,0.009,0,0.003,0,0.003,0.023,0,0.023,,,,,,0,,,,,,
0500000US29035,"Carter County, Missouri",2016,6249,,0.955,0.001,0.017,0,0,0.002,0.025,0.001,0.024,,,,,,0,,,,,,
0500000US29037,"Cass County, Missouri",2016,101324,,0.918,0.035,0.004,0.007,0,0.007,0.028,0.003,0.025,,,,,,0,,,,,,
0500000US29039,"Cedar County, Missouri",2016,13932,,0.967,0.001,0,0.001,0.002,0.003,0.027,0.002,0.025,,,,,,0,,,,,,
0500000US29041,"Chariton County, Missouri",2016,7615,,0.96,0.024,0.002,0.001,0,0,0.013,0,0.013,,,,,,0,,,,,,
0500000US29043,"Christian County, Missouri",2016,82053,,0.957,0.006,0.007,0.006,0,0.004,0.021,0.001,0.02,,,,,,0,,,,,,
0500000US29045,"Clark County, Missouri",2016,6860,,0.975,0.003,0.004,0,0,0,0.018,0,0.018,,,,,,0,,,,,,
0500000US29047,"Clay County, Missouri",2016,233135,,0.865,0.057,0.005,0.021,0.002,0.016,0.035,0.005,0.03,,,,,,0,,,,,,
0500000US29049,"Clinton County, Missouri",2016,20494,,0.951,0.017,0.007,0.006,0,0.006,0.014,0.001,0.014,,,,,,0,,,,,,
0500000US29051,"Cole County, Missouri",2016,76603,,0.833,0.115,0.005,0.013,0.001,0.015,0.019,0.001,0.018,,,,,,0,,,,,,
0500000US29053,"Cooper County, Missouri",2016,17613,,0.892,0.063,0.003,0.003,0.001,0.008,0.03,0.002,0.028,,,,,,0,,,,,,
0500000US29055,"Crawford County, Missouri",2016,24545,,0.976,0.002,0.004,0.001,0,0,0.016,0,0.016,,,,,,0,,,,,,
0500000US29057,"Dade County, Missouri",2016,7590,,0.957,0.004,0.005,0.001,0.001,0.002,0.031,0,0.031,,,,,,0,,,,,,
0500000US29059,"Dallas County, Missouri",2016,16508,,0.953,0.001,0.009,0.001,0,0.008,0.028,0.003,0.026,,,,,,0,,,,,,
0500000US29061,"Daviess County, Missouri",2016,8257,,0.972,0.012,0.003,0.001,0,0.003,0.01,0.003,0.007,,,,,,0,,,,,,
0500000US29063,"DeKalb County, Missouri",2016,12706,,0.846,0.102,0.01,0.003,0.001,0.003,0.035,0.001,0.034,,,,,,0,,,,,,
0500000US29065,"Dent County, Missouri",2016,15578,,0.963,0.006,0.008,0.004,0,0.002,0.018,0,0.018,,,,,,0,,,,,,
0500000US29067,"Douglas County, Missouri",2016,13467,,0.982,0.001,0.003,0,0,0.011,0.003,0,0.003,,,,,,0,,,,,,
0500000US29069,"Dunklin County, Missouri",2016,31271,,0.853,0.096,0.004,0.003,0,0.024,0.02,0,0.02,,,,,,0,,,,,,
0500000US29071,"Franklin County, Missouri",2016,102063,,0.964,0.009,0.001,0.005,0.001,0.006,0.014,0.001,0.013,,,,,,0,,,,,,
0500000US29073,"Gasconade County, Missouri",2016,14875,,0.977,0.005,0.003,0.003,0,0,0.011,0,0.011,,,,,,0,,,,,,
0500000US29075,"Gentry County, Missouri",2016,6745,,0.972,0.011,0.002,0.005,0,0.004,0.006,0.003,0.004,,,,,,0,,,,,,
0500000US29077,"Greene County, Missouri",2016,285449,,0.907,0.033,0.005,0.018,0.001,0.009,0.026,0.002,0.024,,,,,,0,,,,,,
0500000US29079,"Grundy County, Missouri",2016,10231,,0.965,0.007,0.006,0.003,0.001,0.001,0.017,0.002,0.015,,,,,,0,,,,,,
0500000US29081,"Harrison County, Missouri",2016,8649,,0.972,0.008,0.001,0,0,0.005,0.013,0,0.013,,,,,,0,,,,,,
0500000US29083,"Henry County, Missouri",2016,21930,,0.959,0.015,0.007,0.002,0,0.003,0.014,0,0.014,,,,,,0,,,,,,
