geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13121003000,13121,13121003000,"Census Tract 30, Fulton County, Georgia",2012,2499,5469,0,0.069
1400000US13121003000,13121,13121003000,"Census Tract 30, Fulton County, Georgia",2014,2904,6356,0,0.084
1400000US13121003000,13121,13121003000,"Census Tract 30, Fulton County, Georgia",2016,3133,6857,1,0.071
1400000US13121003000,13121,13121003000,"Census Tract 30, Fulton County, Georgia",2018,3540,7748,1,0.077
1400000US13121003000,13121,13121003000,"Census Tract 30, Fulton County, Georgia",2020,3679,7775,1,0.079
1400000US13121003100,13121,13121003100,"Census Tract 31, Fulton County, Georgia",2012,1714,5069,0,0.596
1400000US13121003100,13121,13121003100,"Census Tract 31, Fulton County, Georgia",2014,1937,5728,0,0.491
1400000US13121003100,13121,13121003100,"Census Tract 31, Fulton County, Georgia",2016,2013,5953,1,0.376
1400000US13121003100,13121,13121003100,"Census Tract 31, Fulton County, Georgia",2018,2026,5992,1,0.318
1400000US13121003100,13121,13121003100,"Census Tract 31, Fulton County, Georgia",2020,2290,7289,1,0.393
1400000US13121003200,13121,13121003200,"Census Tract 32, Fulton County, Georgia",2012,2150,5234,0,0.32
1400000US13121003200,13121,13121003200,"Census Tract 32, Fulton County, Georgia",2014,2166,5273,0,0.324
1400000US13121003200,13121,13121003200,"Census Tract 32, Fulton County, Georgia",2016,2144,5219,0,0.158
1400000US13121003200,13121,13121003200,"Census Tract 32, Fulton County, Georgia",2018,2316,5638,0,0.068
1400000US13121003200,13121,13121003200,"Census Tract 32, Fulton County, Georgia",2020,2346,5664,0,0.075
1400000US13121003500,13121,13121003500,"Census Tract 35, Fulton County, Georgia",2012,1979,3713,0,0.576
1400000US13121003500,13121,13121003500,"Census Tract 35, Fulton County, Georgia",2014,2050,3776,0,0.588
1400000US13121003500,13121,13121003500,"Census Tract 35, Fulton County, Georgia",2016,2212,4074,2,0.606
1400000US13121003500,13121,13121003500,"Census Tract 35, Fulton County, Georgia",2018,2022,3724,2,0.588
1400000US13121003500,13121,13121003500,"Census Tract 35, Fulton County, Georgia",2020,2468,4579,2,0.66
1400000US13121003600,13121,13121003600,"Census Tract 36, Fulton County, Georgia",2012,1335,8769,0,0.658
1400000US13121003600,13121,13121003600,"Census Tract 36, Fulton County, Georgia",2014,1364,8960,0,0.745
1400000US13121003600,13121,13121003600,"Census Tract 36, Fulton County, Georgia",2016,1281,8415,1,0.827
1400000US13121003600,13121,13121003600,"Census Tract 36, Fulton County, Georgia",2018,1498,9850,1,0.79
1400000US13121003600,13121,13121003600,"Census Tract 36, Fulton County, Georgia",2020,1132,7443,1,0.787
1400000US13121003700,13121,13121003700,"Census Tract 37, Fulton County, Georgia",2012,0,0,0,0
1400000US13121003700,13121,13121003700,"Census Tract 37, Fulton County, Georgia",2014,30,858,0,1
1400000US13121003700,13121,13121003700,"Census Tract 37, Fulton County, Georgia",2016,95,2716,0,1
1400000US13121003700,13121,13121003700,"Census Tract 37, Fulton County, Georgia",2018,148,4232,0,1
1400000US13121003700,13121,13121003700,"Census Tract 37, Fulton County, Georgia",2020,176,5033,0,0.881
1400000US13121003800,13121,13121003800,"Census Tract 38, Fulton County, Georgia",2012,3682,11424,0,0.674
1400000US13121003800,13121,13121003800,"Census Tract 38, Fulton County, Georgia",2014,3765,11681,0,0.62
1400000US13121003800,13121,13121003800,"Census Tract 38, Fulton County, Georgia",2016,3937,12215,2,0.679
1400000US13121003800,13121,13121003800,"Census Tract 38, Fulton County, Georgia",2018,4075,12643,2,0.703
1400000US13121003800,13121,13121003800,"Census Tract 38, Fulton County, Georgia",2020,4377,13580,2,0.605
1400000US13121003900,13121,13121003900,"Census Tract 39, Fulton County, Georgia",2012,1460,4534,0,0.961
1400000US13121003900,13121,13121003900,"Census Tract 39, Fulton County, Georgia",2014,1711,5314,0,0.943
1400000US13121003900,13121,13121003900,"Census Tract 39, Fulton County, Georgia",2016,2176,6758,1,0.98
1400000US13121003900,13121,13121003900,"Census Tract 39, Fulton County, Georgia",2018,2414,7424,1,0.983
1400000US13121003900,13121,13121003900,"Census Tract 39, Fulton County, Georgia",2020,2011,6185,1,0.963
1400000US13121004000,13121,13121004000,"Census Tract 40, Fulton County, Georgia",2012,2531,4050,0,0.986
1400000US13121004000,13121,13121004000,"Census Tract 40, Fulton County, Georgia",2014,2420,3872,0,0.987
1400000US13121004000,13121,13121004000,"Census Tract 40, Fulton County, Georgia",2016,2396,3834,1,0.987
1400000US13121004000,13121,13121004000,"Census Tract 40, Fulton County, Georgia",2018,2323,3736,1,0.947
1400000US13121004000,13121,13121004000,"Census Tract 40, Fulton County, Georgia",2020,2677,4306,1,0.901
1400000US13121004100,13121,13121004100,"Census Tract 41, Fulton County, Georgia",2012,1708,3495,0,0.937
1400000US13121004100,13121,13121004100,"Census Tract 41, Fulton County, Georgia",2014,1836,3757,0,0.919
1400000US13121004100,13121,13121004100,"Census Tract 41, Fulton County, Georgia",2016,2295,4696,0,0.91
1400000US13121004100,13121,13121004100,"Census Tract 41, Fulton County, Georgia",2018,2135,4388,0,0.874
1400000US13121004100,13121,13121004100,"Census Tract 41, Fulton County, Georgia",2020,2318,4764,0,0.747
1400000US13121004200,13121,13121004200,"Census Tract 42, Fulton County, Georgia",2012,2331,4840,0,0.946
1400000US13121004200,13121,13121004200,"Census Tract 42, Fulton County, Georgia",2014,2593,5384,0,0.915
1400000US13121004200,13121,13121004200,"Census Tract 42, Fulton County, Georgia",2016,2527,5247,2,0.922
1400000US13121004200,13121,13121004200,"Census Tract 42, Fulton County, Georgia",2018,2453,5093,2,0.932
1400000US13121004200,13121,13121004200,"Census Tract 42, Fulton County, Georgia",2020,2675,5609,2,0.906
1400000US13121004300,13121,13121004300,"Census Tract 43, Fulton County, Georgia",2012,2351,9910,0,0.721
1400000US13121004300,13121,13121004300,"Census Tract 43, Fulton County, Georgia",2014,2646,11154,0,0.699
1400000US13121004300,13121,13121004300,"Census Tract 43, Fulton County, Georgia",2016,2996,12629,0,0.756
1400000US13121004300,13121,13121004300,"Census Tract 43, Fulton County, Georgia",2018,3133,13207,0,0.768
1400000US13121004300,13121,13121004300,"Census Tract 43, Fulton County, Georgia",2020,2703,11219,0,0.721
1400000US13121004400,13121,13121004400,"Census Tract 44, Fulton County, Georgia",2012,1379,4317,0,0.941
1400000US13121004400,13121,13121004400,"Census Tract 44, Fulton County, Georgia",2014,2036,6388,0,0.963
1400000US13121004400,13121,13121004400,"Census Tract 44, Fulton County, Georgia",2016,2817,8838,2,0.962
1400000US13121004400,13121,13121004400,"Census Tract 44, Fulton County, Georgia",2018,2654,8326,2,0.859
1400000US13121004400,13121,13121004400,"Census Tract 44, Fulton County, Georgia",2020,3105,9737,2,0.891
1400000US13121004800,13121,13121004800,"Census Tract 48, Fulton County, Georgia",2012,753,4961,0,0.835
1400000US13121004800,13121,13121004800,"Census Tract 48, Fulton County, Georgia",2014,974,6417,0,0.787
1400000US13121004800,13121,13121004800,"Census Tract 48, Fulton County, Georgia",2016,1141,7517,0,0.629
1400000US13121004800,13121,13121004800,"Census Tract 48, Fulton County, Georgia",2018,1144,7537,0,0.671
1400000US13121004800,13121,13121004800,"Census Tract 48, Fulton County, Georgia",2020,1088,7474,0,0.814
1400000US13121004900,13121,13121004900,"Census Tract 49, Fulton County, Georgia",2012,2584,6117,0,0.442
1400000US13121004900,13121,13121004900,"Census Tract 49, Fulton County, Georgia",2014,2696,6382,0,0.448
1400000US13121004900,13121,13121004900,"Census Tract 49, Fulton County, Georgia",2016,2940,6960,1,0.39
1400000US13121004900,13121,13121004900,"Census Tract 49, Fulton County, Georgia",2018,2645,6262,1,0.352
1400000US13121004900,13121,13121004900,"Census Tract 49, Fulton County, Georgia",2020,2884,6729,1,0.368
1400000US13121005000,13121,13121005000,"Census Tract 50, Fulton County, Georgia",2012,2183,4157,0,0.195
1400000US13121005000,13121,13121005000,"Census Tract 50, Fulton County, Georgia",2014,2074,3950,0,0.217
1400000US13121005000,13121,13121005000,"Census Tract 50, Fulton County, Georgia",2016,2004,3816,0,0.2
1400000US13121005000,13121,13121005000,"Census Tract 50, Fulton County, Georgia",2018,2021,3849,0,0.163
1400000US13121005000,13121,13121005000,"Census Tract 50, Fulton County, Georgia",2020,2651,5046,0,0.298
1400000US13121005200,13121,13121005200,"Census Tract 52, Fulton County, Georgia",2012,4113,4698,0,0.31
1400000US13121005200,13121,13121005200,"Census Tract 52, Fulton County, Georgia",2014,4938,5641,0,0.275
1400000US13121005200,13121,13121005200,"Census Tract 52, Fulton County, Georgia",2016,5534,6322,1,0.259
1400000US13121005200,13121,13121005200,"Census Tract 52, Fulton County, Georgia",2018,5420,6191,1,0.209
1400000US13121005200,13121,13121005200,"Census Tract 52, Fulton County, Georgia",2020,4899,5598,1,0.135
1400000US13121005300,13121,13121005300,"Census Tract 53, Fulton County, Georgia",2012,3914,4576,0,0.491
1400000US13121005300,13121,13121005300,"Census Tract 53, Fulton County, Georgia",2014,3702,4328,0,0.346
1400000US13121005300,13121,13121005300,"Census Tract 53, Fulton County, Georgia",2016,3606,4216,1,0.295
1400000US13121005300,13121,13121005300,"Census Tract 53, Fulton County, Georgia",2018,3713,4341,1,0.263
1400000US13121005300,13121,13121005300,"Census Tract 53, Fulton County, Georgia",2020,3927,4591,1,0.251
1400000US13121005501,13121,13121005501,"Census Tract 55.01, Fulton County, Georgia",2012,2611,5670,0,0.779
1400000US13121005501,13121,13121005501,"Census Tract 55.01, Fulton County, Georgia",2014,2537,5509,0,0.717
1400000US13121005501,13121,13121005501,"Census Tract 55.01, Fulton County, Georgia",2016,2296,4986,1,0.759
1400000US13121005501,13121,13121005501,"Census Tract 55.01, Fulton County, Georgia",2018,2349,5101,1,0.754
1400000US13121005501,13121,13121005501,"Census Tract 55.01, Fulton County, Georgia",2020,3036,6593,1,0.76
1400000US13121005502,13121,13121005502,"Census Tract 55.02, Fulton County, Georgia",2012,2461,3745,0,0.939
1400000US13121005502,13121,13121005502,"Census Tract 55.02, Fulton County, Georgia",2014,2645,4025,0,0.926
1400000US13121005502,13121,13121005502,"Census Tract 55.02, Fulton County, Georgia",2016,2157,3282,0,0.929
1400000US13121005502,13121,13121005502,"Census Tract 55.02, Fulton County, Georgia",2018,2887,4393,0,0.925
1400000US13121005503,13121,13121005503,"Census Tract 55.03, Fulton County, Georgia",2020,1071,4852,0,1
1400000US13121005504,13121,13121005504,"Census Tract 55.04, Fulton County, Georgia",2020,1347,3086,0,0.852
1400000US13121005700,13121,13121005700,"Census Tract 57, Fulton County, Georgia",2012,1357,4223,0,0.945
1400000US13121005700,13121,13121005700,"Census Tract 57, Fulton County, Georgia",2014,1768,5502,0,0.985
1400000US13121005700,13121,13121005700,"Census Tract 57, Fulton County, Georgia",2016,1707,5312,1,0.948
1400000US13121005700,13121,13121005700,"Census Tract 57, Fulton County, Georgia",2018,1704,5303,1,0.947
1400000US13121005700,13121,13121005700,"Census Tract 57, Fulton County, Georgia",2020,1400,4822,1,0.942
1400000US13121005800,13121,13121005800,"Census Tract 58, Fulton County, Georgia",2012,1347,2777,0,0.889
1400000US13121005800,13121,13121005800,"Census Tract 58, Fulton County, Georgia",2014,1754,3616,0,0.872
1400000US13121005800,13121,13121005800,"Census Tract 58, Fulton County, Georgia",2016,2048,4222,0,0.807
1400000US13121005800,13121,13121005800,"Census Tract 58, Fulton County, Georgia",2018,1698,3500,0,0.758
1400000US13121005800,13121,13121005800,"Census Tract 58, Fulton County, Georgia",2020,1253,2583,0,0.587
1400000US13121006000,13121,13121006000,"Census Tract 60, Fulton County, Georgia",2012,3224,5350,0,0.956
1400000US13121006000,13121,13121006000,"Census Tract 60, Fulton County, Georgia",2014,3083,5116,0,0.942
1400000US13121006000,13121,13121006000,"Census Tract 60, Fulton County, Georgia",2016,3401,5644,0,0.936
1400000US13121006000,13121,13121006000,"Census Tract 60, Fulton County, Georgia",2018,3549,5869,0,0.898
1400000US13121006000,13121,13121006000,"Census Tract 60, Fulton County, Georgia",2020,3686,6095,0,0.897
1400000US13121006100,13121,13121006100,"Census Tract 61, Fulton County, Georgia",2012,3641,4197,0,0.928
1400000US13121006100,13121,13121006100,"Census Tract 61, Fulton County, Georgia",2014,3614,4166,0,0.961
1400000US13121006100,13121,13121006100,"Census Tract 61, Fulton County, Georgia",2016,3876,4468,2,0.971
1400000US13121006100,13121,13121006100,"Census Tract 61, Fulton County, Georgia",2018,3824,4408,2,0.949
1400000US13121006100,13121,13121006100,"Census Tract 61, Fulton County, Georgia",2020,3745,4317,2,0.94
1400000US13121006200,13121,13121006200,"Census Tract 62, Fulton County, Georgia",2012,1182,2943,0,0.881
1400000US13121006200,13121,13121006200,"Census Tract 62, Fulton County, Georgia",2014,1366,3401,0,0.808
1400000US13121006200,13121,13121006200,"Census Tract 62, Fulton County, Georgia",2016,1480,3685,0,0.889
1400000US13121006200,13121,13121006200,"Census Tract 62, Fulton County, Georgia",2018,1729,4305,0,0.927
1400000US13121006200,13121,13121006200,"Census Tract 62, Fulton County, Georgia",2020,2025,5029,0,0.638
1400000US13121006300,13121,13121006300,"Census Tract 63, Fulton County, Georgia",2012,1559,3046,0,0.997
1400000US13121006300,13121,13121006300,"Census Tract 63, Fulton County, Georgia",2014,1630,3184,0,0.996
1400000US13121006300,13121,13121006300,"Census Tract 63, Fulton County, Georgia",2016,1705,3331,0,0.952
1400000US13121006300,13121,13121006300,"Census Tract 63, Fulton County, Georgia",2018,1389,2714,0,0.867
1400000US13121006300,13121,13121006300,"Census Tract 63, Fulton County, Georgia",2020,1668,3259,0,0.899
1400000US13121006400,13121,13121006400,"Census Tract 64, Fulton County, Georgia",2012,1084,2235,0,0.684
1400000US13121006400,13121,13121006400,"Census Tract 64, Fulton County, Georgia",2014,1082,2231,0,0.567
1400000US13121006400,13121,13121006400,"Census Tract 64, Fulton County, Georgia",2016,1159,2389,0,0.549
1400000US13121006400,13121,13121006400,"Census Tract 64, Fulton County, Georgia",2018,1052,2169,0,0.629
1400000US13121006400,13121,13121006400,"Census Tract 64, Fulton County, Georgia",2020,902,1860,0,0.522
1400000US13121006500,13121,13121006500,"Census Tract 65, Fulton County, Georgia",2012,4009,3165,0,0.835
1400000US13121006500,13121,13121006500,"Census Tract 65, Fulton County, Georgia",2014,4030,3182,0,0.81
1400000US13121006500,13121,13121006500,"Census Tract 65, Fulton County, Georgia",2016,4611,3641,2,0.817
1400000US13121006500,13121,13121006500,"Census Tract 65, Fulton County, Georgia",2018,4279,3378,2,0.733
1400000US13121006500,13121,13121006500,"Census Tract 65, Fulton County, Georgia",2020,3871,3048,2,0.722
1400000US13121006601,13121,13121006601,"Census Tract 66.01, Fulton County, Georgia",2012,1799,2384,0,0.772
1400000US13121006601,13121,13121006601,"Census Tract 66.01, Fulton County, Georgia",2014,2413,3198,0,0.81
1400000US13121006601,13121,13121006601,"Census Tract 66.01, Fulton County, Georgia",2016,2107,2793,1,0.824
1400000US13121006601,13121,13121006601,"Census Tract 66.01, Fulton County, Georgia",2018,1762,2335,1,0.804
1400000US13121006601,13121,13121006601,"Census Tract 66.01, Fulton County, Georgia",2020,1658,2226,1,0.712
1400000US13121006602,13121,13121006602,"Census Tract 66.02, Fulton County, Georgia",2012,896,3655,0,0.972
1400000US13121006602,13121,13121006602,"Census Tract 66.02, Fulton County, Georgia",2014,1091,4451,0,0.941
1400000US13121006602,13121,13121006602,"Census Tract 66.02, Fulton County, Georgia",2016,1388,5662,1,0.968
1400000US13121006602,13121,13121006602,"Census Tract 66.02, Fulton County, Georgia",2018,1195,4875,1,0.983
1400000US13121006602,13121,13121006602,"Census Tract 66.02, Fulton County, Georgia",2020,875,3583,1,0.981
1400000US13121006700,13121,13121006700,"Census Tract 67, Fulton County, Georgia",2012,3386,2594,0,0.915
1400000US13121006700,13121,13121006700,"Census Tract 67, Fulton County, Georgia",2014,3837,2939,0,0.9
1400000US13121006700,13121,13121006700,"Census Tract 67, Fulton County, Georgia",2016,3868,2963,3,0.905
1400000US13121006700,13121,13121006700,"Census Tract 67, Fulton County, Georgia",2018,4031,3088,3,0.953
1400000US13121006701,13121,13121006701,"Census Tract 67.01, Fulton County, Georgia",2020,2938,8548,2,0.946
1400000US13121006702,13121,13121006702,"Census Tract 67.02, Fulton County, Georgia",2020,1782,1818,1,0.908
1400000US13121006801,13121,13121006801,"Census Tract 68.01, Fulton County, Georgia",2012,2302,9025,0,0.583
1400000US13121006801,13121,13121006801,"Census Tract 68.01, Fulton County, Georgia",2014,2355,9233,0,0.53
1400000US13121006801,13121,13121006801,"Census Tract 68.01, Fulton County, Georgia",2016,2509,9836,0,0.569
1400000US13121006801,13121,13121006801,"Census Tract 68.01, Fulton County, Georgia",2018,2384,9346,0,0.592
1400000US13121006801,13121,13121006801,"Census Tract 68.01, Fulton County, Georgia",2020,2219,8699,0,0.653
1400000US13121006802,13121,13121006802,"Census Tract 68.02, Fulton County, Georgia",2012,1724,6152,0,1
1400000US13121006802,13121,13121006802,"Census Tract 68.02, Fulton County, Georgia",2014,1907,6805,0,0.978
1400000US13121006802,13121,13121006802,"Census Tract 68.02, Fulton County, Georgia",2016,2048,7308,1,0.979
1400000US13121006802,13121,13121006802,"Census Tract 68.02, Fulton County, Georgia",2018,2272,8107,1,0.965
1400000US13121006802,13121,13121006802,"Census Tract 68.02, Fulton County, Georgia",2020,2040,7279,1,0.95
1400000US13121006900,13121,13121006900,"Census Tract 69, Fulton County, Georgia",2012,3562,2928,0,0.428
1400000US13121006900,13121,13121006900,"Census Tract 69, Fulton County, Georgia",2014,3659,3008,0,0.452
1400000US13121006900,13121,13121006900,"Census Tract 69, Fulton County, Georgia",2016,3984,3275,1,0.48
1400000US13121006900,13121,13121006900,"Census Tract 69, Fulton County, Georgia",2018,3535,2906,1,0.484
1400000US13121006900,13121,13121006900,"Census Tract 69, Fulton County, Georgia",2020,3297,2710,1,0.405
1400000US13121007001,13121,13121007001,"Census Tract 70.01, Fulton County, Georgia",2012,4380,2487,0,0.905
1400000US13121007001,13121,13121007001,"Census Tract 70.01, Fulton County, Georgia",2014,4730,2686,0,0.961
1400000US13121007001,13121,13121007001,"Census Tract 70.01, Fulton County, Georgia",2016,4859,2759,2,0.915
1400000US13121007001,13121,13121007001,"Census Tract 70.01, Fulton County, Georgia",2018,5002,2840,2,0.941
1400000US13121007001,13121,13121007001,"Census Tract 70.01, Fulton County, Georgia",2020,4243,2435,2,0.875
1400000US13121007002,13121,13121007002,"Census Tract 70.02, Fulton County, Georgia",2012,2240,1327,0,0.854
1400000US13121007002,13121,13121007002,"Census Tract 70.02, Fulton County, Georgia",2014,2217,1313,0,0.83
1400000US13121007002,13121,13121007002,"Census Tract 70.02, Fulton County, Georgia",2016,2216,1313,1,0.927
1400000US13121007002,13121,13121007002,"Census Tract 70.02, Fulton County, Georgia",2018,2688,1592,1,0.932
1400000US13121007002,13121,13121007002,"Census Tract 70.02, Fulton County, Georgia",2020,3126,1851,1,0.948
1400000US13121007100,13121,13121007100,"Census Tract 71, Fulton County, Georgia",2012,2609,2727,0,0.993
1400000US13121007100,13121,13121007100,"Census Tract 71, Fulton County, Georgia",2014,1927,2014,0,0.981
1400000US13121007100,13121,13121007100,"Census Tract 71, Fulton County, Georgia",2016,2002,2093,1,0.955
1400000US13121007100,13121,13121007100,"Census Tract 71, Fulton County, Georgia",2018,2299,2403,1,0.876
1400000US13121007100,13121,13121007100,"Census Tract 71, Fulton County, Georgia",2020,2663,2783,1,0.903
1400000US13121007200,13121,13121007200,"Census Tract 72, Fulton County, Georgia",2012,1713,495,0,0.979
1400000US13121007200,13121,13121007200,"Census Tract 72, Fulton County, Georgia",2014,1978,572,0,0.937
1400000US13121007200,13121,13121007200,"Census Tract 72, Fulton County, Georgia",2016,2090,604,1,0.935
1400000US13121007200,13121,13121007200,"Census Tract 72, Fulton County, Georgia",2018,2202,636,1,0.978
1400000US13121007200,13121,13121007200,"Census Tract 72, Fulton County, Georgia",2020,2268,666,1,0.906
1400000US13121007300,13121,13121007300,"Census Tract 73, Fulton County, Georgia",2012,7152,2432,0,0.963
1400000US13121007300,13121,13121007300,"Census Tract 73, Fulton County, Georgia",2014,7922,2695,0,0.955
1400000US13121007300,13121,13121007300,"Census Tract 73, Fulton County, Georgia",2016,7995,2720,1,0.944
1400000US13121007300,13121,13121007300,"Census Tract 73, Fulton County, Georgia",2018,7513,2556,1,0.901
1400000US13121007301,13121,13121007301,"Census Tract 73.01, Fulton County, Georgia",2020,4444,3320,0,0.824
1400000US13121007302,13121,13121007302,"Census Tract 73.02, Fulton County, Georgia",2020,3216,2020,1,0.901
1400000US13121007400,13121,13121007400,"Census Tract 74, Fulton County, Georgia",2012,2894,3223,0,0.696
1400000US13121007400,13121,13121007400,"Census Tract 74, Fulton County, Georgia",2014,2959,3295,0,0.675
1400000US13121007400,13121,13121007400,"Census Tract 74, Fulton County, Georgia",2016,3018,3361,0,0.764
1400000US13121007400,13121,13121007400,"Census Tract 74, Fulton County, Georgia",2018,3540,3942,0,0.775
1400000US13121007400,13121,13121007400,"Census Tract 74, Fulton County, Georgia",2020,3438,3821,0,0.777
1400000US13121007500,13121,13121007500,"Census Tract 75, Fulton County, Georgia",2012,3531,2775,0,0.837
1400000US13121007500,13121,13121007500,"Census Tract 75, Fulton County, Georgia",2014,3435,2700,0,0.87
1400000US13121007500,13121,13121007500,"Census Tract 75, Fulton County, Georgia",2016,3005,2362,2,0.851
1400000US13121007500,13121,13121007500,"Census Tract 75, Fulton County, Georgia",2018,3412,2682,2,0.865
1400000US13121007500,13121,13121007500,"Census Tract 75, Fulton County, Georgia",2020,2997,2336,2,0.848
1400000US13121007602,13121,13121007602,"Census Tract 76.02, Fulton County, Georgia",2012,2747,2111,0,0.937
1400000US13121007602,13121,13121007602,"Census Tract 76.02, Fulton County, Georgia",2014,2705,2079,0,0.943
1400000US13121007602,13121,13121007602,"Census Tract 76.02, Fulton County, Georgia",2016,2676,2057,4,0.981
1400000US13121007602,13121,13121007602,"Census Tract 76.02, Fulton County, Georgia",2018,2653,2039,4,0.964
1400000US13121007602,13121,13121007602,"Census Tract 76.02, Fulton County, Georgia",2020,2979,2290,4,0.947
1400000US13121007603,13121,13121007603,"Census Tract 76.03, Fulton County, Georgia",2012,5148,4228,0,0.919
1400000US13121007603,13121,13121007603,"Census Tract 76.03, Fulton County, Georgia",2014,4685,3848,0,0.943
1400000US13121007603,13121,13121007603,"Census Tract 76.03, Fulton County, Georgia",2016,4601,3779,1,0.967
1400000US13121007603,13121,13121007603,"Census Tract 76.03, Fulton County, Georgia",2018,4735,3889,1,0.973
1400000US13121007603,13121,13121007603,"Census Tract 76.03, Fulton County, Georgia",2020,3943,3236,1,0.949
1400000US13121007604,13121,13121007604,"Census Tract 76.04, Fulton County, Georgia",2012,2235,5173,0,0.947
1400000US13121007604,13121,13121007604,"Census Tract 76.04, Fulton County, Georgia",2014,2242,5190,0,0.996
1400000US13121007604,13121,13121007604,"Census Tract 76.04, Fulton County, Georgia",2016,2438,5643,0,0.893
1400000US13121007604,13121,13121007604,"Census Tract 76.04, Fulton County, Georgia",2018,2468,5713,0,0.9
1400000US13121007604,13121,13121007604,"Census Tract 76.04, Fulton County, Georgia",2020,3265,7558,0,0.855
1400000US13121007703,13121,13121007703,"Census Tract 77.03, Fulton County, Georgia",2012,3590,2054,0,0.992
1400000US13121007703,13121,13121007703,"Census Tract 77.03, Fulton County, Georgia",2014,3759,2151,0,1
1400000US13121007703,13121,13121007703,"Census Tract 77.03, Fulton County, Georgia",2016,4420,2529,1,0.99
1400000US13121007703,13121,13121007703,"Census Tract 77.03, Fulton County, Georgia",2018,4220,2415,1,0.967
1400000US13121007703,13121,13121007703,"Census Tract 77.03, Fulton County, Georgia",2020,3906,2235,1,0.956
1400000US13121007704,13121,13121007704,"Census Tract 77.04, Fulton County, Georgia",2012,5104,1955,0,0.917
1400000US13121007704,13121,13121007704,"Census Tract 77.04, Fulton County, Georgia",2014,5496,2105,0,0.895
1400000US13121007704,13121,13121007704,"Census Tract 77.04, Fulton County, Georgia",2016,5446,2086,2,0.915
1400000US13121007704,13121,13121007704,"Census Tract 77.04, Fulton County, Georgia",2018,6075,2327,2,0.955
1400000US13121007705,13121,13121007705,"Census Tract 77.05, Fulton County, Georgia",2012,4334,3404,0,0.952
1400000US13121007705,13121,13121007705,"Census Tract 77.05, Fulton County, Georgia",2014,4969,3903,0,0.97
1400000US13121007705,13121,13121007705,"Census Tract 77.05, Fulton County, Georgia",2016,4800,3771,1,0.956
1400000US13121007705,13121,13121007705,"Census Tract 77.05, Fulton County, Georgia",2018,4625,3633,1,0.973
1400000US13121007705,13121,13121007705,"Census Tract 77.05, Fulton County, Georgia",2020,4737,3721,1,0.985
1400000US13121007706,13121,13121007706,"Census Tract 77.06, Fulton County, Georgia",2012,8625,1760,0,0.946
1400000US13121007706,13121,13121007706,"Census Tract 77.06, Fulton County, Georgia",2014,9337,1907,0,0.952
1400000US13121007706,13121,13121007706,"Census Tract 77.06, Fulton County, Georgia",2016,9561,1952,2,0.94
1400000US13121007706,13121,13121007706,"Census Tract 77.06, Fulton County, Georgia",2018,9698,1993,2,0.951
1400000US13121007707,13121,13121007707,"Census Tract 77.07, Fulton County, Georgia",2020,2326,1763,1,0.964
1400000US13121007708,13121,13121007708,"Census Tract 77.08, Fulton County, Georgia",2020,3574,2765,1,0.984
1400000US13121007709,13121,13121007709,"Census Tract 77.09, Fulton County, Georgia",2020,4192,3159,1,0.853
1400000US13121007710,13121,13121007710,"Census Tract 77.10, Fulton County, Georgia",2020,2647,1004,0,0.964
1400000US13121007711,13121,13121007711,"Census Tract 77.11, Fulton County, Georgia",2020,3040,3366,1,0.989
1400000US13121007802,13121,13121007802,"Census Tract 78.02, Fulton County, Georgia",2012,8925,1736,0,0.973
1400000US13121007802,13121,13121007802,"Census Tract 78.02, Fulton County, Georgia",2014,9295,1808,0,0.98
1400000US13121007802,13121,13121007802,"Census Tract 78.02, Fulton County, Georgia",2016,9897,1925,1,0.975
1400000US13121007802,13121,13121007802,"Census Tract 78.02, Fulton County, Georgia",2018,10246,1984,1,0.971
1400000US13121007805,13121,13121007805,"Census Tract 78.05, Fulton County, Georgia",2012,3422,589,0,0.869
1400000US13121007805,13121,13121007805,"Census Tract 78.05, Fulton County, Georgia",2014,3385,583,0,0.879
1400000US13121007805,13121,13121007805,"Census Tract 78.05, Fulton County, Georgia",2016,3166,545,0,0.96
1400000US13121007805,13121,13121007805,"Census Tract 78.05, Fulton County, Georgia",2018,3381,581,0,0.945
1400000US13121007805,13121,13121007805,"Census Tract 78.05, Fulton County, Georgia",2020,4771,820,0,0.892
1400000US13121007806,13121,13121007806,"Census Tract 78.06, Fulton County, Georgia",2012,6006,3133,0,0.995
1400000US13121007806,13121,13121007806,"Census Tract 78.06, Fulton County, Georgia",2014,6396,3336,0,0.967
1400000US13121007806,13121,13121007806,"Census Tract 78.06, Fulton County, Georgia",2016,7253,3784,1,0.942
1400000US13121007806,13121,13121007806,"Census Tract 78.06, Fulton County, Georgia",2018,7255,3809,1,0.971
1400000US13121007806,13121,13121007806,"Census Tract 78.06, Fulton County, Georgia",2020,6524,3425,1,0.968
1400000US13121007807,13121,13121007807,"Census Tract 78.07, Fulton County, Georgia",2012,2871,2565,0,0.817
1400000US13121007807,13121,13121007807,"Census Tract 78.07, Fulton County, Georgia",2014,2854,2550,0,0.804
1400000US13121007807,13121,13121007807,"Census Tract 78.07, Fulton County, Georgia",2016,3543,3166,0,0.887
1400000US13121007807,13121,13121007807,"Census Tract 78.07, Fulton County, Georgia",2018,3368,3009,0,0.95
1400000US13121007807,13121,13121007807,"Census Tract 78.07, Fulton County, Georgia",2020,4637,4143,0,0.962
