localityid,geoid,name,x,y,stfp,cntyfp,tractfp
021a2f8c-b0b1-4fe0-9809-b57d599d7b7e,1400000US13261950100,"Census Tract 9501, Sumter County, Georgia",-84.140,32.197,13,261,13261950100
021abe78-c419-456e-a04b-072b3a382885,1400000US13221960202,"Census Tract 9602.02, Oglethorpe County, Georgia",-83.156,33.883,13,221,13221960202
021abe78-c419-456e-a04b-072b3a382885,1400000US13221960206,"Census Tract 9602.06, Oglethorpe County, Georgia",-83.156,33.883,13,221,13221960206
021ff45a-e2b9-4de4-93d2-b7589791e74b,1400000US13139001404,"Census Tract 14.04, Hall County, Georgia",-83.884,34.228,13,139,13139001404
022fb19b-c1ff-4d3b-b444-f4736c6f207b,1400000US13175950100,"Census Tract 9501, Laurens County, Georgia",-82.798,32.593,13,175,13175950100
026c9854-46e4-4ff5-a0fa-be8c538cc2df,1400000US13139000500,"Census Tract 5, Hall County, Georgia",-83.851,34.348,13,139,13139000500
026c9854-46e4-4ff5-a0fa-be8c538cc2df,1400000US13139000502,"Census Tract 5.02, Hall County, Georgia",-83.851,34.348,13,139,13139000502
02908a4f-1bb2-4ed1-83b4-3e315621ebd4,1400000US13073030402,"Census Tract 304.02, Columbia County, Georgia",-82.328,33.610,13,073,13073030402
02908a4f-1bb2-4ed1-83b4-3e315621ebd4,1400000US13073030404,"Census Tract 304.04, Columbia County, Georgia",-82.328,33.610,13,073,13073030404
029c4845-cef6-4798-ab69-ad728da841db,1400000US13067030602,"Census Tract 306.02, Cobb County, Georgia",-84.554,33.957,13,067,13067030602
02b9c3a9-5b53-443a-819c-fd844a744c39,1400000US13067030103,"Census Tract 301.03, Cobb County, Georgia",-84.659,34.051,13,067,13067030103
02b9c3a9-5b53-443a-819c-fd844a744c39,1400000US13067030111,"Census Tract 301.11, Cobb County, Georgia",-84.659,34.051,13,067,13067030111
02cefcd2-87db-4fe2-830d-74174ce4e79e,1400000US13067030218,"Census Tract 302.18, Cobb County, Georgia",-84.633,33.988,13,067,13067030218
02cefcd2-87db-4fe2-830d-74174ce4e79e,1400000US13067030265,"Census Tract 302.65, Cobb County, Georgia",-84.633,33.988,13,067,13067030265
02d29490-2088-4531-8993-e4805eab1431,1400000US13267950201,"Census Tract 9502.01, Tattnall County, Georgia",-82.121,32.083,13,267,13267950201
02d29490-2088-4531-8993-e4805eab1431,1400000US13267950203,"Census Tract 9502.03, Tattnall County, Georgia",-82.121,32.083,13,267,13267950203
02e21413-1182-4576-bd65-224d83d09277,1400000US13295020700,"Census Tract 207, Walker County, Georgia",-85.279,34.696,13,295,13295020700
02e21413-1182-4576-bd65-224d83d09277,1400000US13295020702,"Census Tract 207.02, Walker County, Georgia",-85.279,34.696,13,295,13295020702
02fbb76b-21df-45cf-be66-36f32fc6f10b,1400000US13121007808,"Census Tract 78.08, Fulton County, Georgia",-84.492,33.755,13,121,13121007808
02fbc17a-479e-449b-a6be-b3a3b1ba8602,1400000US13131950400,"Census Tract 9504, Grady County, Georgia",-84.156,30.888,13,131,13131950400
02fbc17a-479e-449b-a6be-b3a3b1ba8602,1400000US13131950402,"Census Tract 9504.02, Grady County, Georgia",-84.156,30.888,13,131,13131950402
032b7ec6-2012-4a31-a58d-8236c298fb08,1400000US13245001601,"Census Tract 16.01, Richmond County, Georgia",-82.048,33.465,13,245,13245001601
032b7ec6-2012-4a31-a58d-8236c298fb08,1400000US13245001604,"Census Tract 16.04, Richmond County, Georgia",-82.048,33.465,13,245,13245001604
032ff165-5cf5-4dbd-951b-f472947252f3,1400000US13285960700,"Census Tract 9607, Troup County, Georgia",-85.017,33.001,13,285,13285960700
033a59b2-e158-4831-b1fa-516bb0b95cb1,1400000US13251970600,"Census Tract 9706, Screven County, Georgia",-81.705,32.667,13,251,13251970600
0340bfda-5c25-4728-b380-86d49f1383e8,1400000US13089023111,"Census Tract 231.11, DeKalb County, Georgia",-84.224,33.766,13,089,13089023111
034b4a64-8246-462c-ad72-bca168ed5d83,1400000US13021012400,"Census Tract 124, Bibb County, Georgia",-83.692,32.847,13,021,13021012400
034fa4ec-b59d-4e71-b2ad-d52dc10a54da,1400000US13113140303,"Census Tract 1403.03, Fayette County, Georgia",-84.569,33.384,13,113,13113140303
035b352f-3bfa-4a16-9961-13359eb0a5f3,1400000US13047030401,"Census Tract 304.01, Catoosa County, Georgia",-85.187,34.923,13,047,13047030401
035b352f-3bfa-4a16-9961-13359eb0a5f3,1400000US13047030403,"Census Tract 304.03, Catoosa County, Georgia",-85.187,34.923,13,047,13047030403
035c6e08-cf02-48f0-a9e0-5672ef3cfe17,1400000US13177020100,"Census Tract 201, Lee County, Georgia",-84.096,31.653,13,177,13177020100
035c6e08-cf02-48f0-a9e0-5672ef3cfe17,1400000US13177020102,"Census Tract 201.02, Lee County, Georgia",-84.096,31.653,13,177,13177020102
03800dae-eec6-497c-a8ab-710a9e93bc21,1400000US13059001700,"Census Tract 17, Clarke County, Georgia",-83.415,33.962,13,059,13059001700
038d4486-db89-4bdf-bea8-cc7248ca416d,1400000US13089023427,"Census Tract 234.27, DeKalb County, Georgia",-84.175,33.681,13,089,13089023427
039e092c-4b90-4e05-8859-3c78b6e6d7c9,1400000US13087970700,"Census Tract 9707, Decatur County, Georgia",-84.729,30.770,13,087,13087970700
03b11504-3b98-4e33-856d-0be2118ae9e9,1400000US13289060200,"Census Tract 602, Twiggs County, Georgia",-83.366,32.626,13,289,13289060200
03baf5d8-596a-4114-9edf-b5f62ab7f5e5,1400000US13245010712,"Census Tract 107.12, Richmond County, Georgia",-82.094,33.353,13,245,13245010712
03baf5d8-596a-4114-9edf-b5f62ab7f5e5,1400000US13245010713,"Census Tract 107.13, Richmond County, Georgia",-82.094,33.353,13,245,13245010713
03cbacde-084f-4a1c-9705-8d722db9c96d,1400000US13089023310,"Census Tract 233.10, DeKalb County, Georgia",-84.149,33.710,13,089,13089023310
03cbacde-084f-4a1c-9705-8d722db9c96d,1400000US13089023319,"Census Tract 233.19, DeKalb County, Georgia",-84.149,33.710,13,089,13089023319
03dac4f7-d81e-47e9-9c2c-6fe45a1fd48c,1400000US13111050400,"Census Tract 504, Fannin County, Georgia",-84.326,34.867,13,111,13111050400
03e30954-edd8-46cf-afdb-64ed96396b6b,1400000US13051004210,"Census Tract 42.10, Chatham County, Georgia",-81.116,31.996,13,051,13051004210
03e5dcac-b539-49e8-85bf-121173ab33b5,1400000US13121011425,"Census Tract 114.25, Fulton County, Georgia",-84.224,34.014,13,121,13121011425
