stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
13,13097,13097,2022,2020,2020 - 2022,7,5,2,0.484,0.483,0.107,0.356,0.426,723.249,28,144735,101650,5169,3630,25,145065,102085,5802,4083,-633,-453
13,13053,13053,2022,2020,2020 - 2022,1,1,0,0.161,0.195,0.176,0.563,0.629,37.791,2,9400,7205,4700,3602,1,10470,8145,10470,8145,-5770,-4543
13,13175,13175,2022,2020,2020 - 2022,3,2,1,0.375,0.384,0.029,0.574,0.579,61.195,17,49405,36955,2906,2173,16,47405,35345,2962,2209,-56,-36
13,13179,13179,2022,2020,2020 - 2022,11,6,5,0.407,0.414,0.127,0.380,0.422,126.921,14,65550,45630,4682,3259,13,62040,43055,4772,3311,-90,-52
13,13181,13181,2018,2016,2016 - 2018,0,0,0,0.315,0.316,0.017,0.658,0.669,37.076,7,7800,6240,1114,891,7,7710,6180,1101,882,13,9
13,13181,13181,2020,2018,2018 - 2020,0,0,0,0.300,0.3,0.020,0.665,0.676,37.693,7,7930,6250,1132,892,7,7800,6240,1114,891,18,1
13,13181,13181,2022,2020,2020 - 2022,0,0,0,0.282,0.29,0.022,0.676,0.677,36.719,7,7725,6095,1103,870,7,7930,6250,1132,892,-29,-22
13,13115,13115,2022,2020,2020 - 2022,4,1,3,0.139,0.141,0.118,0.702,0.773,193.283,22,98540,71870,4479,3266,24,97805,70630,4075,2942,404,324
13,13115,13115,2020,2018,2018 - 2020,2,1,1,0.139,0.139,0.113,0.709,0.781,191.846,24,97805,70630,4075,2942,24,96825,69690,4034,2903,41,39
13,13115,13115,2018,2016,2016 - 2018,2,1,1,0.143,0.143,0.108,0.717,0.782,189.919,24,96825,69690,4034,2903,24,96200,68655,4008,2860,26,43
13,13113,13113,2020,2018,2018 - 2020,0,0,0,0.238,0.235,0.073,0.615,0.645,583.599,35,113545,82620,3244,2360,35,111370,80750,3182,2307,62,53
13,13113,13113,2018,2016,2016 - 2018,4,2,2,0.223,0.218,0.072,0.633,0.678,572.975,35,111370,80750,3182,2307,35,109495,78815,3128,2251,54,56
13,13111,13111,2022,2020,2020 - 2022,1,1,0,0.008,0.003,0.028,0.940,0.942,65.706,13,25435,21165,1956,1628,12,25795,21355,2149,1779,-193,-151
13,13111,13111,2020,2018,2018 - 2020,0,0,0,0.005,0.002,0.025,0.947,0.958,66.636,12,25795,21355,2149,1779,12,24925,20515,2077,1709,72,70
13,13111,13111,2018,2016,2016 - 2018,0,0,0,0.003,0.003,0.023,0.951,0.969,64.401,12,24925,20515,2077,1709,12,24015,19625,2001,1635,76,74
13,13109,13109,2022,2020,2020 - 2022,1,1,0,0.274,0.284,0.121,0.558,0.565,58.832,2,10760,7495,5380,3747,1,10670,7450,10670,7450,-5290,-3703
13,13109,13109,2020,2018,2018 - 2020,0,0,0,0.285,0.286,0.118,0.563,0.58,58.340,1,10670,7450,10670,7450,1,10725,7550,10725,7550,-55,-100
13,13003,13003,2018,2016,2016 - 2018,0,0,0,0.178,0.18,0.246,0.569,0.722,24.116,4,8265,5190,2066,1297,4,8270,5150,2067,1287,-1,10
13,13001,13001,2022,2020,2020 - 2022,5,2,3,0.182,0.197,0.103,0.684,0.727,36.280,8,18440,13090,2305,1636,9,18430,13275,2047,1475,258,161
13,13233,13233,2022,2020,2020 - 2022,3,2,1,0.126,0.123,0.138,0.711,0.785,138.622,8,43020,30070,5377,3758,7,42250,29530,6035,4218,-658,-460
13,13233,13233,2020,2018,2018 - 2020,4,2,2,0.113,0.113,0.132,0.719,0.795,136.143,7,42250,29530,6035,4218,7,41620,28990,5945,4141,90,77
13,13285,13285,2022,2020,2020 - 2022,4,2,2,0.362,0.367,0.039,0.555,0.571,167.931,15,69525,51210,4635,3414,15,70095,51450,4673,3430,-38,-16
13,13285,13285,2020,2018,2018 - 2020,2,1,1,0.366,0.366,0.037,0.561,0.58,169.308,15,70095,51450,4673,3430,15,69775,50790,4651,3386,22,44
13,13285,13285,2018,2016,2016 - 2018,5,3,2,0.356,0.357,0.037,0.568,0.588,168.536,15,69775,50790,4651,3386,14,69315,49985,4951,3570,-300,-184
13,13283,13283,2022,2020,2020 - 2022,1,1,0,0.285,0.278,0.009,0.686,0.708,32.141,2,6410,4855,3205,2427,1,6785,5045,6785,5045,-3580,-2618
13,13283,13283,2020,2018,2018 - 2020,0,0,0,0.290,0.29,0.018,0.690,0.706,34.022,1,6785,5045,6785,5045,1,6775,5035,6775,5035,10,10
13,13283,13283,2018,2016,2016 - 2018,1,0,1,0.271,0.272,0.018,0.709,0.723,33.971,1,6775,5035,6775,5035,2,6710,5180,3355,2590,3420,2445
13,13205,13205,2018,2016,2016 - 2018,1,1,0,0.465,0.466,0.045,0.461,0.495,43.795,13,22430,16625,1725,1278,12,22780,16900,1898,1408,-173,-130
13,13205,13205,2020,2018,2018 - 2020,0,0,0,0.459,0.46,0.047,0.457,0.481,43.092,13,22070,16730,1697,1286,13,22430,16625,1725,1278,-28,8
13,13205,13205,2022,2020,2020 - 2022,3,2,1,0.447,0.465,0.050,0.460,0.477,42.243,14,21635,16375,1545,1169,13,22070,16730,1697,1286,-152,-117
13,13207,13207,2018,2016,2016 - 2018,0,0,0,0.233,0.233,0.023,0.723,0.734,68.191,13,27010,20990,2077,1614,13,27045,21050,2080,1619,-3,-5
13,13207,13207,2020,2018,2018 - 2020,0,0,0,0.228,0.228,0.024,0.726,0.737,69.315,13,27455,21410,2111,1646,13,27010,20990,2077,1614,34,32
13,13207,13207,2022,2020,2020 - 2022,3,2,1,0.216,0.224,0.025,0.727,0.739,71.410,14,28285,22275,2020,1591,13,27455,21410,2111,1646,-91,-55
13,13209,13209,2018,2016,2016 - 2018,2,1,1,0.259,0.263,0.065,0.664,0.681,37.467,7,9035,6785,1290,969,7,9005,6715,1286,959,4,10
13,13209,13209,2020,2018,2018 - 2020,0,0,0,0.256,0.262,0.069,0.661,0.673,37.612,7,9070,7010,1295,1001,7,9035,6785,1290,969,5,32
13,13209,13209,2022,2020,2020 - 2022,3,2,1,0.235,0.258,0.074,0.655,0.679,36.016,8,8685,6745,1085,843,7,9070,7010,1295,1001,-210,-158
13,13281,13281,2022,2020,2020 - 2022,2,0,2,0.013,0.023,0.029,0.939,0.943,75.355,2,12545,10860,6272,5430,4,11815,10265,2953,2566,3319,2864
13,13281,13281,2018,2016,2016 - 2018,3,2,1,0.012,0.012,0.012,0.947,0.954,68.573,4,11415,9840,2853,2460,3,10975,9380,3658,3126,-805,-666
13,13279,13279,2022,2020,2020 - 2022,3,2,1,0.238,0.258,0.121,0.595,0.653,74.022,7,26945,18740,3849,2677,6,26945,18840,4490,3140,-641,-463
13,13279,13279,2020,2018,2018 - 2020,0,0,0,0.258,0.259,0.116,0.602,0.657,74.022,6,26945,18840,4490,3140,6,27050,18645,4508,3107,-18,33
13,13001,13001,2020,2018,2018 - 2020,5,1,4,0.198,0.198,0.100,0.690,0.738,36.260,9,18430,13275,2047,1475,12,18455,13465,1537,1122,510,353
13,13233,13233,2018,2016,2016 - 2018,4,2,2,0.122,0.122,0.131,0.721,0.773,134.115,7,41620,28990,5945,4141,7,41265,28485,5895,4069,50,72
13,13231,13231,2022,2020,2020 - 2022,7,4,3,0.089,0.086,0.019,0.870,0.878,88.599,9,19145,14540,2127,1615,8,18565,14145,2320,1768,-193,-153
13,13231,13231,2020,2018,2018 - 2020,0,0,0,0.093,0.089,0.017,0.870,0.881,85.915,8,18565,14145,2320,1768,8,18080,13610,2260,1701,60,67
13,13231,13231,2018,2016,2016 - 2018,6,3,3,0.100,0.1,0.015,0.869,0.879,83.670,8,18080,13610,2260,1701,8,17845,13275,2230,1659,30,42
13,13229,13229,2022,2020,2020 - 2022,1,1,0,0.097,0.1,0.051,0.837,0.856,58.216,3,19820,14650,6606,4883,2,19335,14210,9667,7105,-3061,-2222
13,13227,13227,2022,2020,2020 - 2022,5,3,2,0.005,0.013,0.033,0.931,0.878,144.101,13,33440,26595,2572,2045,12,32000,25210,2666,2100,-94,-55
13,13227,13227,2020,2018,2018 - 2020,0,0,0,0.016,0.016,0.031,0.859,0.874,137.896,12,32000,25210,2666,2100,12,30830,24155,2569,2012,97,88
13,13227,13227,2018,2016,2016 - 2018,2,1,1,0.013,0.013,0.031,0.873,0.898,132.855,12,30830,24155,2569,2012,12,29990,23350,2499,1945,70,67
13,13225,13225,2022,2020,2020 - 2022,1,1,0,0.437,0.446,0.082,0.449,0.499,186.680,7,28055,21680,4007,3097,6,27500,20945,4583,3490,-576,-393
13,13225,13225,2020,2018,2018 - 2020,0,0,0,0.443,0.445,0.077,0.455,0.49,182.986,6,27500,20945,4583,3490,6,26965,20400,4494,3400,89,90
13,13225,13225,2018,2016,2016 - 2018,0,0,0,0.446,0.447,0.075,0.459,0.488,179.448,6,26965,20400,4494,3400,6,26905,20060,4484,3343,10,57
13,13223,13223,2022,2020,2020 - 2022,21,13,8,0.208,0.203,0.076,0.665,0.718,543.940,18,169900,121295,9438,6738,13,164440,117500,12649,9038,-3211,-2300
13,13091,13091,2018,2016,2016 - 2018,21,7,14,0.281,0.281,0.035,0.653,0.674,42.181,7,20920,16500,2988,2357,14,20995,16285,1499,1163,1489,1194
13,13089,13089,2022,2020,2020 - 2022,45,23,22,0.531,0.528,0.085,0.293,0.326,2844.190,173,761210,532965,4400,3080,172,755285,522340,4391,3036,9,44
13,13089,13089,2020,2018,2018 - 2020,16,7,9,0.533,0.533,0.084,0.293,0.335,2820.962,172,755285,522340,4391,3036,174,743185,506820,4271,2912,120,124
13,13081,13081,2022,2020,2020 - 2022,4,2,2,0.448,0.457,0.040,0.490,0.521,74.281,5,20255,15340,4051,3068,5,22510,16915,4502,3383,-451,-315
13,13081,13081,2020,2018,2018 - 2020,0,0,0,0.458,0.458,0.035,0.498,0.525,82.551,5,22510,16915,4502,3383,5,22845,16755,4569,3351,-67,32
13,13081,13081,2018,2016,2016 - 2018,4,2,2,0.437,0.437,0.033,0.503,0.53,83.785,5,22845,16755,4569,3351,5,23060,17040,4612,3408,-43,-57
13,13079,13079,2022,2020,2020 - 2022,3,1,2,0.220,0.211,0.039,0.726,0.746,37.410,5,12155,9580,2431,1916,6,12265,9740,2044,1623,387,293
13,13079,13079,2020,2018,2018 - 2020,4,2,2,0.221,0.221,0.035,0.733,0.746,37.748,6,12265,9740,2044,1623,6,12345,9705,2057,1617,-13,6
13,13079,13079,2018,2016,2016 - 2018,8,4,4,0.241,0.241,0.013,0.735,0.744,37.995,6,12345,9705,2057,1617,6,12485,9700,2080,1616,-23,1
13,13077,13077,2022,2020,2020 - 2022,9,4,5,0.178,0.176,0.076,0.697,0.745,334.300,27,147450,108260,5461,4009,28,145840,105490,5208,3767,253,242
13,13071,13071,2022,2020,2020 - 2022,9,5,4,0.227,0.234,0.201,0.546,0.619,83.752,20,45815,30505,2290,1525,19,45510,30550,2395,1607,-105,-82
13,13071,13071,2020,2018,2018 - 2020,0,0,0,0.234,0.235,0.194,0.554,0.626,83.194,19,45510,30550,2395,1607,19,45605,29860,2400,1571,-5,36
13,13071,13071,2018,2016,2016 - 2018,0,0,0,0.228,0.23,0.190,0.563,0.645,83.369,19,45605,29860,2400,1571,19,46000,29675,2421,1561,-21,10
13,13069,13069,2022,2020,2020 - 2022,1,1,0,0.288,0.286,0.123,0.572,0.636,72.698,7,43055,30875,6150,4410,6,43070,30945,7178,5157,-1028,-747
13,13069,13069,2020,2018,2018 - 2020,0,0,0,0.286,0.286,0.117,0.578,0.655,72.720,6,43070,30945,7178,5157,6,42960,30865,7160,5144,18,13
13,13069,13069,2018,2016,2016 - 2018,0,0,0,0.282,0.281,0.115,0.586,0.68,72.531,6,42960,30865,7160,5144,6,43040,30690,7173,5115,-13,29
13,13067,13067,2022,2020,2020 - 2022,103,55,48,0.273,0.275,0.135,0.507,0.55,2253.874,148,765815,535160,5174,3615,141,756655,523075,5366,3709,-192,-94
13,13067,13067,2020,2018,2018 - 2020,14,6,8,0.270,0.276,0.130,0.517,0.571,2226.895,141,756655,523075,5366,3709,143,745055,506705,5210,3543,156,166
13,13067,13067,2018,2016,2016 - 2018,86,42,44,0.268,0.274,0.128,0.527,0.593,2192.910,143,745055,506705,5210,3543,145,728390,487960,5023,3365,187,178
13,13061,13061,2022,2020,2020 - 2022,0,0,0,0.615,0.563,0.004,0.364,0.414,14.611,1,2855,2170,2855,2170,1,2930,2335,2930,2335,-75,-165
13,13229,13229,2018,2016,2016 - 2018,0,0,0,0.095,0.096,0.050,0.841,0.856,56.293,2,19165,13960,9582,6980,2,19030,13885,9515,6942,67,38
13,13229,13229,2020,2018,2018 - 2020,0,0,0,0.101,0.101,0.050,0.841,0.857,56.791,2,19335,14210,9667,7105,2,19165,13960,9582,6980,85,125
13,13061,13061,2020,2018,2018 - 2020,0,0,0,0.556,0.557,0.003,0.427,0.427,14.995,1,2930,2335,2930,2335,1,3000,2395,3000,2395,-70,-60
13,13061,13061,2018,2016,2016 - 2018,0,0,0,0.682,0.678,0.000,0.303,0.301,15.353,1,3000,2395,3000,2395,1,3070,2315,3070,2315,-70,80
13,13059,13059,2022,2020,2020 - 2022,9,8,1,0.264,0.278,0.110,0.554,0.606,1080.176,27,128865,99885,4772,3699,20,126950,97560,6347,4878,-1575,-1179
13,13059,13059,2020,2018,2018 - 2020,3,1,2,0.280,0.282,0.108,0.553,0.62,1064.816,20,126950,97560,6347,4878,21,124600,94990,5933,4523,414,355
13,13059,13059,2018,2016,2016 - 2018,5,1,4,0.274,0.276,0.107,0.555,0.629,1045.140,21,124600,94990,5933,4523,24,122035,92700,5084,3862,849,661
13,13057,13057,2022,2020,2020 - 2022,17,9,8,0.070,0.073,0.112,0.773,0.83,637.797,42,268565,191790,6394,4566,41,253780,179495,6189,4377,205,189
13,13057,13057,2020,2018,2018 - 2020,3,1,2,0.068,0.07,0.107,0.785,0.851,602.685,41,253780,179495,6189,4377,42,241910,169345,5759,4032,430,345
13,13057,13057,2018,2016,2016 - 2018,18,10,8,0.063,0.068,0.103,0.796,0.864,574.495,42,241910,169345,5759,4032,40,230630,158990,5765,3974,-6,58
13,13055,13055,2022,2020,2020 - 2022,12,4,8,0.095,0.098,0.057,0.822,0.837,79.470,8,24900,18825,3112,2353,12,24825,18605,2068,1550,1044,803
13,13055,13055,2020,2018,2018 - 2020,2,1,1,0.096,0.098,0.053,0.826,0.847,79.230,12,24825,18605,2068,1550,12,24815,18685,2067,1557,1,-7
13,13055,13055,2018,2016,2016 - 2018,11,8,3,0.103,0.101,0.050,0.829,0.863,79.198,12,24815,18685,2067,1557,7,25045,18950,3577,2707,-1510,-1150
13,13049,13049,2022,2020,2020 - 2022,5,2,3,0.286,0.276,0.060,0.605,0.641,16.082,7,12545,9890,1792,1412,8,13030,9770,1628,1221,164,191
13,13049,13049,2020,2018,2018 - 2020,0,0,0,0.260,0.263,0.072,0.613,0.654,16.703,8,13030,9770,1628,1221,8,12985,9385,1623,1173,5,48
13,13043,13043,2018,2016,2016 - 2018,0,0,0,0.235,0.238,0.115,0.621,0.679,44.536,1,10825,7755,10825,7755,1,10960,7815,10960,7815,-135,-60
13,13035,13035,2022,2020,2020 - 2022,5,5,0,0.277,0.281,0.037,0.658,0.67,138.930,7,25520,20070,3645,2867,2,24465,19115,12232,9557,-8587,-6690
13,13035,13035,2020,2018,2018 - 2020,6,1,5,0.283,0.284,0.034,0.662,0.675,133.186,2,24465,19115,12232,9557,6,23750,18545,3958,3090,8274,6467
13,13035,13035,2018,2016,2016 - 2018,6,5,1,0.287,0.289,0.032,0.668,0.686,129.294,6,23750,18545,3958,3090,2,23480,18030,11740,9015,-7782,-5925
13,13241,13241,2018,2016,2016 - 2018,2,1,1,0.017,0.024,0.081,0.879,0.919,44.456,1,16455,13135,16455,13135,1,16310,12795,16310,12795,145,340
13,13241,13241,2020,2018,2018 - 2020,0,0,0,0.014,0.02,0.079,0.880,0.918,45.551,1,16860,13395,16860,13395,1,16455,13135,16455,13135,405,260
13,13241,13241,2022,2020,2020 - 2022,2,1,1,0.012,0.014,0.080,0.883,0.909,45.700,1,16915,13735,16915,13735,1,16860,13395,16860,13395,55,340
13,13033,13033,2022,2020,2020 - 2022,2,1,1,0.460,0.464,0.036,0.479,0.495,29.424,15,24335,17950,1622,1196,15,22565,16520,1504,1101,118,95
13,13033,13033,2020,2018,2018 - 2020,2,1,1,0.477,0.473,0.032,0.475,0.494,27.284,15,22565,16520,1504,1101,15,22550,16390,1503,1092,1,9
13,13033,13033,2018,2016,2016 - 2018,2,1,1,0.490,0.486,0.031,0.472,0.485,27.266,15,22550,16390,1503,1092,15,22840,16535,1522,1102,-19,-10
13,13147,13147,2020,2018,2018 - 2020,0,0,0,0.196,0.196,0.037,0.747,0.768,111.779,7,25980,20415,3711,2916,7,25630,19885,3661,2840,50,76
13,13121,13121,2022,2020,2020 - 2022,161,114,47,0.434,0.435,0.073,0.391,0.425,2015.956,254,1061945,772350,4180,3040,187,1051550,753090,5623,4027,-1443,-987
13,13121,13121,2020,2018,2018 - 2020,52,17,35,0.434,0.436,0.072,0.397,0.434,1996.507,187,1051550,753090,5623,4027,205,1021900,722100,4984,3522,639,505
13,13121,13121,2018,2016,2016 - 2018,149,49,100,0.438,0.441,0.073,0.400,0.449,1940.049,205,1021900,722100,4984,3522,256,996755,699145,3893,2731,1091,791
13,13119,13119,2022,2020,2020 - 2022,9,5,4,0.092,0.088,0.053,0.822,0.845,89.844,8,23480,17685,2935,2210,7,23015,17590,3287,2512,-352,-302
13,13119,13119,2020,2018,2018 - 2020,0,0,0,0.089,0.089,0.049,0.831,0.853,88.062,7,23015,17590,3287,2512,7,22515,17005,3216,2429,71,83
13,13119,13119,2018,2016,2016 - 2018,4,2,2,0.095,0.095,0.045,0.837,0.859,86.079,7,22515,17005,3216,2429,7,22190,16770,3170,2395,46,34
13,13117,13117,2022,2020,2020 - 2022,20,17,3,0.040,0.038,0.096,0.671,0.726,1127.358,29,253225,162535,8731,5604,15,236605,150515,15773,10034,-7042,-4430
13,13117,13117,2020,2018,2018 - 2020,3,1,2,0.034,0.036,0.094,0.702,0.756,1053.367,15,236605,150515,15773,10034,16,219880,139270,13742,8704,2031,1330
13,13113,13113,2022,2020,2020 - 2022,7,4,3,0.249,0.24,0.077,0.595,0.629,612.951,36,119260,86990,3312,2416,35,113545,82620,3244,2360,68,56
13,13249,13249,2022,2020,2020 - 2022,0,0,0,0.179,0.254,0.057,0.755,0.69,27.350,1,4565,3455,4565,3455,1,5215,3995,5215,3995,-650,-540
13,13251,13251,2018,2016,2016 - 2018,0,0,0,0.420,0.419,0.020,0.547,0.556,21.664,12,13990,10880,1165,906,12,14115,10850,1176,904,-11,2
13,13251,13251,2020,2018,2018 - 2020,0,0,0,0.408,0.408,0.024,0.547,0.558,21.641,12,13975,11010,1164,917,12,13990,10880,1165,906,-1,11
13,13251,13251,2022,2020,2020 - 2022,2,1,1,0.401,0.413,0.026,0.555,0.558,21.717,12,14025,11100,1168,925,12,13975,11010,1164,917,4,8
13,13109,13109,2018,2016,2016 - 2018,0,0,0,0.303,0.304,0.117,0.565,0.586,58.640,1,10725,7550,10725,7550,1,10735,7545,10735,7545,-10,5
13,13253,13253,2018,2016,2016 - 2018,0,0,0,0.330,0.331,0.031,0.617,0.618,35.510,5,8435,6575,1687,1315,5,8695,6695,1739,1339,-52,-24
13,13253,13253,2020,2018,2018 - 2020,0,0,0,0.351,0.353,0.012,0.614,0.616,34.604,5,8220,6505,1644,1301,5,8435,6575,1687,1315,-43,-14
13,13253,13253,2022,2020,2020 - 2022,1,1,0,0.330,0.326,0.036,0.617,0.641,38.372,6,9115,7270,1519,1211,5,8220,6505,1644,1301,-125,-90
13,13255,13255,2018,2016,2016 - 2018,7,5,2,0.335,0.335,0.044,0.591,0.63,330.231,20,64720,48215,3236,2410,17,64005,47255,3765,2779,-529,-369
13,13255,13255,2020,2018,2018 - 2020,7,2,5,0.342,0.342,0.047,0.580,0.616,337.015,17,66045,49675,3885,2922,20,64720,48215,3236,2410,649,512
13,13255,13255,2022,2020,2020 - 2022,3,2,1,0.346,0.342,0.051,0.566,0.603,344.006,18,67415,50730,3745,2818,17,66045,49675,3885,2922,-140,-104
13,13257,13257,2018,2016,2016 - 2018,0,0,0,0.112,0.112,0.033,0.826,0.84,143.315,1,25675,19610,25675,19610,1,25585,19490,25585,19490,90,120
13,13107,13107,2022,2020,2020 - 2022,1,1,0,0.317,0.323,0.048,0.588,0.614,33.655,11,22905,16715,2082,1519,10,22525,16525,2252,1652,-170,-133
13,13107,13107,2020,2018,2018 - 2020,0,0,0,0.334,0.334,0.046,0.592,0.62,33.097,10,22525,16525,2252,1652,10,22500,16525,2250,1652,2,0
13,13107,13107,2018,2016,2016 - 2018,0,0,0,0.342,0.342,0.045,0.594,0.619,33.060,10,22500,16525,2250,1652,10,22725,16910,2272,1691,-22,-39
13,13105,13105,2022,2020,2020 - 2022,4,2,2,0.272,0.286,0.062,0.633,0.651,55.739,11,19570,14980,1779,1361,11,19165,14790,1742,1344,37,17
13,13105,13105,2020,2018,2018 - 2020,0,0,0,0.293,0.297,0.058,0.636,0.663,54.585,11,19165,14790,1742,1344,11,19210,14690,1746,1335,-4,9
13,13105,13105,2018,2016,2016 - 2018,4,2,2,0.305,0.307,0.056,0.636,0.681,54.714,11,19210,14690,1746,1335,11,19395,14780,1763,1343,-17,-8
13,13103,13103,2022,2020,2020 - 2022,8,6,2,0.136,0.136,0.055,0.767,0.786,136.406,21,65315,47265,3110,2250,17,62240,44755,3661,2632,-551,-382
13,13103,13103,2020,2018,2018 - 2020,4,2,2,0.137,0.136,0.047,0.781,0.802,129.984,17,62240,44755,3661,2632,17,58690,42165,3452,2480,209,152
13,13103,13103,2018,2016,2016 - 2018,8,4,4,0.135,0.136,0.042,0.790,0.819,122.579,17,58690,42165,3452,2480,17,55850,39795,3285,2340,167,140
13,13223,13223,2020,2018,2018 - 2020,8,3,5,0.195,0.201,0.067,0.696,0.732,526.460,13,164440,117500,12649,9038,15,155840,110450,10389,7363,2260,1675
13,13223,13223,2018,2016,2016 - 2018,25,10,15,0.183,0.189,0.061,0.721,0.754,499.021,15,155840,110450,10389,7363,20,149830,104740,7491,5237,2898,2126
13,13221,13221,2022,2020,2020 - 2022,1,1,0,0.169,0.173,0.059,0.746,0.79,34.107,4,14975,11685,3743,2921,3,15040,11635,5013,3878,-1270,-957
13,13001,13001,2018,2016,2016 - 2018,5,4,1,0.182,0.182,0.098,0.694,0.76,36.309,12,18455,13465,1537,1122,9,18410,13180,2045,1464,-508,-342
13,13095,13095,2022,2020,2020 - 2022,11,6,5,0.698,0.699,0.032,0.241,0.253,258.760,29,85040,63495,2932,2189,28,88695,66380,3167,2370,-235,-181
13,13095,13095,2020,2018,2018 - 2020,0,0,0,0.695,0.697,0.029,0.248,0.257,269.882,28,88695,66380,3167,2370,28,91050,67750,3251,2419,-84,-49
13,13095,13095,2018,2016,2016 - 2018,2,1,1,0.689,0.69,0.027,0.257,0.27,277.048,28,91050,67750,3251,2419,28,92325,68025,3297,2429,-46,-10
13,13269,13269,2022,2020,2020 - 2022,1,1,0,0.385,0.4,0.007,0.580,0.578,20.707,5,7800,6160,1560,1232,4,8125,6355,2031,1588,-471,-356
13,13271,13271,2018,2016,2016 - 2018,7,4,3,0.384,0.417,0.118,0.492,0.537,36.851,7,16115,11370,2302,1624,6,16405,11525,2734,1920,-432,-296
13,13271,13271,2020,2018,2018 - 2020,4,2,2,0.390,0.393,0.114,0.491,0.525,36.290,7,15870,11680,2267,1668,7,16115,11370,2302,1624,-35,44
13,13271,13271,2022,2020,2020 - 2022,4,2,2,0.351,0.353,0.174,0.467,0.521,28.858,7,12620,8785,1802,1255,7,15870,11680,2267,1668,-465,-413
13,13273,13273,2018,2016,2016 - 2018,0,0,0,0.586,0.595,0.027,0.356,0.368,26.390,6,8860,6630,1476,1105,6,9130,6860,1521,1143,-45,-38
13,13273,13273,2020,2018,2018 - 2020,0,0,0,0.578,0.578,0.029,0.357,0.363,25.775,6,8655,6415,1442,1069,6,8860,6630,1476,1105,-34,-36
13,13273,13273,2022,2020,2020 - 2022,0,0,0,0.584,0.57,0.030,0.360,0.361,26.817,6,9005,6835,1500,1139,6,8655,6415,1442,1069,58,70
13,13321,13321,2022,2020,2020 - 2022,4,1,3,0.256,0.275,0.025,0.672,0.685,36.281,10,20705,15940,2070,1594,12,20345,15690,1695,1307,375,287
13,13075,13075,2020,2018,2018 - 2020,0,0,0,0.273,0.274,0.058,0.644,0.686,75.355,6,17215,12535,2869,2089,6,17185,12425,2864,2070,5,19
13,13263,13263,2022,2020,2020 - 2022,1,1,0,0.565,0.565,0.009,0.408,0.408,14.807,8,5795,4845,724,605,7,6245,5195,892,742,-168,-137
13,13263,13263,2020,2018,2018 - 2020,0,0,0,0.567,0.567,0.008,0.408,0.408,15.956,7,6245,5195,892,742,7,6380,5250,911,750,-19,-8
13,13093,13093,2022,2020,2020 - 2022,2,1,1,0.478,0.493,0.074,0.420,0.455,28.615,5,11235,9070,2247,1814,5,13570,10820,2714,2164,-467,-350
13,13093,13093,2020,2018,2018 - 2020,0,0,0,0.497,0.495,0.070,0.424,0.454,34.562,5,13570,10820,2714,2164,5,13905,11020,2781,2204,-67,-40
13,13093,13093,2018,2016,2016 - 2018,2,1,1,0.491,0.491,0.069,0.426,0.451,35.415,5,13905,11020,2781,2204,5,14090,10955,2818,2191,-37,13
13,13091,13091,2022,2020,2020 - 2022,22,15,7,0.304,0.3,0.041,0.641,0.671,40.275,15,19975,15875,1331,1058,7,20725,16520,2960,2360,-1629,-1302
13,13091,13091,2020,2018,2018 - 2020,0,0,0,0.299,0.298,0.037,0.647,0.675,41.787,7,20725,16520,2960,2360,7,20920,16500,2988,2357,-28,3
13,13089,13089,2018,2016,2016 - 2018,39,24,15,0.537,0.54,0.086,0.292,0.345,2775.921,174,743185,506820,4271,2912,165,723900,489315,4387,2965,-116,-53
13,13087,13087,2022,2020,2020 - 2022,4,3,1,0.414,0.416,0.067,0.494,0.517,48.666,11,29065,21460,2642,1950,9,26595,19565,2955,2173,-313,-223
13,13087,13087,2020,2018,2018 - 2020,0,0,0,0.427,0.417,0.061,0.499,0.522,44.530,9,26595,19565,2955,2173,9,26835,19695,2981,2188,-26,-15
13,13087,13087,2018,2016,2016 - 2018,2,1,1,0.425,0.416,0.059,0.505,0.524,44.937,9,26835,19695,2981,2188,9,27235,19875,3026,2208,-45,-20
13,13085,13085,2022,2020,2020 - 2022,0,0,0,0.013,0.009,0.058,0.903,0.939,129.750,3,27355,21570,9118,7190,3,25275,20040,8425,6680,693,510
13,13085,13085,2020,2018,2018 - 2020,0,0,0,0.007,0.007,0.049,0.918,0.947,119.884,3,25275,20040,8425,6680,3,23860,18590,7953,6196,472,484
13,13085,13085,2018,2016,2016 - 2018,0,0,0,0.010,0.01,0.044,0.926,0.963,113.173,3,23860,18590,7953,6196,3,22940,17615,7646,5871,307,325
13,13083,13083,2022,2020,2020 - 2022,1,1,0,0.010,0.011,0.026,0.931,0.942,93.293,6,16240,12875,2706,2145,5,16185,12945,3237,2589,-531,-444
13,13083,13083,2020,2018,2018 - 2020,3,2,1,0.009,0.011,0.023,0.936,0.939,93.032,5,16185,12945,3237,2589,4,16225,13030,4056,3257,-819,-668
