stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
55,55067,55067,2016,2014,2014 - 2016,0,0,0,0.009,0.009,0.019,0.947,0.961,22.299,19,19415,15435,1021,812,19,19705,15445,1037,812,-16,0
55,55055,55055,2020,2018,2018 - 2020,3,2,1,0.007,0.008,0.072,0.895,0.932,152.446,25,84835,65435,3393,2617,24,84650,64560,3527,2690,-134,-73
55,55055,55055,2018,2016,2016 - 2018,4,2,2,0.008,0.009,0.070,0.898,0.939,152.121,24,84650,64560,3527,2690,24,84540,63745,3522,2656,5,34
55,55067,55067,2014,2012,2012 - 2014,0,0,0,0.006,0.006,0.019,0.951,0.957,22.633,19,19705,15445,1037,812,19,19950,15545,1050,818,-13,-6
55,55065,55065,2022,2020,2020 - 2022,0,0,0,0.005,0.006,0.044,0.936,0.959,26.381,24,16715,12410,696,517,24,16680,12335,695,513,1,4
55,55065,55065,2020,2018,2018 - 2020,5,2,3,0.006,0.006,0.041,0.940,0.963,26.326,24,16680,12335,695,513,25,16735,12340,669,493,26,20
55,55065,55065,2016,2014,2014 - 2016,4,2,2,0.003,0.003,0.035,0.948,0.969,26.508,25,16795,12390,671,495,25,16845,12370,673,494,-2,1
55,55063,55063,2016,2014,2014 - 2016,10,4,6,0.012,0.012,0.017,0.906,0.914,260.187,30,117540,92480,3918,3082,32,116470,90970,3639,2842,279,240
55,55095,55095,2022,2020,2020 - 2022,8,4,4,0.004,0.004,0.020,0.949,0.954,49.359,34,45130,35765,1327,1051,34,43550,34245,1280,1007,47,44
55,55095,55095,2016,2014,2014 - 2016,2,1,1,0.004,0.004,0.018,0.954,0.963,47.573,34,43485,33645,1278,989,34,43700,33500,1285,985,-7,4
55,55095,55095,2014,2012,2012 - 2014,2,1,1,0.004,0.004,0.016,0.957,0.964,47.814,34,43700,33500,1285,985,34,44095,33415,1296,982,-11,3
55,55095,55095,2018,2016,2016 - 2018,4,2,2,0.004,0.004,0.019,0.952,0.963,47.425,34,43350,33860,1275,995,34,43485,33645,1278,989,-3,6
55,55093,55093,2020,2018,2018 - 2020,9,5,4,0.007,0.007,0.023,0.938,0.949,73.752,29,42335,33130,1459,1142,28,41605,32480,1485,1160,-26,-18
55,55093,55093,2018,2016,2016 - 2018,3,1,2,0.004,0.005,0.020,0.945,0.96,72.501,28,41605,32480,1485,1160,29,40880,31870,1409,1098,76,62
55,55093,55093,2016,2014,2014 - 2016,6,3,3,0.005,0.005,0.019,0.950,0.965,71.251,29,40880,31870,1409,1098,29,40860,31640,1408,1091,1,7
55,55061,55061,2014,2012,2012 - 2014,2,1,1,0.004,0.004,0.023,0.956,0.971,59.999,11,20545,15665,1867,1424,11,20600,15545,1872,1413,-5,11
55,55059,55059,2022,2020,2020 - 2022,11,9,2,0.065,0.067,0.140,0.747,0.807,620.583,32,168695,125575,5271,3924,25,169000,124305,6760,4972,-1489,-1048
55,55059,55059,2020,2018,2018 - 2020,15,1,14,0.067,0.069,0.135,0.754,0.834,621.696,25,169000,124305,6760,4972,38,168330,123950,4429,3261,2331,1711
55,55059,55059,2018,2016,2016 - 2018,17,7,10,0.071,0.075,0.129,0.762,0.856,619.182,38,168330,123950,4429,3261,41,167895,122575,4095,2989,334,272
55,55059,55059,2016,2014,2014 - 2016,7,3,4,0.071,0.074,0.126,0.768,0.869,617.224,41,167895,122575,4095,2989,42,167270,120745,3982,2874,113,115
55,55059,55059,2014,2012,2012 - 2014,4,2,2,0.069,0.071,0.122,0.774,0.874,614.947,42,167270,120745,3982,2874,42,166375,118005,3961,2809,21,65
55,55049,55049,2020,2018,2018 - 2020,1,1,0,0.008,0.008,0.019,0.951,0.958,30.982,24,23630,18125,984,755,23,23620,17960,1026,780,-42,-25
55,55093,55093,2022,2020,2020 - 2022,4,2,2,0.005,0.007,0.025,0.934,0.941,73.491,29,42185,33205,1454,1145,29,42335,33130,1459,1142,-5,3
55,55095,55095,2020,2018,2018 - 2020,10,5,5,0.004,0.005,0.019,0.950,0.961,47.631,34,43550,34245,1280,1007,34,43350,33860,1275,995,5,12
55,55057,55057,2020,2018,2018 - 2020,6,3,3,0.023,0.024,0.032,0.916,0.931,34.683,26,26605,21040,1023,809,26,26420,20890,1016,803,7,6
55,55057,55057,2022,2020,2020 - 2022,0,0,0,0.025,0.024,0.033,0.911,0.915,34.801,26,26695,21210,1026,815,26,26605,21040,1023,809,3,6
55,55049,55049,2018,2016,2016 - 2018,1,0,1,0.008,0.008,0.017,0.956,0.966,30.969,23,23620,17960,1026,780,24,23750,18040,989,751,37,29
55,55049,55049,2022,2020,2020 - 2022,4,2,2,0.009,0.01,0.021,0.947,0.949,31.159,24,23765,18405,990,766,24,23630,18125,984,755,6,11
55,55051,55051,2014,2012,2012 - 2014,2,1,1,0.007,0.007,0.008,0.970,0.972,7.815,12,5925,4960,493,413,12,5980,4945,498,412,-5,1
55,55051,55051,2016,2014,2014 - 2016,2,1,1,0.007,0.007,0.010,0.962,0.968,7.716,12,5850,4955,487,412,12,5925,4960,493,413,-6,-1
55,55051,55051,2018,2016,2016 - 2018,0,0,0,0.008,0.008,0.013,0.957,0.966,7.538,12,5715,4885,476,407,12,5850,4955,487,412,-11,-5
55,55051,55051,2020,2018,2018 - 2020,0,0,0,0.002,0.002,0.013,0.953,0.959,7.491,12,5680,4820,473,401,12,5715,4885,476,407,-3,-6
55,55049,55049,2016,2014,2014 - 2016,1,1,0,0.005,0.005,0.017,0.961,0.968,31.139,24,23750,18040,989,751,23,23755,17940,1032,780,-43,-29
55,55037,55037,2014,2012,2012 - 2014,0,0,0,0.002,0.002,0.009,0.956,0.962,9.168,7,4475,3645,639,520,7,4485,3615,640,516,-1,4
55,55009,55009,2018,2016,2016 - 2018,13,3,10,0.023,0.023,0.084,0.814,0.85,490.075,68,259785,188265,3820,2768,75,256620,186115,3421,2481,399,287
55,55009,55009,2016,2014,2014 - 2016,8,4,4,0.021,0.023,0.081,0.822,0.86,484.422,75,256620,186115,3421,2481,75,252700,182465,3369,2432,52,49
55,55005,55005,2018,2016,2016 - 2018,2,1,1,0.014,0.014,0.025,0.936,0.952,52.432,36,45250,35020,1256,972,36,45550,35205,1265,977,-9,-5
55,55049,55049,2014,2012,2012 - 2014,3,1,2,0.003,0.004,0.016,0.963,0.971,31.146,23,23755,17940,1032,780,24,23710,17720,987,738,45,42
55,55043,55043,2020,2018,2018 - 2020,9,5,4,0.015,0.016,0.018,0.949,0.962,44.966,49,51570,40415,1052,824,48,51830,40685,1079,847,-27,-23
55,55013,55013,2018,2016,2016 - 2018,2,1,1,0.005,0.005,0.018,0.905,0.915,18.574,23,15260,12475,663,542,23,15260,12385,663,538,0,4
55,55043,55043,2018,2016,2016 - 2018,4,2,2,0.014,0.014,0.016,0.952,0.965,45.192,48,51830,40685,1079,847,48,51725,40780,1077,849,2,-2
