pollid,pollname,x,y,changeyear,baseyear,changestatus,state
6dba69ef-2187-40f0-8047-1c7776dc31de,OLLI-C. PECK HOUSE,-89.344,31.327,2018 - 2022,2022,added,MS
6dec4fa4-5ebf-4629-ae59-4ba8b74bd803,MIDDLE SCHOOL GYM,-89.824,34.956,2012 - 2014,2014,removed,MS
6dec4fa4-5ebf-4629-ae59-4ba8b74bd803,MIDDLE SCHOOL GYM,-89.824,34.956,2014 - 2016,2016,added,MS
6dec4fa4-5ebf-4629-ae59-4ba8b74bd803,MIDDLE SCHOOL GYM,-89.824,34.956,2016 - 2018,2018,no_change,MS
6dec4fa4-5ebf-4629-ae59-4ba8b74bd803,MIDDLE SCHOOL GYM,-89.824,34.956,2018 - 2022,2022,no_change,MS
6dff7b76-9b7a-4816-97d3-09d9a99e026f,FRANCIS X COLLINS LIFETIME FITNESS CENTER,-89.02,30.393,2012 - 2014,2014,no_change,MS
6dff7b76-9b7a-4816-97d3-09d9a99e026f,FRANCIS X COLLINS LIFETIME FITNESS CENTER,-89.02,30.393,2014 - 2016,2016,no_change,MS
6dff7b76-9b7a-4816-97d3-09d9a99e026f,FRANCIS X COLLINS LIFETIME FITNESS CENTER,-89.02,30.393,2016 - 2018,2018,no_change,MS
6dff7b76-9b7a-4816-97d3-09d9a99e026f,FRANCIS X COLLINS LIFETIME FITNESS CENTER,-89.02,30.393,2018 - 2022,2022,no_change,MS
6e0c560e-0e60-4d2e-8837-6d88802aa9d2,SPRINGFIELD MB CHURCH,-89.503,34.503,2018 - 2022,2022,added,MS
6e15d476-6b14-4928-9b7a-9d7df2d9bf4b,MT. ZION CHURCH OF GOD,-90.733,33.518,2018 - 2022,2022,added,MS
6e225dc8-b5dd-45df-adc4-249da2d98415,MHOON LANDING,-90.457,34.71,2012 - 2014,2014,added,MS
6e225dc8-b5dd-45df-adc4-249da2d98415,MHOON LANDING,-90.457,34.71,2014 - 2016,2016,no_change,MS
6e225dc8-b5dd-45df-adc4-249da2d98415,MHOON LANDING,-90.457,34.71,2016 - 2018,2018,no_change,MS
6e225dc8-b5dd-45df-adc4-249da2d98415,MHOON LANDING,-90.457,34.71,2018 - 2022,2022,removed,MS
6e33c28f-3002-444c-b119-9efbe6bedd9f,SASSE STREET FIRE STATION,-90.557,34.187,2014 - 2016,2016,added,MS
6e33c28f-3002-444c-b119-9efbe6bedd9f,SASSE STREET FIRE STATION,-90.557,34.187,2016 - 2018,2018,removed,MS
6e33c28f-3002-444c-b119-9efbe6bedd9f,SASSE STREET FIRE STATION,-90.557,34.187,2018 - 2022,2022,added,MS
6e44c33e-2ce2-4dd1-877c-8d26fe71eb35,RYAN YOUTH CENTER,-88.815,30.411,2012 - 2014,2014,no_change,MS
6e44c33e-2ce2-4dd1-877c-8d26fe71eb35,RYAN YOUTH CENTER,-88.815,30.411,2014 - 2016,2016,no_change,MS
6e44c33e-2ce2-4dd1-877c-8d26fe71eb35,RYAN YOUTH CENTER,-88.815,30.411,2016 - 2018,2018,no_change,MS
6e44c33e-2ce2-4dd1-877c-8d26fe71eb35,RYAN YOUTH CENTER,-88.815,30.411,2018 - 2022,2022,no_change,MS
6e6e67ec-bcef-452d-a76e-aa3e15334cd6,PLEASANT GROVE,-88.923,31.709,2012 - 2014,2014,no_change,MS
6e6e67ec-bcef-452d-a76e-aa3e15334cd6,PLEASANT GROVE,-88.923,31.709,2014 - 2016,2016,no_change,MS
6e6e67ec-bcef-452d-a76e-aa3e15334cd6,PLEASANT GROVE,-88.923,31.709,2016 - 2018,2018,no_change,MS
