pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E6100000FA7E6ABC744B56C06666666666463F40,SHEEPLO,31.275,-89.179,MS,2014,2012 - 2014,0101000020E6100000FA7E6ABC744B56C06666666666463F40,added
0101000020E61000003D0AD7A3705556C0F0A7C64B37493F40,RICHBURG,31.286,-89.335,MS,2014,2012 - 2014,0101000020E61000003D0AD7A3705556C0F0A7C64B37493F40,added
0101000020E61000004A0C022B873E56C01904560E2D523F40,MIRACLE TEMPLE COGIC,31.321,-88.977,MS,2014,2012 - 2014,0101000020E61000004A0C022B873E56C01904560E2D523F40,added
0101000020E610000017D9CEF7535356C0A69BC420B0523F40,CAMP SCHOOL,31.323,-89.302,MS,2014,2012 - 2014,0101000020E610000017D9CEF7535356C0A69BC420B0523F40,added
0101000020E6100000A8C64B37895956C0F2D24D6210583F40,"79 JACKSON RD,COMM CENTER",31.344,-89.399,MS,2014,2012 - 2014,0101000020E6100000A8C64B37895956C0F2D24D6210583F40,added
0101000020E61000000000000000C056C096438B6CE75B3F40,VOTING BLDG-WESLEY CHAPEL,31.359,-91.000,MS,2014,2012 - 2014,0101000020E61000000000000000C056C096438B6CE75B3F40,added
0101000020E610000046B6F3FDD4A056C004560E2DB25D3F40,JOHNSON VOTING PRECINCT,31.366,-90.513,MS,2014,2012 - 2014,0101000020E610000046B6F3FDD4A056C004560E2DB25D3F40,added
0101000020E61000006F1283C0CAB156C05839B4C8765E3F40,DISTRICT 5 FIRE DEPARTMENT BUILDING,31.369,-90.778,MS,2014,2012 - 2014,0101000020E61000006F1283C0CAB156C05839B4C8765E3F40,added
0101000020E6100000F853E3A59BB456C0C74B378941603F40,VOTING CENTER,31.376,-90.822,MS,2014,2012 - 2014,0101000020E6100000F853E3A59BB456C0C74B378941603F40,added
0101000020E6100000736891ED7CC756C0E17A14AE47613F40,VOTING BLDG-KNOXVILLE,31.380,-91.117,MS,2014,2012 - 2014,0101000020E6100000736891ED7CC756C0E17A14AE47613F40,added
0101000020E610000079E92631089456C0E17A14AE47613F40,RUTH,31.380,-90.313,MS,2014,2012 - 2014,0101000020E610000079E92631089456C0E17A14AE47613F40,added
0101000020E6100000A01A2FDD249E56C06666666666663F40,NORFIELD,31.400,-90.471,MS,2014,2012 - 2014,0101000020E6100000A01A2FDD249E56C06666666666663F40,added
0101000020E6100000DD24068195A356C025068195436B3F40,ARLINGTON,31.419,-90.556,MS,2014,2012 - 2014,0101000020E6100000DD24068195A356C025068195436B3F40,added
0101000020E610000066666666661E56C01D5A643BDF6F3F40,VOLUNTEER FIRE DEPARTMENT,31.437,-88.475,MS,2014,2012 - 2014,0101000020E610000066666666661E56C01D5A643BDF6F3F40,added
0101000020E610000077BE9F1A2F9D56C0AAF1D24D62703F40,BOGUE CHITTO,31.439,-90.456,MS,2014,2012 - 2014,0101000020E610000077BE9F1A2F9D56C0AAF1D24D62703F40,added
0101000020E6100000CBA145B6F3B556C04A0C022B87763F40,BUDE CITY HALL,31.463,-90.843,MS,2014,2012 - 2014,0101000020E6100000CBA145B6F3B556C04A0C022B87763F40,added
0101000020E6100000068195438BA456C07F6ABC7493783F40,VAUGHN,31.471,-90.571,MS,2014,2012 - 2014,0101000020E6100000068195438BA456C07F6ABC7493783F40,added
0101000020E6100000F0A7C64B37B956C046B6F3FDD4783F40,COUNTY AGENT OFFICE,31.472,-90.894,MS,2014,2012 - 2014,0101000020E6100000F0A7C64B37B956C046B6F3FDD4783F40,added
0101000020E6100000713D0AD7A39856C00C022B8716793F40,ENTERPRISE,31.473,-90.385,MS,2014,2012 - 2014,0101000020E6100000713D0AD7A39856C00C022B8716793F40,added
0101000020E6100000D122DBF97E9256C05C8FC2F5287C3F40,EAST LINCOLN,31.485,-90.289,MS,2014,2012 - 2014,0101000020E6100000D122DBF97E9256C05C8FC2F5287C3F40,added
0101000020E61000003F355EBA49A456C004560E2DB27D3F40,WEST LINCOLN,31.491,-90.567,MS,2014,2012 - 2014,0101000020E61000003F355EBA49A456C004560E2DB27D3F40,added
0101000020E6100000A69BC420B0B256C00000000000803F40,VOTING BLDG-EDDICETON,31.500,-90.792,MS,2014,2012 - 2014,0101000020E6100000A69BC420B0B256C00000000000803F40,added
0101000020E61000003108AC1C5AC456C0A8C64B3789813F40,ROXIE CITY HALL,31.506,-91.068,MS,2014,2012 - 2014,0101000020E61000003108AC1C5AC456C0A8C64B3789813F40,added
0101000020E61000008D976E1283A056C06F1283C0CA813F40,JOHNSON GROVE,31.507,-90.508,MS,2014,2012 - 2014,0101000020E61000008D976E1283A056C06F1283C0CA813F40,added
0101000020E6100000DBF97E6ABCAC56C017D9CEF753833F40,DISTRICT 4 FIRE STATION,31.513,-90.699,MS,2014,2012 - 2014,0101000020E6100000DBF97E6ABCAC56C017D9CEF753833F40,added
0101000020E6100000C3F5285C8FA256C0448B6CE7FB893F40,ZETUS,31.539,-90.540,MS,2014,2012 - 2014,0101000020E6100000C3F5285C8FA256C0448B6CE7FB893F40,added
0101000020E6100000BC74931804BE56C0931804560E8D3F40,VOTING BLDG-ANTIOCH,31.551,-90.969,MS,2014,2012 - 2014,0101000020E6100000BC74931804BE56C0931804560E8D3F40,added
0101000020E6100000068195438B9456C021B07268918D3F40,FAIR RIVER,31.553,-90.321,MS,2014,2012 - 2014,0101000020E6100000068195438B9456C021B07268918D3F40,added
0101000020E6100000068195438B9C56C0AE47E17A148E3F40,OLD BROOK,31.555,-90.446,MS,2014,2012 - 2014,0101000020E6100000068195438B9C56C0AE47E17A148E3F40,added
0101000020E61000000AD7A3703D9A56C0C520B07268913F40,MISSISSIPPI FORESTRY COMMISSION,31.568,-90.410,MS,2014,2012 - 2014,0101000020E61000000AD7A3703D9A56C0C520B07268913F40,added
0101000020E6100000C1CAA145B69B56C052B81E85EB913F40,ALEXANDER,31.570,-90.433,MS,2014,2012 - 2014,0101000020E6100000C1CAA145B69B56C052B81E85EB913F40,added
0101000020E61000004260E5D022BB56C0FA7E6ABC74933F40,VOTING BLDG-PINE GROVE,31.576,-90.924,MS,2014,2012 - 2014,0101000020E61000004260E5D022BB56C0FA7E6ABC74933F40,added
0101000020E61000005A643BDF4F9D56C0C1CAA145B6933F40,HALBERT HEIGHTS,31.577,-90.458,MS,2014,2012 - 2014,0101000020E61000005A643BDF4F9D56C0C1CAA145B6933F40,added
