"state","census_tract","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Census Tract 102",2014,3,0,0,6193,118,"0.859","0.096"
"SC","Census Tract 103",2014,2,0,0,5213,336,"0.714","0.273"
"SC","Census Tract 104",2014,2,0,0,6050,139,"0.891","0.105"
"SC","Census Tract 105",2014,1,0,0,2528,1579,"0.733","0.243"
"SC","Census Tract 106",2014,3,0,0,4425,288,"0.457","0.474"
"SC","Census Tract 107",2014,2,0,0,2450,1010,"0.013","0.977"
"SC","Census Tract 108",2014,2,0,0,2789,63,"0.477","0.48"
"SC","Census Tract 109",2014,3,0,0,7400,119,"0.586","0.401"
"SC","Census Tract 110",2014,1,0,0,3287,400,"0.618","0.35"
"SC","Census Tract 111",2014,2,0,0,1525,1316,"0.667","0.293"
"SC","Census Tract 112",2014,2,0,0,4397,571,"0.534","0.431"
"SC","Census Tract 113",2014,2,0,0,5458,74,"0.46","0.506"
"SC","Census Tract 114",2014,2,0,0,4276,438,"0.25","0.736"
"SC","Census Tract 115",2014,2,0,0,4735,79,"0.501","0.487"
"SC","Census Tract 116",2014,2,0,0,3571,70,"0.579","0.382"
"SC","Census Tract 9701",2014,5,0,0,3174,47,"0.34","0.581"
"SC","Census Tract 9702",2014,4,0,0,5891,119,"0.493","0.425"
"SC","Census Tract 9703",2014,1,0,0,4929,120,"0.544","0.363"
"SC","Census Tract 9704",2014,2,0,0,5270,377,"0.218","0.736"
"SC","Census Tract 9705",2014,5,0,0,4253,44,"0.637","0.34"
"SC","Census Tract 9706",2014,4,0,0,8012,58,"0.57","0.38"
"SC","Census Tract 101",2014,2,0,0,2317,28,"0.612","0.382"
"SC","Census Tract 102",2014,3,0,0,4817,78,"0.461","0.52"
"SC","Census Tract 103",2014,2,0,0,5453,34,"0.634","0.354"
"SC","Census Tract 104",2014,2,0,0,5802,68,"0.486","0.424"
"SC","Census Tract 105.01",2014,0,0,0,4812,324,"0.702","0.216"
"SC","Census Tract 105.03",2014,0,0,0,3010,344,"0.84","0.155"
"SC","Census Tract 105.04",2014,1,0,0,6648,1068,"0.672","0.207"
"SC","Census Tract 105.05",2014,3,0,0,6053,1903,"0.754","0.127"
"SC","Census Tract 106.03",2014,2,0,0,6536,915,"0.797","0.135"
"SC","Census Tract 106.04",2014,1,1,0,4260,1316,"0.718","0.247"
"SC","Census Tract 106.05",2014,1,0,0,8222,3169,"0.775","0.184"
"SC","Census Tract 106.06",2014,1,0,0,1783,1491,"0.757","0.224"
"SC","Census Tract 107",2014,3,0,0,5116,1832,"0.565","0.41"
"SC","Census Tract 108.01",2014,2,0,0,5587,53,"0.862","0.137"
"SC","Census Tract 108.07",2014,2,0,0,4663,2089,"0.884","0.104"
"SC","Census Tract 108.08",2014,3,0,0,6536,2735,"0.799","0.165"
"SC","Census Tract 108.09",2014,0,0,0,3661,2819,"0.825","0.12"
"SC","Census Tract 108.13",2014,3,0,0,9614,3301,"0.685","0.279"
"SC","Census Tract 108.14",2014,1,0,0,7179,3742,"0.721","0.235"
"SC","Census Tract 108.15",2014,0,0,0,3859,5998,"0.599","0.272"
"SC","Census Tract 108.16",2014,3,0,0,12184,2783,"0.638","0.272"
"SC","Census Tract 108.17",2014,0,0,0,3978,1855,"0.735","0.182"
"SC","Census Tract 108.18",2014,2,0,0,9449,2844,"0.469","0.442"
"SC","Census Tract 108.19",2014,1,0,1,4161,1591,"0.73","0.188"
"SC","Census Tract 108.20",2014,1,0,0,7072,2829,"0.629","0.231"
"SC","Census Tract 9702.01",2014,2,0,0,2121,14,"0.745","0.248"
"SC","Census Tract 9702.02",2014,3,0,0,7044,49,"0.48","0.465"
"SC","Census Tract 9703",2014,3,0,0,4413,70,"0.486","0.499"
"SC","Census Tract 9704",2014,2,0,1,3228,65,"0.495","0.487"
"SC","Census Tract 9705.01",2014,0,0,0,4508,176,"0.641","0.326"
"SC","Census Tract 9705.02",2014,1,0,0,5259,82,"0.806","0.137"
"SC","Census Tract 9601",2014,4,0,0,1826,13,"0.119","0.856"
"SC","Census Tract 9602",2014,4,0,0,3730,17,"0.459","0.504"
"SC","Census Tract 9603",2014,4,0,0,6070,36,"0.502","0.468"
"SC","Census Tract 9604",2014,3,0,0,5526,216,"0.362","0.594"
"SC","Census Tract 9605",2014,3,0,0,6230,45,"0.332","0.628"
"SC","Census Tract 1.01",2014,0,0,0,2874,318,"0.759","0.192"
"SC","Census Tract 1.02",2014,1,0,0,5685,1235,"0.795","0.141"
"SC","Census Tract 2.01",2014,3,0,0,2729,491,"0.601","0.322"
"SC","Census Tract 2.02",2014,3,0,0,7724,2054,"0.682","0.267"
"SC","Census Tract 3",2014,4,1,0,4410,335,"0.184","0.812"
"SC","Census Tract 4",2014,1,0,0,4975,84,"0.555","0.42"
"SC","Census Tract 5",2014,3,0,0,6020,225,"0.477","0.464"
"SC","Census Tract 6",2014,1,0,0,4874,1319,"0.566","0.403"
"SC","Census Tract 7",2014,1,0,0,2927,1288,"0.047","0.953"
"SC","Census Tract 8",2014,2,0,0,3896,1650,"0.022","0.978"
"SC","Census Tract 9",2014,1,0,0,3455,1595,"0.014","0.977"
"SC","Census Tract 10",2014,2,0,0,1747,1814,"0.532","0.416"
"SC","Census Tract 11",2014,2,0,0,4835,2558,"0.642","0.346"
"SC","Census Tract 12",2014,3,0,0,3517,1698,"0.848","0.119"
"SC","Census Tract 13",2014,1,0,0,3616,2410,"0.758","0.233"
"SC","Census Tract 14",2014,3,0,0,7967,2448,"0.734","0.226"
"SC","Census Tract 15.03",2014,0,0,0,3805,333,"0.634","0.36"
"SC","Census Tract 15.04",2014,1,0,0,5819,289,"0.601","0.378"
"SC","Census Tract 15.05",2014,2,0,0,4430,264,"0.659","0.335"
"SC","Census Tract 15.06",2014,1,0,0,1916,92,"0.616","0.376"
"SC","Census Tract 16.01",2014,1,0,0,7130,625,"0.342","0.595"
"SC","Census Tract 16.02",2014,1,0,0,5413,90,"0.682","0.29"
"SC","Census Tract 17",2014,2,0,0,2419,36,"0.529","0.45"
"SC","Census Tract 18",2014,4,0,0,3690,47,"0.612","0.321"
"SC","Census Tract 19",2014,4,0,0,5643,61,"0.637","0.333"
"SC","Census Tract 20",2014,2,0,0,3804,72,"0.601","0.356"
"SC","Census Tract 22.01",2014,2,0,0,4815,371,"0.248","0.702"
"SC","Census Tract 22.02",2014,2,0,0,4006,250,"0.369","0.567"
"SC","Census Tract 23",2014,3,0,0,3178,59,"0.862","0.134"
"SC","Census Tract 24",2014,3,0,0,4056,68,"0.755","0.2"
"SC","Census Tract 25",2014,2,0,0,3052,56,"0.711","0.289"
"SC","Census Tract 26",2014,2,0,0,3628,133,"0.319","0.655"
"SC","Census Tract 9801",2014,0,0,0,3,1,"1","0"
"SC","Census Tract 9201",2014,3,0,0,3416,38,"0.476","0.513"
"SC","Census Tract 9202.01",2014,3,0,0,5502,127,"0.554","0.434"
"SC","Census Tract 9202.02",2014,1,0,0,2572,59,"0.512","0.454"
"SC","Census Tract 9203.01",2014,2,0,0,4705,60,"0.503","0.413"
"SC","Census Tract 9203.02",2014,4,0,0,2809,448,"0.749","0.229"
"SC","Census Tract 9204",2014,4,0,0,2952,16,"0.279","0.666"
"SC","Census Tract 9205.01",2014,2,0,0,4844,845,"0.951","0.031"
"SC","Census Tract 9205.02",2014,2,0,0,3575,266,"0.908","0.086"
"SC","Census Tract 9205.03",2014,2,0,0,5402,612,"0.829","0.159"
"SC","Census Tract 9205.04",2014,2,0,0,5031,406,"0.852","0.131"
"SC","Census Tract 9205.05",2014,1,0,0,3646,74,"0.939","0.034"
"SC","Census Tract 9206",2014,1,0,0,6578,327,"0.394","0.596"
"SC","Census Tract 9207",2014,3,0,0,5807,196,"0.539","0.348"
"SC","Census Tract 9208",2014,2,0,0,3550,15,"0.399","0.601"
"SC","Census Tract 9901",2014,0,0,0,0,0,"0","0"
"SC","Census Tract 1",2014,1,0,0,2079,3497,"0.622","0.322"
"SC","Census Tract 2",2014,1,0,0,1020,1977,"0.92","0.037"
"SC","Census Tract 4",2014,0,0,0,1019,2051,"0.737","0.242"
"SC","Census Tract 5",2014,1,1,0,1384,3385,"0.219","0.753"
"SC","Census Tract 7",2014,2,0,1,1820,1832,"0.177","0.784"
"SC","Census Tract 8",2014,0,0,0,1223,3507,"0.218","0.769"
"SC","Census Tract 9",2014,0,0,0,1157,3164,"0.311","0.631"
"SC","Census Tract 10",2014,1,0,0,2132,3711,"0.754","0.179"
"SC","Census Tract 11.01",2014,2,0,0,3678,2083,"0.905","0.064"
"SC","Census Tract 11.02",2014,0,0,0,1955,3735,"0.912","0.054"
"SC","Census Tract 12.03",2014,0,0,0,3083,6263,"0.882","0.022"
"SC","Census Tract 12.04",2014,2,0,0,2603,2882,"0.648","0.286"
"SC","Census Tract 12.05",2014,1,0,0,1282,2543,"0.747","0.181"
"SC","Census Tract 13.02",2014,1,0,0,1528,2307,"0.812","0.152"
"SC","Census Tract 14",2014,2,0,0,3622,2255,"0.833","0.159"
"SC","Census Tract 15.01",2014,1,0,0,3943,3225,"0.948","0.027"
"SC","Census Tract 15.02",2014,1,0,0,2537,2517,"0.133","0.863"
"SC","Census Tract 16",2014,1,0,0,4961,1647,"0.919","0.04"
"SC","Census Tract 17",2014,1,0,0,3965,1775,"0.834","0.096"
"SC","Census Tract 18.03",2014,1,0,0,4448,3191,"0.793","0.147"
"SC","Census Tract 18.04",2014,3,0,0,4131,2558,"0.841","0.122"
"SC","Census Tract 18.05",2014,2,0,0,4121,1828,"0.903","0.053"
"SC","Census Tract 18.07",2014,3,0,0,5437,2909,"0.81","0.103"
"SC","Census Tract 18.08",2014,1,0,0,3998,1870,"0.621","0.287"
"SC","Census Tract 18.09",2014,1,0,0,3035,4345,"0.733","0.185"
"SC","Census Tract 18.10",2014,1,0,0,3761,6075,"0.575","0.305"
"SC","Census Tract 19",2014,1,0,0,5094,952,"0.781","0.187"
"SC","Census Tract 20.01",2014,0,0,0,3183,2104,"0.127","0.86"
"SC","Census Tract 20.03",2014,1,0,0,5077,1314,"0.349","0.544"
"SC","Census Tract 20.05",2014,2,0,0,3853,1614,"0.245","0.722"
"SC","Census Tract 21.03",2014,1,0,0,3170,1094,"0.588","0.387"
"SC","Census Tract 21.04",2014,0,0,0,1301,2464,"0.576","0.341"
"SC","Census Tract 21.05",2014,0,0,0,2334,2811,"0.391","0.586"
"SC","Census Tract 21.06",2014,1,0,0,2990,2800,"0.642","0.324"
"SC","Census Tract 21.07",2014,0,0,0,2804,1965,"0.634","0.352"
"SC","Census Tract 21.08",2014,1,0,0,1554,2839,"0.551","0.443"
"SC","Census Tract 22.01",2014,1,0,0,6434,3357,"0.73","0.175"
"SC","Census Tract 22.02",2014,1,0,0,2160,1887,"0.689","0.172"
"SC","Census Tract 23.01",2014,2,0,0,3656,1846,"0.818","0.114"
"SC","Census Tract 23.02",2014,0,0,0,3432,3406,"0.709","0.268"
"SC","Census Tract 23.03",2014,1,0,0,1924,2047,"0.624","0.364"
"SC","Census Tract 23.04",2014,0,0,0,2437,1327,"0.422","0.55"
"SC","Census Tract 24.02",2014,1,0,0,7043,387,"0.933","0.017"
"SC","Census Tract 24.03",2014,1,0,0,4474,162,"0.966","0.007"
"SC","Census Tract 24.04",2014,1,0,0,3471,56,"0.983","0"
"SC","Census Tract 25.03",2014,3,1,0,9723,1221,"0.825","0.103"
"SC","Census Tract 25.04",2014,1,0,0,1944,2345,"0.752","0.245"
"SC","Census Tract 25.05",2014,1,0,1,3783,2811,"0.824","0.121"
"SC","Census Tract 25.06",2014,2,0,0,3550,808,"0.899","0.065"
"SC","Census Tract 25.07",2014,2,0,0,5074,1500,"0.823","0.15"
"SC","Census Tract 26.02",2014,1,0,0,3984,2545,"0.823","0.055"
"SC","Census Tract 26.04",2014,1,0,0,5661,1414,"0.804","0.168"
"SC","Census Tract 26.06",2014,0,0,0,5692,561,"0.948","0.038"
"SC","Census Tract 26.08",2014,1,0,0,9328,2377,"0.861","0.049"
"SC","Census Tract 26.09",2014,4,0,0,6751,3169,"0.86","0.066"
"SC","Census Tract 26.10",2014,0,0,0,2901,1817,"0.75","0.213"
"SC","Census Tract 26.11",2014,4,1,0,5416,798,"0.755","0.189"
"SC","Census Tract 27.01",2014,2,0,0,4211,362,"0.971","0.018"
"SC","Census Tract 27.02",2014,4,1,1,8373,1340,"0.913","0.052"
"SC","Census Tract 28.03",2014,2,0,0,7775,2651,"0.87","0.057"
"SC","Census Tract 28.04",2014,1,0,0,2377,2140,"0.967","0.011"
"SC","Census Tract 28.05",2014,1,0,0,4617,1276,"0.865","0.089"
"SC","Census Tract 28.08",2014,4,0,0,6761,967,"0.707","0.159"
"SC","Census Tract 28.11",2014,2,0,0,7932,1728,"0.727","0.137"
"SC","Census Tract 28.12",2014,2,0,0,7062,1815,"0.829","0.089"
"SC","Census Tract 28.13",2014,1,0,0,4435,1393,"0.87","0.034"
"SC","Census Tract 28.14",2014,2,0,0,6106,1385,"0.837","0.065"
"SC","Census Tract 28.15",2014,1,0,0,6195,2429,"0.846","0.078"
"SC","Census Tract 28.16",2014,2,0,0,9232,1453,"0.865","0.059"
"SC","Census Tract 29.01",2014,2,0,0,5342,934,"0.556","0.36"
"SC","Census Tract 29.03",2014,2,0,0,7222,1902,"0.641","0.272"
"SC","Census Tract 29.04",2014,2,0,0,5020,1278,"0.58","0.348"
"SC","Census Tract 29.05",2014,1,0,0,4594,1486,"0.721","0.237"
"SC","Census Tract 30.05",2014,0,0,0,2414,811,"0.71","0.245"
"SC","Census Tract 30.08",2014,4,0,0,6873,1705,"0.893","0.062"
"SC","Census Tract 30.09",2014,2,0,0,5658,387,"0.91","0.08"
"SC","Census Tract 30.10",2014,2,0,0,5965,1201,"0.778","0.183"
"SC","Census Tract 30.11",2014,3,0,0,5470,1434,"0.84","0.111"
"SC","Census Tract 30.12",2014,1,0,0,5414,3670,"0.768","0.201"
"SC","Census Tract 30.13",2014,2,0,0,6303,1584,"0.697","0.262"
"SC","Census Tract 30.14",2014,2,0,0,4468,901,"0.8","0.175"
"SC","Census Tract 30.15",2014,5,0,0,8060,962,"0.876","0.114"
"SC","Census Tract 31.01",2014,2,0,0,6777,984,"0.707","0.268"
"SC","Census Tract 31.03",2014,0,0,0,2939,235,"0.887","0.056"
"SC","Census Tract 31.04",2014,1,0,0,2005,119,"0.975","0.015"
"SC","Census Tract 32.01",2014,2,0,0,5281,158,"0.73","0.221"
"SC","Census Tract 32.02",2014,1,0,0,3709,67,"0.926","0.044"
"SC","Census Tract 33.01",2014,1,0,0,5586,316,"0.776","0.214"
"SC","Census Tract 33.03",2014,2,0,0,5013,250,"0.676","0.281"
"SC","Census Tract 33.04",2014,1,0,0,6305,503,"0.675","0.271"
"SC","Census Tract 34.01",2014,2,0,0,1039,189,"0.506","0.494"
"SC","Census Tract 35",2014,1,0,0,2444,360,"0.63","0.339"
"SC","Census Tract 36.01",2014,1,0,0,5306,962,"0.661","0.289"
"SC","Census Tract 36.02",2014,1,0,0,2783,882,"0.381","0.575"
"SC","Census Tract 37.01",2014,2,0,0,5259,470,"0.783","0.154"
"SC","Census Tract 37.04",2014,1,0,0,3480,3061,"0.711","0.252"
"SC","Census Tract 37.05",2014,1,0,0,1697,689,"0.771","0.148"
"SC","Census Tract 37.06",2014,1,0,0,3561,2115,"0.634","0.129"
"SC","Census Tract 37.07",2014,0,0,0,3698,2375,"0.748","0.233"
"SC","Census Tract 38.01",2014,4,2,1,7050,1445,"0.916","0.049"
"SC","Census Tract 38.02",2014,3,1,2,4875,874,"0.769","0.177"
"SC","Census Tract 39.02",2014,1,0,0,3507,242,"0.929","0.043"
"SC","Census Tract 39.03",2014,1,0,0,4055,202,"0.95","0.034"
"SC","Census Tract 39.04",2014,2,0,0,6839,610,"0.81","0.139"
"SC","Census Tract 40.01",2014,2,0,0,3227,216,"0.938","0.047"
"SC","Census Tract 40.02",2014,1,0,0,5335,75,"0.948","0.033"
"SC","Census Tract 41.01",2014,2,0,0,3735,198,"0.863","0.07"
"SC","Census Tract 41.02",2014,0,0,0,1195,18,"0.982","0.012"
"SC","Census Tract 42",2014,2,0,0,2601,2681,"0.855","0.116"
"SC","Census Tract 43",2014,2,1,1,3826,3091,"0.085","0.863"
"SC","Census Tract 44",2014,0,0,0,1961,910,"0.586","0.367"
"SC","Census Tract 9701.01",2014,2,0,0,3813,116,"0.651","0.324"
"SC","Census Tract 9701.02",2014,4,0,0,4442,89,"0.679","0.261"
"SC","Census Tract 9702.01",2014,2,0,0,3860,183,"0.744","0.215"
"SC","Census Tract 9702.02",2014,6,0,1,8387,1935,"0.679","0.288"
"SC","Census Tract 9703.01",2014,3,0,0,4587,1269,"0.728","0.223"
"SC","Census Tract 9703.02",2014,5,0,0,5531,526,"0.834","0.117"
"SC","Census Tract 9704",2014,4,0,0,6422,469,"0.741","0.214"
"SC","Census Tract 9705",2014,2,0,0,4978,3171,"0.218","0.66"
"SC","Census Tract 9706",2014,7,0,1,6795,211,"0.647","0.304"
"SC","Census Tract 9707.01",2014,1,0,0,2079,60,"0.861","0.139"
"SC","Census Tract 9707.02",2014,4,0,1,5283,117,"0.626","0.345"
"SC","Census Tract 9708",2014,5,0,1,9501,313,"0.405","0.521"
"SC","Census Tract 9709",2014,2,0,0,2000,23,"0.657","0.192"
"SC","Census Tract 9710",2014,1,0,0,2030,23,"0.922","0.075"
"SC","Census Tract 9201",2014,1,0,0,2818,39,"0.744","0.225"
"SC","Census Tract 9202",2014,5,0,0,7160,66,"0.401","0.595"
"SC","Census Tract 9203",2014,1,0,0,2118,28,"0.378","0.596"
"SC","Census Tract 9204",2014,5,0,0,6719,40,"0.386","0.528"
"SC","Census Tract 9205",2014,3,0,0,1855,14,"0.243","0.75"
"SC","Census Tract 101",2014,5,0,0,3484,26,"0.729","0.268"
"SC","Census Tract 201",2014,4,0,0,3488,59,"0.727","0.256"
"SC","Census Tract 202",2014,5,1,1,5291,160,"0.621","0.355"
"SC","Census Tract 203",2014,3,0,0,6969,79,"0.751","0.195"
"SC","Census Tract 301.01",2014,0,0,0,1232,80,"0.356","0.558"
"SC","Census Tract 301.02",2014,3,0,0,2498,62,"0.69","0.239"
"SC","Census Tract 301.03",2014,2,0,0,3015,95,"0.659","0.318"
"SC","Census Tract 401.01",2014,1,0,0,4786,321,"0.762","0.226"
"SC","Census Tract 401.02",2014,2,0,0,4969,695,"0.736","0.232"
"SC","Census Tract 401.03",2014,1,0,0,5519,862,"0.834","0.098"
"SC","Census Tract 401.04",2014,1,0,0,2680,351,"0.947","0.039"
"SC","Census Tract 401.05",2014,2,0,0,2270,1109,"0.935","0.003"
"SC","Census Tract 402",2014,1,0,0,3732,387,"0.863","0.132"
"SC","Census Tract 403",2014,4,1,1,4107,1165,"0.921","0.038"
"SC","Census Tract 404",2014,1,0,0,4120,1473,"0.947","0.035"
"SC","Census Tract 405",2014,4,0,0,3525,831,"0.895","0.049"
"SC","Census Tract 501.02",2014,2,0,0,3966,867,"0.957","0.018"
"SC","Census Tract 502",2014,0,0,0,1670,986,"0.978","0.008"
"SC","Census Tract 503.03",2014,2,0,0,2233,903,"0.962","0.022"
"SC","Census Tract 504.01",2014,1,0,0,2356,2719,"0.86","0.069"
"SC","Census Tract 504.02",2014,0,0,0,1846,1202,"0.98","0.005"
"SC","Census Tract 505",2014,2,0,0,4511,1577,"0.856","0.049"
"SC","Census Tract 506",2014,2,0,0,4257,1848,"0.438","0.446"
"SC","Census Tract 507",2014,1,0,0,1663,3008,"0.734","0.117"
"SC","Census Tract 509",2014,3,0,0,7011,1705,"0.7","0.129"
"SC","Census Tract 510",2014,1,0,0,3058,999,"0.893","0.028"
"SC","Census Tract 512.01",2014,1,0,0,1629,2045,"0.982","0.006"
"SC","Census Tract 512.02",2014,0,0,0,2371,2904,"0.895","0.008"
"SC","Census Tract 513.01",2014,0,0,0,1069,1594,"0.973","0.021"
"SC","Census Tract 513.02",2014,3,1,1,3097,1961,"0.966","0"
"SC","Census Tract 514.03",2014,1,0,0,4468,957,"0.91","0.059"
"SC","Census Tract 514.04",2014,1,0,0,3624,2292,"0.901","0.028"
"SC","Census Tract 514.05",2014,1,0,0,2969,1376,"0.974","0"
"SC","Census Tract 514.06",2014,1,0,0,2769,1943,"0.985","0.015"
"SC","Census Tract 515.01",2014,1,0,0,4024,2784,"0.704","0.076"
"SC","Census Tract 515.02",2014,0,0,0,7570,2396,"0.866","0.089"
"SC","Census Tract 515.03",2014,0,0,0,3912,2090,"0.671","0.087"
"SC","Census Tract 516.01",2014,4,0,1,9145,780,"0.774","0.086"
"SC","Census Tract 516.03",2014,0,0,0,4136,491,"0.804","0.147"
"SC","Census Tract 516.04",2014,2,0,0,8265,814,"0.952","0.024"
"SC","Census Tract 516.05",2014,3,0,0,5628,1066,"0.865","0.066"
"SC","Census Tract 517",2014,1,0,0,2327,857,"0.823","0.118"
"SC","Census Tract 601.01",2014,1,0,0,2941,231,"0.812","0.116"
"SC","Census Tract 601.02",2014,0,0,0,2896,491,"0.773","0.119"
"SC","Census Tract 602.03",2014,1,0,0,6369,662,"0.767","0.098"
"SC","Census Tract 602.04",2014,2,0,0,7821,1432,"0.864","0.09"
"SC","Census Tract 602.06",2014,2,0,0,5951,1041,"0.864","0.09"
"SC","Census Tract 602.07",2014,1,0,0,5205,1123,"0.93","0.03"
"SC","Census Tract 602.08",2014,1,0,0,2775,577,"0.865","0.053"
"SC","Census Tract 602.09",2014,2,0,0,6183,1088,"0.817","0.09"
"SC","Census Tract 603.01",2014,2,0,0,3923,131,"0.799","0.187"
"SC","Census Tract 603.03",2014,1,0,0,1906,173,"0.975","0.008"
"SC","Census Tract 603.08",2014,1,0,0,5842,115,"0.669","0.274"
"SC","Census Tract 604.03",2014,1,0,0,2621,508,"0.795","0.076"
"SC","Census Tract 604.04",2014,1,0,0,1724,279,"0.921","0.059"
"SC","Census Tract 604.05",2014,2,0,0,6575,2351,"0.718","0.242"
"SC","Census Tract 604.06",2014,2,0,0,5954,795,"0.933","0.018"
"SC","Census Tract 701.01",2014,1,0,0,4706,145,"0.866","0.05"
"SC","Census Tract 701.02",2014,2,0,0,2921,84,"0.935","0.059"
"SC","Census Tract 702",2014,4,0,0,3513,1267,"0.789","0.15"
"SC","Census Tract 703",2014,1,0,0,3830,1147,"0.487","0.464"
"SC","Census Tract 704",2014,2,0,0,4977,677,"0.301","0.678"
"SC","Census Tract 705",2014,1,0,0,3550,922,"0.586","0.407"
"SC","Census Tract 706.01",2014,2,0,0,4845,123,"0.841","0.099"
"SC","Census Tract 706.02",2014,3,0,0,4325,64,"0.645","0.335"
"SC","Census Tract 707.01",2014,3,0,0,5047,126,"0.755","0.199"
"SC","Census Tract 707.02",2014,1,0,0,5260,225,"0.704","0.24"
"SC","Census Tract 801.01",2014,3,0,0,3555,57,"0.909","0.057"
"SC","Census Tract 801.02",2014,4,0,0,2467,107,"0.823","0.148"
"SC","Census Tract 802",2014,2,0,0,4297,52,"0.941","0.036"
"SC","Census Tract 9801",2014,0,0,0,42,16,"1","0"
"SC","Census Tract 9901",2014,0,0,0,0,0,"0","0"
"SC","Census Tract 9501",2014,5,1,1,5027,20,"0.503","0.455"
"SC","Census Tract 9502.01",2014,3,0,1,4096,46,"0.611","0.338"
"SC","Census Tract 9502.02",2014,5,0,0,8857,86,"0.37","0.524"
"SC","Census Tract 9503",2014,3,0,0,8062,38,"0.494","0.418"
"SC","Census Tract 9901",2014,0,0,0,0,0,"0","0"
"SC","Census Tract 9701",2014,1,0,0,2487,26,"0.616","0.368"
"SC","Census Tract 9702",2014,2,0,0,3055,30,"0.847","0.147"
"SC","Census Tract 9703",2014,3,0,0,2140,18,"0.74","0.199"
"SC","Census Tract 9704.01",2014,2,0,0,4644,72,"0.842","0.114"
"SC","Census Tract 9704.02",2014,2,0,0,2621,487,"0.755","0.245"
"SC","Census Tract 9704.03",2014,0,0,0,2644,365,"0.72","0.182"
"SC","Census Tract 9705",2014,3,0,0,5653,188,"0.653","0.271"
"SC","Census Tract 9706.01",2014,3,0,0,5389,346,"0.679","0.293"
"SC","Census Tract 9706.02",2014,1,0,0,4700,44,"0.716","0.267"
"SC","Census Tract 9707",2014,2,0,0,2607,40,"0.63","0.361"
"SC","Census Tract 9708",2014,6,0,0,6779,375,"0.505","0.459"
"SC","Census Tract 9709.02",2014,1,0,0,2880,54,"0.754","0.181"
"SC","Census Tract 9709.03",2014,2,0,0,5981,296,"0.871","0.114"
"SC","Census Tract 9709.04",2014,4,0,0,7859,378,"0.653","0.276"
"SC","Census Tract 9709.05",2014,1,0,0,2903,445,"0.893","0.105"
"SC","Census Tract 101",2014,1,0,0,3897,52,"0.921","0.068"
"SC","Census Tract 102",2014,3,0,0,8524,87,"0.759","0.224"
"SC","Census Tract 103",2014,3,0,0,5925,42,"0.708","0.279"
"SC","Census Tract 104",2014,1,0,0,2684,95,"0.518","0.429"
"SC","Census Tract 105",2014,2,0,0,5443,668,"0.621","0.359"
"SC","Census Tract 106",2014,2,0,0,5260,498,"0.751","0.221"
"SC","Census Tract 107",2014,3,0,0,3803,1621,"0.145","0.851"
"SC","Census Tract 108",2014,1,0,0,3104,1852,"0.534","0.464"
"SC","Census Tract 109",2014,1,0,0,3771,575,"0.733","0.198"
"SC","Census Tract 110.01",2014,3,0,0,5145,193,"0.83","0.159"
"SC","Census Tract 110.02",2014,3,0,0,4538,134,"0.812","0.183"
"SC","Census Tract 111",2014,2,0,0,5611,109,"0.629","0.32"
"SC","Census Tract 112.01",2014,2,0,0,10577,582,"0.843","0.077"
"SC","Census Tract 112.02",2014,3,0,0,11233,233,"0.93","0.059"
"SC","Census Tract 9201.01",2014,2,0,0,6755,144,"0.664","0.258"
"SC","Census Tract 9201.02",2014,2,1,1,1735,88,"0.885","0.061"
"SC","Census Tract 9201.03",2014,2,0,0,4332,109,"0.722","0.223"
"SC","Census Tract 9201.04",2014,1,0,0,3731,145,"0.827","0.136"
"SC","Census Tract 9202.01",2014,3,1,0,3086,59,"0.854","0.139"
"SC","Census Tract 9202.02",2014,3,0,0,3408,62,"0.989","0"
"SC","Census Tract 9203.01",2014,4,0,0,4081,100,"0.755","0.19"
"SC","Census Tract 9203.02",2014,2,0,0,4243,106,"0.588","0.399"
"SC","Census Tract 9204",2014,5,1,0,4941,994,"0.692","0.301"
"SC","Census Tract 9205.01",2014,1,0,0,1630,33,"0.742","0.256"
"SC","Census Tract 9205.02",2014,2,1,1,5868,207,"0.614","0.283"
"SC","Census Tract 9206",2014,2,0,0,4535,39,"0.66","0.316"
"SC","Census Tract 9207",2014,1,0,0,4610,406,"0.416","0.57"
"SC","Census Tract 9208",2014,2,0,0,5640,282,"0.79","0.188"
"SC","Census Tract 9209",2014,2,0,0,2233,45,"0.759","0.191"
"SC","Census Tract 9210.01",2014,2,0,0,2701,50,"0.602","0.374"
"SC","Census Tract 9210.02",2014,1,0,0,2861,48,"0.796","0.188"
"SC","Census Tract 9201",2014,1,0,0,1870,34,"0.668","0.332"
"SC","Census Tract 9202",2014,6,0,0,4332,48,"0.477","0.499"
"SC","Census Tract 9203.01",2014,0,0,0,0,0,"0","0"
"SC","Census Tract 9203.02",2014,4,0,0,5342,93,"0.185","0.78"
"SC","Census Tract 9204",2014,6,0,0,4017,44,"0.335","0.609"
"SC","Census Tract 9205",2014,2,0,0,1600,35,"0.254","0.729"
"SC","Census Tract 9206",2014,3,0,0,1547,22,"0.088","0.912"
"SC","Census Tract 201",2014,1,0,0,2605,675,"0.599","0.369"
"SC","Census Tract 202.01",2014,1,0,0,2955,3227,"0.787","0.124"
"SC","Census Tract 202.02",2014,1,0,0,2186,1418,"0.683","0.24"
