"state","census_tract","year","polling_locations_total","polling_locations_removed_since_last_general","polling_locations_added_since_last_general","est_total_population","population_density","percentage_race_white","percentage_race_black_african_american"
"SC","Census Tract 119.01",2012,2,NULL,NULL,5030,787,"0.645","0.324"
"SC","Census Tract 119.02",2012,1,NULL,NULL,2796,454,"0.427","0.563"
"SC","Census Tract 120.01",2012,3,NULL,NULL,5122,1181,"0.789","0.152"
"SC","Census Tract 120.02",2012,1,NULL,NULL,4615,256,"0.725","0.253"
"SC","Census Tract 122",2012,4,NULL,NULL,6213,92,"0.851","0.129"
"SC","Census Tract 123",2012,2,NULL,NULL,3390,1078,"0.575","0.423"
"SC","Census Tract 9601",2012,2,NULL,NULL,5963,78,"0.115","0.88"
"SC","Census Tract 9602",2012,4,NULL,NULL,6994,48,"0.424","0.562"
"SC","Census Tract 9603",2012,3,NULL,NULL,1577,18,"0.725","0.256"
"SC","Census Tract 9604",2012,3,NULL,NULL,1407,17,"0.667","0.307"
"SC","Census Tract 9701",2012,2,NULL,NULL,5475,56,"0.567","0.428"
"SC","Census Tract 9702",2012,1,NULL,NULL,4510,66,"0.363","0.613"
"SC","Census Tract 9703",2012,3,NULL,NULL,4186,157,"0.402","0.588"
"SC","Census Tract 9704",2012,2,NULL,NULL,4720,81,"0.841","0.115"
"SC","Census Tract 9705",2012,2,NULL,NULL,3632,32,"0.411","0.56"
"SC","Census Tract 9801",2012,NULL,NULL,NULL,0,0,"0","0"
"SC","Census Tract 1",2012,3,NULL,NULL,4386,32,"0.355","0.637"
"SC","Census Tract 2",2012,3,NULL,NULL,5394,278,"0.338","0.587"
"SC","Census Tract 3",2012,1,NULL,NULL,5248,1493,"0.737","0.164"
"SC","Census Tract 4",2012,NULL,NULL,NULL,1506,186,"0.688","0.181"
"SC","Census Tract 5.01",2012,1,NULL,NULL,6089,562,"0.561","0.392"
"SC","Census Tract 5.02",2012,1,NULL,NULL,4276,715,"0.627","0.293"
"SC","Census Tract 5.03",2012,3,NULL,NULL,4055,396,"0.719","0.237"
"SC","Census Tract 6",2012,NULL,NULL,NULL,2278,851,"0.647","0.272"
"SC","Census Tract 7",2012,4,NULL,NULL,6341,1773,"0.612","0.248"
"SC","Census Tract 8",2012,3,NULL,NULL,4588,1572,"0.604","0.323"
"SC","Census Tract 9.01",2012,2,NULL,NULL,2276,102,"0.796","0.177"
"SC","Census Tract 9.02",2012,4,NULL,NULL,8339,669,"0.825","0.14"
"SC","Census Tract 9.03",2012,1,NULL,NULL,1509,203,"0.754","0.104"
