localityid,geoid,name,x,y,stfp,cntyfp,tractfp
03600ec3-f952-49fe-bb6f-55db90043e0e,1400000US45003020301,"Census Tract 203.01, Aiken County, South Carolina",-81.779,33.705,45,003,45003020301
0379d630-bbd6-411d-bbc6-49d226783c01,1400000US45063021020,"Census Tract 210.20, Lexington County, South Carolina",-81.162,33.991,45,063,45063021020
038e689d-4b29-4d5a-a0d0-5581836d2c23,1400000US45025950700,"Census Tract 9507, Chesterfield County, South Carolina",-80.041,34.514,45,025,45025950700
038e689d-4b29-4d5a-a0d0-5581836d2c23,1400000US45025950701,"Census Tract 9507.01, Chesterfield County, South Carolina",-80.041,34.514,45,025,45025950701
03a181f1-0ed2-4b5b-bdf0-ae9912cb08bd,1400000US45075010600,"Census Tract 106, Orangeburg County, South Carolina",-80.839,33.373,45,075,45075010600
03a181f1-0ed2-4b5b-bdf0-ae9912cb08bd,1400000US45075010601,"Census Tract 106.01, Orangeburg County, South Carolina",-80.839,33.373,45,075,45075010601
03abbd2a-d518-4658-a7ec-a4ca9a9bbd4d,1400000US45065920200,"Census Tract 9202, McCormick County, South Carolina",-82.299,33.918,45,065,45065920200
0409ab02-aded-4f1d-bef3-14215d802373,1400000US45079010307,"Census Tract 103.07, Richland County, South Carolina",-81.274,34.166,45,079,45079010307
0409ab02-aded-4f1d-bef3-14215d802373,1400000US45079010313,"Census Tract 103.13, Richland County, South Carolina",-81.274,34.166,45,079,45079010313
0480d20e-da66-4960-80ff-80c530d3ae8a,1400000US45055970800,"Census Tract 9708, Kershaw County, South Carolina",-80.602,34.251,45,055,45055970800
0483aab8-155c-4b7e-92e6-6aaab1c49d42,1400000US45023021000,"Census Tract 210, Chester County, South Carolina",-80.916,34.588,45,023,45023021000
04a102f8-bbe1-439f-bafc-024c683d6112,1400000US45083021302,"Census Tract 213.02, Spartanburg County, South Carolina",-81.898,34.955,45,083,45083021302
04cf8051-cff8-4631-894c-0c0a5da3342c,1400000US45019002101,"Census Tract 21.01, Charleston County, South Carolina",-80.098,32.725,45,019,45019002101
04cf8051-cff8-4631-894c-0c0a5da3342c,1400000US45019002108,"Census Tract 21.08, Charleston County, South Carolina",-80.098,32.725,45,019,45019002108
04f946b6-f7f8-46db-b449-51e19fc47e83,1400000US45071950202,"Census Tract 9502.02, Newberry County, South Carolina",-81.623,34.280,45,071,45071950202
04fc949d-701c-4f07-8909-b6c27f047428,1400000US45063021026,"Census Tract 210.26, Lexington County, South Carolina",-81.261,33.995,45,063,45063021026
04fc949d-701c-4f07-8909-b6c27f047428,1400000US45063021048,"Census Tract 210.48, Lexington County, South Carolina",-81.261,33.995,45,063,45063021048
05059a69-b38a-4544-8bca-8102119b9541,1400000US45007000200,"Census Tract 2, Anderson County, South Carolina",-82.650,34.510,45,007,45007000200
050b17fb-95c5-4532-afb6-118ca4d47189,1400000US45047970500,"Census Tract 9705, Greenwood County, South Carolina",-82.136,34.196,45,047,45047970500
05197f6e-2862-4173-be47-fa588139d988,1400000US45045003014,"Census Tract 30.14, Greenville County, South Carolina",-82.307,34.711,45,045,45045003014
052f7fd7-4c54-413f-8557-e2b6236a856f,1400000US45041002400,"Census Tract 24, Florence County, South Carolina",-79.813,33.911,45,041,45041002400
0548eb4c-648a-413b-9b11-6fcb2371d77e,1400000US45077010803,"Census Tract 108.03, Pickens County, South Carolina",-82.616,34.817,45,077,45077010803
055333e4-eb46-4eee-9d4c-51ca54756087,1400000US45041001504,"Census Tract 15.04, Florence County, South Carolina",-79.822,34.150,45,041,45041001504
057fcea0-a25d-45af-a209-42ca5d414d15,1400000US45055970904,"Census Tract 9709.04, Kershaw County, South Carolina",-80.791,34.170,45,055,45055970904
057fcea0-a25d-45af-a209-42ca5d414d15,1400000US45055970906,"Census Tract 9709.06, Kershaw County, South Carolina",-80.791,34.170,45,055,45055970906
05b31c4d-469d-4e80-9c67-91695506d95c,1400000US45061920302,"Census Tract 9203.02, Lee County, South Carolina",-80.248,34.217,45,061,45061920302
05da2f4c-f2de-4394-a339-36beafb73ec5,1400000US45059920400,"Census Tract 9204, Laurens County, South Carolina",-82.020,34.500,45,059,45059920400
05f1d323-5ecd-4a5c-93e1-9cd5b12f6eae,1400000US45075011900,"Census Tract 119, Orangeburg County, South Carolina",-81.118,33.556,45,075,45075011900
05f64e4b-09a7-479e-af0b-ab1d7b391107,1400000US45089970700,"Census Tract 9707, Williamsburg County, South Carolina",-79.954,33.699,45,089,45089970700
0603db13-3d21-4bc9-a32a-a189189ab270,1400000US45019003900,"Census Tract 39, Charleston County, South Carolina",-79.998,32.848,45,019,45019003900
0636fc91-d3e6-49f7-8879-d760d529dade,1400000US45079011202,"Census Tract 112.02, Richland County, South Carolina",-80.975,34.026,45,079,45079011202
06411243-b02b-4016-b348-11b805e1da1f,1400000US45041002204,"Census Tract 22.04, Florence County, South Carolina",-79.756,33.876,45,041,45041002204
0648fea5-3bbb-4d17-942e-41290a16925e,1400000US45045003904,"Census Tract 39.04, Greenville County, South Carolina",-82.441,34.957,45,045,45045003904
0648fea5-3bbb-4d17-942e-41290a16925e,1400000US45045003906,"Census Tract 39.06, Greenville County, South Carolina",-82.441,34.957,45,045,45045003906
06a8dc1a-efc3-4b49-9a86-9741a1243702,1400000US45021970502,"Census Tract 9705.02, Cherokee County, South Carolina",-81.641,35.067,45,021,45021970502
06ebbaac-464a-4734-b8dd-c893d123ddb0,1400000US45045002609,"Census Tract 26.09, Greenville County, South Carolina",-82.257,34.870,45,045,45045002609
06f74d80-f66f-4e30-a787-2beb1d5aad7c,1400000US45083021902,"Census Tract 219.02, Spartanburg County, South Carolina",-82.003,34.927,45,083,45083021902
070b86ae-3ed3-45dd-baea-8bb1836ae17a,1400000US45021970201,"Census Tract 9702.01, Cherokee County, South Carolina",-81.645,35.067,45,021,45021970201
07108a44-c17f-422d-84b2-7f636885d098,1400000US45019004300,"Census Tract 43, Charleston County, South Carolina",-79.970,32.856,45,019,45019004300
07168224-ac38-4935-89df-6f83128c5395,1400000US45083023600,"Census Tract 236, Spartanburg County, South Carolina",-82.045,34.734,45,083,45083023600
07345877-c44e-4884-a405-2961b5ad2751,1400000US45033970200,"Census Tract 9702, Dillon County, South Carolina",-79.265,34.435,45,033,45033970200
07391f9e-2a0c-4688-85c4-ad0fbfde937f,1400000US45077010501,"Census Tract 105.01, Pickens County, South Carolina",-82.640,34.996,45,077,45077010501
0769d330-80ca-4f25-b33e-6ad1c9ea19e2,1400000US45063020703,"Census Tract 207.03, Lexington County, South Carolina",-81.133,33.904,45,063,45063020703
077a4a84-6b67-48b8-a797-bf1217fe69f0,1400000US45045001807,"Census Tract 18.07, Greenville County, South Carolina",-82.320,34.876,45,045,45045001807
078b9004-591d-4946-bd4d-3a9d20705125,1400000US45013002107,"Census Tract 21.07, Beaufort County, South Carolina",-80.861,32.236,45,013,45013002107
07bb8647-61e7-41a4-b235-38c7d574a685,1400000US45053950300,"Census Tract 9503, Jasper County, South Carolina",-81.069,32.277,45,053,45053950300
07bb8647-61e7-41a4-b235-38c7d574a685,1400000US45053950302,"Census Tract 9503.02, Jasper County, South Carolina",-81.069,32.277,45,053,45053950302
07e7e83c-0fc9-42c1-8c1e-8d97c4e4bc1a,1400000US45051050700,"Census Tract 507, Horry County, South Carolina",-78.888,33.689,45,051,45051050700
0810791f-42a3-4243-bbce-7963b3b90719,1400000US45089970600,"Census Tract 9706, Williamsburg County, South Carolina",-79.832,33.662,45,089,45089970600
0810791f-42a3-4243-bbce-7963b3b90719,1400000US45089970601,"Census Tract 9706.01, Williamsburg County, South Carolina",-79.832,33.662,45,089,45089970601
0818f116-2601-4efc-be50-ace2d990f7e7,1400000US45085001901,"Census Tract 19.01, Sumter County, South Carolina",-80.466,33.741,45,085,45085001901
0818f116-2601-4efc-be50-ace2d990f7e7,1400000US45085001904,"Census Tract 19.04, Sumter County, South Carolina",-80.466,33.741,45,085,45085001904
081e7679-5dae-4ad9-8b69-ff58b7b4a2f4,1400000US45045002611,"Census Tract 26.11, Greenville County, South Carolina",-82.300,34.955,45,045,45045002611
084d7370-d939-48fb-9f57-521372be18b9,1400000US45007010500,"Census Tract 105, Anderson County, South Carolina",-82.593,34.656,45,007,45007010500
08596396-c568-4e2c-a655-5b8426930562,1400000US45051051502,"Census Tract 515.02, Horry County, South Carolina",-78.977,33.667,45,051,45051051502
089d8e6d-5dd9-4da7-8290-2a8879ac9e41,1400000US45059920103,"Census Tract 9201.03, Laurens County, South Carolina",-82.114,34.607,45,059,45059920103
089d8e6d-5dd9-4da7-8290-2a8879ac9e41,1400000US45059920108,"Census Tract 9201.08, Laurens County, South Carolina",-82.114,34.607,45,059,45059920108
08b2c0fb-e06c-4f7b-b6d0-68ab683ab66c,1400000US45047970302,"Census Tract 9703.02, Greenwood County, South Carolina",-82.219,34.191,45,047,45047970302
08b2c0fb-e06c-4f7b-b6d0-68ab683ab66c,1400000US45047970304,"Census Tract 9703.04, Greenwood County, South Carolina",-82.219,34.191,45,047,45047970304
08b33b65-ad4a-464f-9d2d-868e2c51fef1,1400000US45007000900,"Census Tract 9, Anderson County, South Carolina",-82.657,34.520,45,007,45007000900
08b387ea-1f81-4c78-ae78-00159b83e179,1400000US45089970300,"Census Tract 9703, Williamsburg County, South Carolina",-79.450,33.711,45,089,45089970300
08b69eef-05e2-4d80-98e4-1dead52605cd,1400000US45023020601,"Census Tract 206.01, Chester County, South Carolina",-81.316,34.631,45,023,45023020601
090f7c02-79d1-4ede-9f4c-27666c01b8c4,1400000US45003021602,"Census Tract 216.02, Aiken County, South Carolina",-81.698,33.494,45,003,45003021602
092b0f9e-9af5-4739-88e7-005fb8ca7737,1400000US45045003304,"Census Tract 33.04, Greenville County, South Carolina",-82.321,34.689,45,045,45045003304
09337a8d-e646-42df-9cbc-9d8a10ae8904,1400000US45015020812,"Census Tract 208.12, Berkeley County, South Carolina",-80.009,32.947,45,015,45015020812
093b78af-9a87-4014-932f-baf34bdb0df3,1400000US45003021201,"Census Tract 212.01, Aiken County, South Carolina",-81.764,33.528,45,003,45003021201
09446a51-9d28-45a9-b49c-f8c1f6c89cfa,1400000US45077010501,"Census Tract 105.01, Pickens County, South Carolina",-82.644,34.993,45,077,45077010501
