pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E6100000EE7C3F355E6A56C083C0CAA145464540,CLARNO TOWN HALL,42.549,-89.662,WI,2014,2012 - 2014,0101000020E6100000EE7C3F355E6A56C083C0CAA145464540,no_change
0101000020E6100000A69BC420B00A56C083C0CAA145464540,SILVER LAKE VILLAGE HALL,42.549,-88.167,WI,2014,2012 - 2014,0101000020E6100000A69BC420B00A56C083C0CAA145464540,no_change
0101000020E6100000BE9F1A2FDDF455C083C0CAA145464540,"KENOSHA COUNTY JOB CENTER, ROOM N2",42.549,-87.826,WI,2014,2012 - 2014,0101000020E6100000BE9F1A2FDDF455C083C0CAA145464540,no_change
0101000020E61000002FDD240681F555C06666666666464540,13 JANE VERNON ELEMENTARY SCHOOL,42.550,-87.836,WI,2014,2012 - 2014,0101000020E61000002FDD240681F555C06666666666464540,no_change
0101000020E6100000A245B6F3FD2456C04A0C022B87464540,FONTANA VILLAGE HALL 2012,42.551,-88.578,WI,2014,2012 - 2014,0101000020E6100000A245B6F3FD2456C04A0C022B87464540,no_change
0101000020E6100000CFF753E3A54356C02DB29DEFA7464540,BELOIT TOWN HALL,42.552,-89.057,WI,2014,2012 - 2014,0101000020E6100000CFF753E3A54356C02DB29DEFA7464540,no_change
0101000020E6100000295C8FC2F5F855C0105839B4C8464540,CATERPILLAR COLLEGE PRESCHOOL,42.553,-87.890,WI,2014,2012 - 2014,0101000020E6100000295C8FC2F5F855C0105839B4C8464540,no_change
0101000020E6100000F0A7C64B374156C0D7A3703D0A474540,TURNER HIGH SCHOOL,42.555,-89.019,WI,2014,2012 - 2014,0101000020E6100000F0A7C64B374156C0D7A3703D0A474540,no_change
0101000020E6100000560E2DB29D3756C0D7A3703D0A474540,CLINTON VILLAGE HALL,42.555,-88.869,WI,2014,2012 - 2014,0101000020E6100000560E2DB29D3756C0D7A3703D0A474540,no_change
0101000020E6100000B81E85EB513856C0BA490C022B474540,CLINTON TOWN HALL,42.556,-88.880,WI,2014,2012 - 2014,0101000020E6100000B81E85EB513856C0BA490C022B474540,no_change
0101000020E6100000508D976E120356C09EEFA7C64B474540,BRISTOL MUNICIPAL BUILDING,42.557,-88.048,WI,2014,2012 - 2014,0101000020E6100000508D976E120356C09EEFA7C64B474540,no_change
0101000020E6100000BA490C022BF755C08195438B6C474540,14 LANCE MIDDLE SCHOOL,42.558,-87.862,WI,2014,2012 - 2014,0101000020E6100000BA490C022BF755C08195438B6C474540,no_change
0101000020E61000003BDF4F8D97F655C0643BDF4F8D474540,SOUTHWEST LIBRARY,42.559,-87.853,WI,2014,2012 - 2014,0101000020E61000003BDF4F8D97F655C0643BDF4F8D474540,no_change
