changeyear,cntyfp,baseyear,lastgeyear,changenopolls,nopollsadded,nopollsremoved,norvby,popdensityby,changenorv,changenorvpernopoll,state
2020 - 2022,45029,2022,2020,4,2,2,25425.0,36,-1115.0,278.0,SC
2012 - 2014,45031,2014,2012,0,0,0,41688.0,121,-332.0,0.0,SC
2014 - 2016,45031,2016,2014,1,0,1,44307.0,121,2619.0,2619.0,SC
2016 - 2018,45031,2018,2016,0,0,0,42361.0,120,-1946.0,0.0,SC
2018 - 2020,45031,2020,2018,5,3,2,45109.0,119,2748.0,549.0,SC
2020 - 2022,45031,2022,2020,2,1,1,41576.0,113,-3533.0,1766.0,SC
2012 - 2014,45033,2014,2012,0,0,0,19444.0,78,-421.0,0.0,SC
2014 - 2016,45033,2016,2014,0,0,0,20037.0,77,593.0,0.0,SC
2016 - 2018,45033,2018,2016,0,0,0,18558.0,76,-1479.0,0.0,SC
2018 - 2020,45033,2020,2018,6,3,3,19677.0,75,1119.0,186.0,SC
2020 - 2022,45033,2022,2020,2,1,1,17737.0,70,-1940.0,970.0,SC
2012 - 2014,45035,2014,2012,2,1,1,89185.0,249,1804.0,902.0,SC
2014 - 2016,45035,2016,2014,4,1,3,99789.0,259,10604.0,2651.0,SC
2016 - 2018,45035,2018,2016,1,0,1,100037.0,273,248.0,248.0,SC
2018 - 2020,45035,2020,2018,6,3,3,113262.0,284,13225.0,2204.0,SC
2020 - 2022,45035,2022,2020,4,3,1,106797.0,282,-6465.0,1616.0,SC
2012 - 2014,45037,2014,2012,1,1,0,15667.0,53,-257.0,257.0,SC
2014 - 2016,45037,2016,2014,0,0,0,16728.0,53,1061.0,0.0,SC
2016 - 2018,45037,2018,2016,0,0,0,16527.0,53,-201.0,0.0,SC
2018 - 2020,45037,2020,2018,5,3,2,18320.0,54,1793.0,358.0,SC
2020 - 2022,45037,2022,2020,2,1,1,17909.0,52,-411.0,205.0,SC
2012 - 2014,45039,2014,2012,0,0,0,15381.0,34,-234.0,0.0,SC
2014 - 2016,45039,2016,2014,0,0,0,15885.0,34,504.0,0.0,SC
2016 - 2018,45039,2018,2016,0,0,0,15360.0,33,-525.0,0.0,SC
2018 - 2020,45039,2020,2018,1,1,0,16222.0,33,862.0,862.0,SC
2020 - 2022,45039,2022,2020,0,0,0,15817.0,31,-405.0,0.0,SC
2012 - 2014,45041,2014,2012,1,0,1,82099.0,173,-1280.0,1280.0,SC
2014 - 2016,45041,2016,2014,4,1,3,87689.0,173,5590.0,1397.0,SC
2016 - 2018,45041,2018,2016,7,3,4,84880.0,173,-2809.0,401.0,SC
2018 - 2020,45041,2020,2018,19,9,10,91575.0,173,6695.0,352.0,SC
2020 - 2022,45041,2022,2020,9,6,3,82842.0,171,-8733.0,970.0,SC
2012 - 2014,45043,2014,2012,0,0,0,41109.0,74,15.0,0.0,SC
2014 - 2016,45043,2016,2014,0,0,0,42782.0,75,1673.0,0.0,SC
2016 - 2018,45043,2018,2016,1,1,0,42742.0,76,-40.0,40.0,SC
2018 - 2020,45043,2020,2018,10,4,6,47196.0,76,4454.0,445.0,SC
2020 - 2022,45043,2022,2020,6,4,2,48343.0,77,1147.0,191.0,SC
2012 - 2014,45045,2014,2012,15,7,8,286128.0,595,-310.0,20.0,SC
2014 - 2016,45045,2016,2014,12,7,5,312676.0,614,26548.0,2212.0,SC
2016 - 2018,45045,2018,2016,2,1,1,312870.0,635,194.0,97.0,SC
2018 - 2020,45045,2020,2018,26,10,16,350535.0,657,37665.0,1448.0,SC
2020 - 2022,45045,2022,2020,24,9,15,344300.0,661,-6235.0,259.0,SC
2012 - 2014,45047,2014,2012,4,4,0,39143.0,153,-1161.0,290.0,SC
2014 - 2016,45047,2016,2014,1,0,1,41698.0,154,2555.0,2555.0,SC
2016 - 2018,45047,2018,2016,2,2,0,40458.0,155,-1240.0,620.0,SC
2018 - 2020,45047,2020,2018,16,6,10,43318.0,155,2860.0,178.0,SC
2020 - 2022,45047,2022,2020,14,9,5,40336.0,152,-2982.0,213.0,SC
2012 - 2014,45049,2014,2012,0,0,0,12784.0,37,-47.0,0.0,SC
2014 - 2016,45049,2016,2014,0,0,0,12991.0,36,207.0,0.0,SC
2016 - 2018,45049,2018,2016,0,0,0,12530.0,35,-461.0,0.0,SC
2018 - 2020,45049,2020,2018,1,1,0,13190.0,34,660.0,660.0,SC
