localityid,geoid,name,x,y,stfp,cntyfp,tractfp
038ee301-67f5-4906-83fb-0fdeb0373b26,1400000US28123020300,"Census Tract 203, Scott County, Mississippi",-89.646,32.419,28,123,28123020300
038ee301-67f5-4906-83fb-0fdeb0373b26,1400000US28123020302,"Census Tract 203.02, Scott County, Mississippi",-89.646,32.419,28,123,28123020302
03925d7e-9f4d-4f4f-99d5-3ec53f94f2b6,1400000US28127950400,"Census Tract 9504, Simpson County, Mississippi",-89.716,31.792,28,127,28127950400
03925d7e-9f4d-4f4f-99d5-3ec53f94f2b6,1400000US28127950402,"Census Tract 9504.02, Simpson County, Mississippi",-89.716,31.792,28,127,28127950402
03aac208-11ad-43c3-bc23-06317ff99de6,1400000US28111950200,"Census Tract 9502, Perry County, Mississippi",-88.915,30.919,28,111,28111950200
03b115e0-53a4-455e-af3e-d087b16aa578,1400000US28085950500,"Census Tract 9505, Lincoln County, Mississippi",-90.435,31.605,28,085,28085950500
03ddcaf6-2cc6-4de8-88f3-4f83fc625e6f,1400000US28083950700,"Census Tract 9507, Leflore County, Mississippi",-90.181,33.518,28,083,28083950700
0412d541-1285-42a2-a8c3-1daf65721637,1400000US28059042500,"Census Tract 425, Jackson County, Mississippi",-88.549,30.348,28,059,28059042500
042a7874-0049-4617-bf9c-24a26e45add4,1400000US28151001700,"Census Tract 17, Washington County, Mississippi",-90.895,33.409,28,151,28151001700
043340e9-d328-4c0b-84ac-ea13033b1027,1400000US28093950500,"Census Tract 9505, Marshall County, Mississippi",-89.483,34.716,28,093,28093950500
043340e9-d328-4c0b-84ac-ea13033b1027,1400000US28093950501,"Census Tract 9505.01, Marshall County, Mississippi",-89.483,34.716,28,093,28093950501
0485d9e9-03fa-41b1-a08b-cf61f3a42547,1400000US28063950200,"Census Tract 9502, Jefferson County, Mississippi",-91.059,31.720,28,063,28063950200
04958dbf-88ea-43de-b7e1-26d6f542c403,1400000US28033070102,"Census Tract 701.02, DeSoto County, Mississippi",-90.138,34.965,28,033,28033070102
04a9e172-e80b-41d9-a0dc-d6a14df34d21,1400000US28145950200,"Census Tract 9502, Union County, Mississippi",-89.169,34.468,28,145,28145950200
04afa4ad-f347-4c11-8fe5-fb9cd9ba6d1d,1400000US28081950301,"Census Tract 9503.01, Lee County, Mississippi",-88.565,34.315,28,081,28081950301
04afe3f6-4745-42f9-b611-5e6febe1ee9f,1400000US28013950500,"Census Tract 9505, Calhoun County, Mississippi",-89.310,33.855,28,013,28013950500
04c66bb5-a576-4fcb-a60c-2653bad1f7c4,1400000US28059040101,"Census Tract 401.01, Jackson County, Mississippi",-88.481,30.585,28,059,28059040101
04ee1816-e812-45c1-af91-8ca5e7c1a1be,1400000US28091950200,"Census Tract 9502, Marion County, Mississippi",-89.877,31.237,28,091,28091950200
04efe89d-a5d4-4986-913e-17e99e6d5ca6,1400000US28037950100,"Census Tract 9501, Franklin County, Mississippi",-90.894,31.472,28,037,28037950100
04efe89d-a5d4-4986-913e-17e99e6d5ca6,1400000US28037950101,"Census Tract 9501.01, Franklin County, Mississippi",-90.894,31.472,28,037,28037950101
0508b4c5-c1ab-4a61-b801-09fceea47600,1400000US28077960200,"Census Tract 9602, Lawrence County, Mississippi",-90.112,31.564,28,077,28077960200
05326706-c584-4369-bcf5-97a08fb7326d,1400000US28157950100,"Census Tract 9501, Wilkinson County, Mississippi",-91.090,31.057,28,157,28157950100
0547152a-2315-42c0-9bf1-3253040135ce,1400000US28115950500,"Census Tract 9505, Pontotoc County, Mississippi",-89.127,34.103,28,115,28115950500
057f2efa-2891-4069-93bb-6660ff5f4191,1400000US28123020400,"Census Tract 204, Scott County, Mississippi",-89.656,32.352,28,123,28123020400
059672bc-7439-450a-81ec-a42b30fa109a,1400000US28005950200,"Census Tract 9502, Amite County, Mississippi",-91.020,31.196,28,005,28005950200
0599dceb-ef0b-4b08-ae75-0154724b7516,1400000US28145950600,"Census Tract 9506, Union County, Mississippi",-89.042,34.408,28,145,28145950600
05e6d040-e801-451e-8afb-cbb507e58bae,1400000US28019950200,"Census Tract 9502, Choctaw County, Mississippi",-89.291,33.263,28,019,28019950200
