pollid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
0101000020E6100000F4FDD478E99654C0DF4F8D976E323F40,RIVER OF LIFE CHURCH,31.197,-82.358,GA,2018,2016 - 2018,0101000020E6100000F4FDD478E99654C0DF4F8D976E323F40,added
0101000020E61000001F85EB51B85E54C0A245B6F3FD343F40,ABUNDANT LIFE CHURCH,31.207,-81.480,GA,2018,2016 - 2018,0101000020E61000001F85EB51B85E54C0A245B6F3FD343F40,added
0101000020E6100000AAF1D24D625854C0F2D24D6210383F40,OGLETHORPE POINT ELEMENTARY SCHOOL,31.219,-81.381,GA,2018,2016 - 2018,0101000020E6100000AAF1D24D625854C0F2D24D6210383F40,added
0101000020E6100000C520B072686154C04260E5D0223B3F40,GLYNDALE ELEMENTARY SCHOOL,31.231,-81.522,GA,2018,2016 - 2018,0101000020E6100000C520B072686154C04260E5D0223B3F40,added
0101000020E6100000C74B3789419854C0E9263108AC3C3F40,SWEAT MEMORIAL BAPTIST CHURCH,31.237,-82.379,GA,2018,2016 - 2018,0101000020E6100000C74B3789419854C0E9263108AC3C3F40,added
0101000020E61000002FDD2406811555C052B81E85EB513F40,HISTORICAL COURT HOUSE,31.320,-84.336,GA,2018,2016 - 2018,0101000020E61000002FDD2406811555C052B81E85EB513F40,added
0101000020E6100000B29DEFA7C65B54C00000000000603F40,DARIEN FIRE STATION,31.375,-81.434,GA,2018,2016 - 2018,0101000020E6100000B29DEFA7C65B54C00000000000603F40,added
0101000020E61000004E62105839A454C0D578E92631683F40,BICKLEY VOLUNTEER FIRE STATION,31.407,-82.566,GA,2018,2016 - 2018,0101000020E61000004E62105839A454C0D578E92631683F40,added
0101000020E610000025068195436B54C0560E2DB29D6F3F40,MT PLEASANT COMMUNITY CENTER,31.436,-81.676,GA,2018,2016 - 2018,0101000020E610000025068195436B54C0560E2DB29D6F3F40,added
0101000020E61000008716D9CEF79B54C02B8716D9CE773F40,WARE VOLUNTEER FIRE DEPARTMENT,31.468,-82.437,GA,2018,2016 - 2018,0101000020E61000008716D9CEF79B54C02B8716D9CE773F40,added
0101000020E61000000C022B87162155C05C8FC2F5287C3F40,CITY HALL-LEARY,31.485,-84.517,GA,2018,2016 - 2018,0101000020E61000000C022B87162155C05C8FC2F5287C3F40,added
0101000020E61000005839B4C8768654C0F0A7C64B37893F40,RITCH COMMUNITY CENTER,31.536,-82.101,GA,2018,2016 - 2018,0101000020E61000005839B4C8768654C0F0A7C64B37893F40,added
0101000020E610000021B07268919D54C0448B6CE7FB893F40,WARNOCK VOLUNTEER FIRE DEPARTMENT,31.539,-82.462,GA,2018,2016 - 2018,0101000020E610000021B07268919D54C0448B6CE7FB893F40,added
0101000020E61000001D5A643BDF9754C0986E1283C08A3F40,NEW LACY VOLUNTEER FIRE DEPARTMENT,31.542,-82.373,GA,2018,2016 - 2018,0101000020E61000001D5A643BDF9754C0986E1283C08A3F40,added
0101000020E61000006ABC749318FC54C0931804560E8D3F40,BRIGHT MORNING STAR BAPTIST CHURCH,31.551,-83.939,GA,2018,2016 - 2018,0101000020E61000006ABC749318FC54C0931804560E8D3F40,added
0101000020E610000054E3A59BC40855C0DF4F8D976E923F40,LOVETT HALL,31.572,-84.137,GA,2018,2016 - 2018,0101000020E610000054E3A59BC40855C0DF4F8D976E923F40,added
0101000020E61000001B2FDD24065954C0C1CAA145B6933F40,MORGAN CHAPEL CHURCH HALL,31.577,-81.391,GA,2018,2016 - 2018,0101000020E61000001B2FDD24065954C0C1CAA145B6933F40,added
0101000020E6100000D578E926317854C0D7A3703D0A973F40,ST. PAUL'S EPISCOPAL CHURCH,31.590,-81.878,GA,2018,2016 - 2018,0101000020E6100000D578E926317854C0D7A3703D0A973F40,added
0101000020E610000091ED7C3F35DE54C02B8716D9CE973F40,WATERLOO BAPTIST CHURCH,31.593,-83.472,GA,2018,2016 - 2018,0101000020E610000091ED7C3F35DE54C02B8716D9CE973F40,added
0101000020E6100000D578E926317854C0B4C876BE9F9A3F40,COUNTY COMMISSION MEETING ROOM,31.604,-81.878,GA,2018,2016 - 2018,0101000020E6100000D578E926317854C0B4C876BE9F9A3F40,added
0101000020E61000003F355EBA49A454C023DBF97E6A9C3F40,TAYLOR VOLUNTEER FIRE DEPARTMENT,31.611,-82.567,GA,2018,2016 - 2018,0101000020E61000003F355EBA49A454C023DBF97E6A9C3F40,added
0101000020E6100000AAF1D24D627854C0B0726891ED9C3F40,VFW BUILDING #2,31.613,-81.881,GA,2018,2016 - 2018,0101000020E6100000AAF1D24D627854C0B0726891ED9C3F40,added
