localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
7a769f2d-1f33-40d9-bbfc-7b56f4dce21b,ANGLICAN CHURCH PARRISH,32.470,-80.965,SC,2018,2016 - 2018,0101000020E6100000F6285C8FC23D54C05C8FC2F5283C4040,no_change
7a769f2d-1f33-40d9-bbfc-7b56f4dce21b,ANGLICAN CHURCH PARRISH,32.470,-80.965,SC,2020,2018 - 2020,0101000020E6100000F6285C8FC23D54C05C8FC2F5283C4040,no_change
7a769f2d-1f33-40d9-bbfc-7b56f4dce21b,ANGLICAN CHURCH PARRISH,32.470,-80.965,SC,2022,2020 - 2022,0101000020E6100000F6285C8FC23D54C05C8FC2F5283C4040,no_change
7a7c3820-be05-481c-bd76-e1db40f7bc35,SMITHFIELDS COUNTRY CLUB,34.807,-82.556,SC,2014,2012 - 2014,0101000020E6100000DD24068195A354C09EEFA7C64B674140,added
7a7c3820-be05-481c-bd76-e1db40f7bc35,SMITHFIELDS COUNTRY CLUB,34.807,-82.556,SC,2016,2014 - 2016,0101000020E6100000DD24068195A354C09EEFA7C64B674140,no_change
7a7c3820-be05-481c-bd76-e1db40f7bc35,SMITHFIELDS COUNTRY CLUB,34.807,-82.556,SC,2018,2016 - 2018,0101000020E6100000DD24068195A354C09EEFA7C64B674140,removed
7a7c3820-be05-481c-bd76-e1db40f7bc35,SMITHFIELDS COUNTRY CLUB (CRESTVIEW),34.807,-82.556,SC,2022,2020 - 2022,0101000020E6100000DD24068195A354C09EEFA7C64B674140,added
7a80ef30-ff15-4ae6-9826-a696faa2645a,STONO PARK ELEMENTARY,32.780,-80.016,SC,2014,2012 - 2014,0101000020E61000001B2FDD24060154C0A4703D0AD7634040,no_change
7a80ef30-ff15-4ae6-9826-a696faa2645a,STONO PARK ELEMENTARY,32.780,-80.016,SC,2016,2014 - 2016,0101000020E61000001B2FDD24060154C0A4703D0AD7634040,no_change
7a80ef30-ff15-4ae6-9826-a696faa2645a,STONO PARK ELEMENTARY,32.780,-80.016,SC,2018,2016 - 2018,0101000020E61000001B2FDD24060154C0A4703D0AD7634040,removed
7a80ef30-ff15-4ae6-9826-a696faa2645a,STONO PARK ELEMENTARY,32.780,-80.016,SC,2020,2018 - 2020,0101000020E61000001B2FDD24060154C0A4703D0AD7634040,added
7a80ef30-ff15-4ae6-9826-a696faa2645a,STONO PARK ELEMENTARY,32.780,-80.016,SC,2022,2020 - 2022,0101000020E61000001B2FDD24060154C0A4703D0AD7634040,no_change
7a9b5385-0d25-43f0-a44e-8550aca329bb,PAXVILLE TOWN HALL,33.739,-80.361,SC,2014,2012 - 2014,0101000020E6100000C976BE9F1A1754C03BDF4F8D97DE4040,no_change
7a9b5385-0d25-43f0-a44e-8550aca329bb,PAXVILLE TOWN HALL,33.739,-80.361,SC,2016,2014 - 2016,0101000020E6100000C976BE9F1A1754C03BDF4F8D97DE4040,no_change
7a9b5385-0d25-43f0-a44e-8550aca329bb,PAXVILLE TOWN HALL,33.739,-80.361,SC,2018,2016 - 2018,0101000020E6100000C976BE9F1A1754C03BDF4F8D97DE4040,no_change
7a9b5385-0d25-43f0-a44e-8550aca329bb,PAXVILLE TOWN HALL,33.739,-80.361,SC,2020,2018 - 2020,0101000020E6100000C976BE9F1A1754C03BDF4F8D97DE4040,no_change
7a9b5385-0d25-43f0-a44e-8550aca329bb,PAXVILLE TOWN HALL,33.739,-80.361,SC,2022,2020 - 2022,0101000020E6100000C976BE9F1A1754C03BDF4F8D97DE4040,no_change
7aa09d87-149b-4240-ae7b-77cb0d82310b,DONALDSON CENTER FIRE STATION HEADQUARTERS,34.757,-82.384,SC,2014,2012 - 2014,0101000020E61000007F6ABC74939854C037894160E5604140,no_change
7aa09d87-149b-4240-ae7b-77cb0d82310b,DONALDSON CENTER FIRE STATION HEADQUARTERS,34.757,-82.384,SC,2016,2014 - 2016,0101000020E61000007F6ABC74939854C037894160E5604140,no_change
7aa09d87-149b-4240-ae7b-77cb0d82310b,DONALDSON CENTER FIRE STATION HEADQUARTERS,34.757,-82.384,SC,2018,2016 - 2018,0101000020E61000007F6ABC74939854C037894160E5604140,no_change
7aa09d87-149b-4240-ae7b-77cb0d82310b,DONALDSON CENTER FIRE STATION HEADQUARTERS,34.757,-82.384,SC,2020,2018 - 2020,0101000020E61000007F6ABC74939854C037894160E5604140,no_change
