localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
78efd014-097f-45a3-b557-aec0f56077bb,ST GREGORY THE GREAT PARISH LIFE CENTER,32.292,-80.905,SC,2020,2018 - 2020,0101000020E610000052B81E85EB3954C04C37894160254040,added
78efd014-097f-45a3-b557-aec0f56077bb,ST GREGORY THE GREAT PARISH LIFE CENTER,32.292,-80.905,SC,2022,2020 - 2022,0101000020E610000052B81E85EB3954C04C37894160254040,no_change
78f67c9d-e8bc-4db7-a80b-5e483a5e0387,MASON PREPARATORY SCHOOL,32.779,-79.947,SC,2014,2012 - 2014,0101000020E6100000F853E3A59BFC53C0C1CAA145B6634040,no_change
78f67c9d-e8bc-4db7-a80b-5e483a5e0387,MASON PREPARATORY SCHOOL,32.779,-79.947,SC,2016,2014 - 2016,0101000020E6100000F853E3A59BFC53C0C1CAA145B6634040,no_change
78f67c9d-e8bc-4db7-a80b-5e483a5e0387,MASON PREPARATORY SCHOOL,32.779,-79.947,SC,2018,2016 - 2018,0101000020E6100000F853E3A59BFC53C0C1CAA145B6634040,no_change
78f67c9d-e8bc-4db7-a80b-5e483a5e0387,MASON PREPARATORY SCHOOL,32.779,-79.947,SC,2020,2018 - 2020,0101000020E6100000F853E3A59BFC53C0C1CAA145B6634040,no_change
78f67c9d-e8bc-4db7-a80b-5e483a5e0387,MASON PREPARATORY SCHOOL,32.779,-79.947,SC,2022,2020 - 2022,0101000020E6100000F853E3A59BFC53C0C1CAA145B6634040,no_change
7901f470-240d-4334-b71d-48dda566dab8,SMITH GROVE BAPTIST CHURCH,34.798,-82.646,SC,2014,2012 - 2014,0101000020E6100000D34D621058A954C0A01A2FDD24664140,no_change
7901f470-240d-4334-b71d-48dda566dab8,SMITH GROVE BAPTIST CHURCH,34.798,-82.646,SC,2016,2014 - 2016,0101000020E6100000D34D621058A954C0A01A2FDD24664140,no_change
7901f470-240d-4334-b71d-48dda566dab8,SMITH GROVE BAPTIST CHURCH,34.798,-82.646,SC,2018,2016 - 2018,0101000020E6100000D34D621058A954C0A01A2FDD24664140,no_change
7901f470-240d-4334-b71d-48dda566dab8,SMITH GROVE BAPTIST CHURCH,34.798,-82.646,SC,2020,2018 - 2020,0101000020E6100000D34D621058A954C0A01A2FDD24664140,no_change
7901f470-240d-4334-b71d-48dda566dab8,SMITH GROVE BAPTIST CHURCH,34.798,-82.646,SC,2022,2020 - 2022,0101000020E6100000D34D621058A954C0A01A2FDD24664140,no_change
79104c7d-097f-4872-8bd2-27b1dcdec1ef,MASONIC HALL,33.789,-82.220,SC,2014,2012 - 2014,0101000020E6100000AE47E17A148E54C0A245B6F3FDE44040,no_change
79104c7d-097f-4872-8bd2-27b1dcdec1ef,MASONIC HALL,33.789,-82.220,SC,2016,2014 - 2016,0101000020E6100000AE47E17A148E54C0A245B6F3FDE44040,no_change
79104c7d-097f-4872-8bd2-27b1dcdec1ef,MASONIC HALL,33.789,-82.220,SC,2018,2016 - 2018,0101000020E6100000AE47E17A148E54C0A245B6F3FDE44040,no_change
79104c7d-097f-4872-8bd2-27b1dcdec1ef,MASONIC HALL,33.789,-82.220,SC,2020,2018 - 2020,0101000020E6100000AE47E17A148E54C0A245B6F3FDE44040,removed
7924a7f8-c830-4ff6-a0b0-7df29fcc93c7,NORTHWOOD MIDDLE SCHOOL,34.893,-82.315,SC,2014,2012 - 2014,0101000020E61000005C8FC2F5289454C0FCA9F1D24D724140,no_change
7924a7f8-c830-4ff6-a0b0-7df29fcc93c7,NORTHWOOD MIDDLE SCHOOL,34.893,-82.315,SC,2016,2014 - 2016,0101000020E61000005C8FC2F5289454C0FCA9F1D24D724140,no_change
7924a7f8-c830-4ff6-a0b0-7df29fcc93c7,NORTHWOOD MIDDLE SCHOOL,34.893,-82.315,SC,2018,2016 - 2018,0101000020E61000005C8FC2F5289454C0FCA9F1D24D724140,no_change
7924a7f8-c830-4ff6-a0b0-7df29fcc93c7,NORTHWOOD MIDDLE SCHOOL,34.893,-82.315,SC,2020,2018 - 2020,0101000020E61000005C8FC2F5289454C0FCA9F1D24D724140,no_change
7924a7f8-c830-4ff6-a0b0-7df29fcc93c7,NORTHWOOD MIDDLE SCHOOL,34.893,-82.315,SC,2022,2020 - 2022,0101000020E61000005C8FC2F5289454C0FCA9F1D24D724140,no_change
792b3924-5ba1-4bd9-ad74-01f00daa0d00,CATHEDRAL OF PRAISE,32.925,-80.092,SC,2014,2012 - 2014,0101000020E6100000D9CEF753E30554C06666666666764040,no_change
792b3924-5ba1-4bd9-ad74-01f00daa0d00,CATHEDRAL OF PRAISE,32.925,-80.092,SC,2016,2014 - 2016,0101000020E6100000D9CEF753E30554C06666666666764040,no_change
792b3924-5ba1-4bd9-ad74-01f00daa0d00,CATHEDRAL OF PRAISE,32.925,-80.092,SC,2018,2016 - 2018,0101000020E6100000D9CEF753E30554C06666666666764040,no_change
792b3924-5ba1-4bd9-ad74-01f00daa0d00,CATHEDRAL OF PRAISE,32.925,-80.092,SC,2020,2018 - 2020,0101000020E6100000D9CEF753E30554C06666666666764040,no_change
792b3924-5ba1-4bd9-ad74-01f00daa0d00,CATHEDRAL OF PRAISE,32.925,-80.092,SC,2022,2020 - 2022,0101000020E6100000D9CEF753E30554C06666666666764040,no_change
792be749-c6f6-4077-b83b-18c1f516545a,HOPE LUTHERAN CHURCH,34.115,-81.164,SC,2014,2012 - 2014,0101000020E6100000D122DBF97E4A54C01F85EB51B80E4140,added
792be749-c6f6-4077-b83b-18c1f516545a,HOPE LUTHERAN CHURCH,34.115,-81.164,SC,2016,2014 - 2016,0101000020E6100000D122DBF97E4A54C01F85EB51B80E4140,no_change
792be749-c6f6-4077-b83b-18c1f516545a,HOPE LUTHERAN CHURCH,34.115,-81.164,SC,2018,2016 - 2018,0101000020E6100000D122DBF97E4A54C01F85EB51B80E4140,no_change
792be749-c6f6-4077-b83b-18c1f516545a,HOPE LUTHERAN CHURCH,34.115,-81.164,SC,2020,2018 - 2020,0101000020E6100000D122DBF97E4A54C01F85EB51B80E4140,no_change
792be749-c6f6-4077-b83b-18c1f516545a,HOPE LUTHERAN CHURCH,34.115,-81.164,SC,2022,2020 - 2022,0101000020E6100000D122DBF97E4A54C01F85EB51B80E4140,removed
792dfde0-5d2b-4080-aa1f-65b16b1ea140,COKESBURY COLLEGE,34.286,-82.217,SC,2014,2012 - 2014,0101000020E6100000D9CEF753E38D54C0F853E3A59B244140,no_change
792dfde0-5d2b-4080-aa1f-65b16b1ea140,COKESBURY COLLEGE,34.286,-82.217,SC,2016,2014 - 2016,0101000020E6100000D9CEF753E38D54C0F853E3A59B244140,no_change
792dfde0-5d2b-4080-aa1f-65b16b1ea140,COKESBURY COLLEGE,34.286,-82.217,SC,2018,2016 - 2018,0101000020E6100000D9CEF753E38D54C0F853E3A59B244140,no_change
792dfde0-5d2b-4080-aa1f-65b16b1ea140,COKESBURY COLLEGE,34.286,-82.217,SC,2020,2018 - 2020,0101000020E6100000D9CEF753E38D54C0F853E3A59B244140,no_change
792dfde0-5d2b-4080-aa1f-65b16b1ea140,COKESBURY COLLEGE,34.286,-82.217,SC,2022,2020 - 2022,0101000020E6100000D9CEF753E38D54C0F853E3A59B244140,no_change
795fc293-4156-44b9-b56f-7b28890946d8,ALBERT R LEWIS ELEMENTARY SCHOOL,34.899,-82.791,SC,2014,2012 - 2014,0101000020E6100000B4C876BE9FB254C0508D976E12734140,no_change
795fc293-4156-44b9-b56f-7b28890946d8,ALBERT R LEWIS ELEMENTARY SCHOOL,34.899,-82.791,SC,2016,2014 - 2016,0101000020E6100000B4C876BE9FB254C0508D976E12734140,no_change
795fc293-4156-44b9-b56f-7b28890946d8,ALBERT R LEWIS ELEMENTARY SCHOOL,34.899,-82.791,SC,2018,2016 - 2018,0101000020E6100000B4C876BE9FB254C0508D976E12734140,removed
7972fe9a-9fb8-40b2-b9d0-df2767cd2585,OAK GROVE BAPTIST CHURCH FELLOWSHIP HALL,34.690,-82.481,SC,2020,2018 - 2020,0101000020E6100000105839B4C89E54C0B81E85EB51584140,added
7972fe9a-9fb8-40b2-b9d0-df2767cd2585,OAK GROVE BAPTIST CHURCH FELLOWSHIP HALL,34.690,-82.481,SC,2022,2020 - 2022,0101000020E6100000105839B4C89E54C0B81E85EB51584140,no_change
798d963f-4af6-439a-bd68-a2e37c3d6a59,TRI CITY BAPTIST CHURCH,34.838,-82.665,SC,2014,2012 - 2014,0101000020E6100000C3F5285C8FAA54C025068195436B4140,no_change
798d963f-4af6-439a-bd68-a2e37c3d6a59,TRI CITY BAPTIST CHURCH,34.838,-82.665,SC,2016,2014 - 2016,0101000020E6100000C3F5285C8FAA54C025068195436B4140,removed
