pollId,name,Y,X,stfp
0101000020E6100000CBA145B6F3F555C037894160E5504540,04 NORTHSIDE LIBRARY,42.632,-87.843,55
0101000020E6100000CBA145B6F3F555C037894160E5504540,NORTHSIDE LIBRARY,42.632,-87.843,55
0101000020E6100000CBA145B6F3FD55C0986E1283C08A4540,PARKLAWN ASSEMBLY OF GOD CHURCH,43.084,-87.968,55
0101000020E6100000CBA145B6F3FD55C0986E1283C08A4540,EMBASSY CENTER MKE (FORMERLY PARKLAWN ASSEMBLY OF GOD CHURCH),43.084,-87.968,55
0101000020E6100000CBA145B6F3FD55C0B81E85EB51884540,07-2012 WASHINGTON HIGH SCHOOL,43.065,-87.968,55
0101000020E6100000CBA145B6F3FD55C0B81E85EB51884540,WASHINGTON HIGH SCHOOL,43.065,-87.968,55
0101000020E6100000CDCCCCCCCC8C54C07D3F355EBAB94040,GROVE FIRST BAPTIST CHURCH,33.451,-82.2,13
0101000020E6100000CDCCCCCCCC8C54C07D3F355EBAB94040,GROVETOWN CITY HALL,33.451,-82.2,13
0101000020E6100000CDCCCCCCCCC454C0BE9F1A2FDD444040,DUDLEY CITY HALL,32.538,-83.075,13
0101000020E6100000CDCCCCCCCCC454C0BE9F1A2FDD444040,DUDLEY FIRE STATION #4,32.538,-83.075,13
0101000020E6100000CFF753E3A5A356C054E3A59BC4A03F40,LOYD STAR,31.628,-90.557,28
0101000020E6100000CFF753E3A5A356C054E3A59BC4A03F40,LLOYD STAR VOL FIRE DEPARTMENT,31.628,-90.557,28
0101000020E6100000CFF753E3A5F355C096438B6CE75B4540,2012 03 TYLER DOMER COMMUNITY CENTER,42.718,-87.807,55
0101000020E6100000CFF753E3A5F355C096438B6CE75B4540,TYLER DOMER COMMUNITY CENTER,42.718,-87.807,55
0101000020E6100000CFF753E3A5FB55C062105839B4884540,BOYS AND GIRLS CLUB-LAVARNWAY,43.068,-87.932,55
0101000020E6100000CFF753E3A5FB55C062105839B4884540,RESCUE MISSION,43.068,-87.932,55
0101000020E6100000CFF753E3A5FB55C0B81E85EB51784540,13-2012 MPS BUILDING (FORMER GARLAND SCHOOL),42.94,-87.932,55
0101000020E6100000CFF753E3A5FB55C0B81E85EB51784540,IDEAL SCHOOL,42.94,-87.932,55
0101000020E6100000CFF753E3A5FB55C0FED478E926414640,19 WD-CHRIST OF THE BAY LUTHERAN CHURCH,44.509,-87.932,55
0101000020E6100000CFF753E3A5FB55C0FED478E926414640,CHRIST OF THE BAY LUTHERAN CHURCH,44.509,-87.932,55
0101000020E6100000D122DBF97E4A56C0D9CEF753E3E53E40,BOND BAPTIST CHURCH,30.898,-89.164,28
0101000020E6100000D122DBF97E4A56C0D9CEF753E3E53E40,BOND,30.898,-89.164,28
0101000020E6100000D122DBF97E9256C05C8FC2F5287C3F40,EAST LINCOLN,31.485,-90.289,28
0101000020E6100000D122DBF97E9256C05C8FC2F5287C3F40,EAST LINCOLN VOL. FIRE DEPT.,31.485,-90.289,28
0101000020E6100000D34D6210581157C00000000000A04640,VILLAGE OF CLEAR LAKE 'S MUNICIPAL BUILDING,45.25,-92.271,55
0101000020E6100000D34D6210581157C00000000000A04640,CLEAR LAKE MUNICIPAL BUILDING,45.25,-92.271,55
0101000020E6100000D34D6210582156C06ABC749318643E40,JUSTICE COURT BUILDING,30.391,-88.521,28
0101000020E6100000D34D6210582156C06ABC749318643E40,JUSTICE COURT BUILDING ON JEFF. ST.,30.391,-88.521,28
0101000020E6100000D34D6210585956C07D3F355EBA894540,"47, LOWELL CENTER",43.076,-89.396,55
0101000020E6100000D34D6210585956C07D3F355EBA894540,HILLEL AT THE UNIVERSITY OF WISCONSIN,43.076,-89.396,55
0101000020E6100000D34D621058D154C0A4703D0AD7E33E40,TRINITY,30.89,-83.271,13
0101000020E6100000D34D621058D154C0A4703D0AD7E33E40,PR 02 TRINITY,30.89,-83.271,13
0101000020E6100000D34D621058F955C0F2D24D6210684540,CALEDONIA HWY GARAGE (TEMPORARY RELOCATION),42.813,-87.896,55
0101000020E6100000D34D621058F955C0F2D24D6210684540,CALEDONIA HWY GARAGE,42.813,-87.896,55
0101000020E6100000D7A3703D0A0756C008AC1C5A64FB4540,TOWN OF NEW HOLSTEIN,43.964,-88.11,55
0101000020E6100000D7A3703D0A0756C008AC1C5A64FB4540,NEW HOLSTEIN TOWN HALL,43.964,-88.11,55
0101000020E6100000D7A3703D0A0F56C0FED478E926814540,E & R UCC CHURCH 2012,43.009,-88.235,55
0101000020E6100000D7A3703D0A0F56C0FED478E926814540,E & R UCC CHURCH,43.009,-88.235,55
0101000020E6100000D7A3703D0A3F56C07D3F355EBA594540,ST. MARK LUTHERAN CHURCH,42.701,-88.985,55
0101000020E6100000D7A3703D0A3F56C07D3F355EBA594540,ST MARK LUTHERAN CHURCH,42.701,-88.985,55
0101000020E6100000D7A3703D0A3F56C0CFF753E3A51B4140,PRECINCT P4,34.216,-88.985,28
0101000020E6100000D7A3703D0A3F56C0CFF753E3A51B4140,PEPA WAREHOUSE,34.216,-88.985,28
0101000020E6100000D7A3703D0A4756C0E9263108AC5C3E40,WESTSIDE COMMUNITY CENTER,30.362,-89.11,28
0101000020E6100000D7A3703D0A4756C0E9263108AC5C3E40,WEST SIDE COMMUNITY CENTER,30.362,-89.11,28
0101000020E6100000D9CEF753E3F555C0D34D621058494540,KENOSHA SENIOR CITIZEN CENTER,42.573,-87.842,55
0101000020E6100000D9CEF753E3F555C0D34D621058494540,SENIOR CITIZENS CENTER,42.573,-87.842,55
0101000020E6100000DBF97E6ABC1C56C0986E1283C08A4540,VILLAGE HALL,43.084,-88.449,55
0101000020E6100000DBF97E6ABC1C56C0986E1283C08A4540,OCONOMOWOC LAKE VILLAGE HALL,43.084,-88.449,55
0101000020E6100000DBF97E6ABC4C56C00C022B8716894540,COTTAGE GROVE TOWN HALL,43.071,-89.199,55
0101000020E6100000DBF97E6ABC4C56C00C022B8716894540,COTTAGE GROVE TOWN GARAGE,43.071,-89.199,55
0101000020E6100000DBF97E6ABC8456C07D3F355EBA394040,NORTHBAY BAYVIEW,32.451,-90.074,28
0101000020E6100000DBF97E6ABC8456C07D3F355EBA394040,NORTHBAY BAYVIEW CLUBHOUSE,32.451,-90.074,28
0101000020E6100000DBF97E6ABC8C56C0D578E92631284040,CHERRY GROVE MISSIONARY,32.314,-90.199,28
0101000020E6100000DBF97E6ABC8C56C0D578E92631284040,CHERRY GROVE MISSIONARY BAPTIST CHURCH,32.314,-90.199,28
0101000020E6100000DD240681953356C0B4C876BE9FBA4040,NEEDMORE COMMUNITY CENTER,33.458,-88.806,28
0101000020E6100000DD240681953356C0B4C876BE9FBA4040,NEEDMORE,33.458,-88.806,28
0101000020E6100000DD240681957354C0D9CEF753E3053F40,TARBORO FIRE STATION,31.023,-81.806,13
0101000020E6100000DD240681957354C0D9CEF753E3053F40,TARBORO-BROWN CHAPEL AME CHURCH,31.023,-81.806,13
0101000020E6100000DF4F8D976E2255C02506819543CB4040,"GULLATT, C H ELEMENTARY SCHOOL",33.588,-84.538,13
0101000020E6100000DF4F8D976E2255C02506819543CB4040,CHURCH GULLATT ELEMENTARY,33.588,-84.538,13
0101000020E6100000DF4F8D976E2256C0448B6CE7FB693E40,RECREATION CENTER BY CITY HALL,30.414,-88.538,28
0101000020E6100000DF4F8D976E2256C0448B6CE7FB693E40,RECREATIONAL CENTER,30.414,-88.538,28
0101000020E6100000DF4F8D976E5256C0DF4F8D976E523F40,COURT STREET,31.322,-89.288,28
0101000020E6100000DF4F8D976E5256C0DF4F8D976E523F40,COURT STREET UNITED METHODIST CHURCH,31.322,-89.288,28
0101000020E6100000E17A14AE476156C03BDF4F8D975E4040,EAST CARTHAGE,32.739,-89.52,28
0101000020E6100000E17A14AE476156C03BDF4F8D975E4040,TRINITY BAPTIST CHURCH,32.739,-89.52,28
0101000020E6100000E17A14AE47F955C0F0A7C64B37894540,03-2012 LOCUST COURT APARTMENTS,43.072,-87.895,55
0101000020E6100000E17A14AE47F955C0F0A7C64B37894540,LOCUST COURT APARTMENTS,43.072,-87.895,55
0101000020E6100000E3A59BC4201055C091ED7C3F35EE4040,HENDERSON MILL ELEMENTARY SCHOOL,33.861,-84.252,13
0101000020E6100000E3A59BC4201055C091ED7C3F35EE4040,ST BEDES EPISCOPAL CHURCH,33.861,-84.252,13
0101000020E6100000E3A59BC4204856C077BE9F1A2F0D4140,PRECINCT JU,34.103,-89.127,28
0101000020E6100000E3A59BC4204856C077BE9F1A2F0D4140,JUDAH POLLING PLACE,34.103,-89.127,28
0101000020E6100000E3A59BC4207856C091ED7C3F353E4040,SANDHILL LIBRARY,32.486,-89.877,28
0101000020E6100000E3A59BC4207856C091ED7C3F353E4040,TECHNICAL BUILDING,32.486,-89.877,28
0101000020E6100000E5D022DBF91E56C02B8716D9CEF74040,2 BECKER,33.936,-88.484,28
0101000020E6100000E5D022DBF91E56C02B8716D9CEF74040,BECKER COMMUNITY CENTER,33.936,-88.484,28
0101000020E6100000E5D022DBF93E56C0F4FDD478E9663E40,DONAL M. SNYDER COMMUNITY CENTER,30.402,-88.984,28
0101000020E6100000E5D022DBF93E56C0F4FDD478E9663E40,DONAL SNYDER COMMUNITY CENTER,30.402,-88.984,28
0101000020E6100000E5D022DBF98E56C0DF4F8D976E224040,APOSTOLIC RESTORATION MINISTRY,32.269,-90.234,28
0101000020E6100000E5D022DBF98E56C0DF4F8D976E224040,APOSTOLIC RESTORATION,32.269,-90.234,28
0101000020E6100000E5D022DBF9FE55C0AC1C5A643B7F4540,11-2012 MILWAUKEE SPANISH IMMERSION SCHOOL,42.994,-87.984,55
0101000020E6100000E5D022DBF9FE55C0AC1C5A643B7F4540,MILWAUKEE SPANISH IMMERSION SCHOOL,42.994,-87.984,55
0101000020E6100000E9263108AC1C56C037894160E5E04540,FIRE STATION 1,43.757,-88.448,55
0101000020E6100000E9263108AC1C56C037894160E5E04540,FOND DU LAC FIRE STATION 1,43.757,-88.448,55
